name,callsign,imonumber,flag,length,type,grosstonnage,mmsinumber,latitudedegrees,longitudedegrees,speedoverground,speedoverwater,courseoverground,courseoverwater,headingoverground,headingoverwater,timestamp,is_stopped
NORDBORG MAERSK,OYJB2   ,9885142,DK,,CS,26255,219027760,1.28620121647,103.757381148,0.565889,1.09478,6.1645,353.884,2.05948851735,117.999,2023-07-27 12:20:59,False
NORDBORG MAERSK,OYJB2   ,9885142,DK,,CS,26255,219027760,1.28623679032,103.757376935,0.565889,1.09478,6.1645,353.884,2.05948851735,117.999,2023-07-27 12:21:09,False
NORDBORG MAERSK,OYJB2   ,9885142,DK,,CS,26255,219027760,1.28631301398,103.757367903,0.565889,1.09478,6.1645,353.884,2.05948851735,117.999,2023-07-27 12:21:19,False
NORDBORG MAERSK,OYJB2   ,9885142,DK,,CS,26255,219027760,1.28634858561,103.757363689,0.565889,1.09478,6.1645,353.884,2.05948851735,117.999,2023-07-27 12:21:29,False
NORDBORG MAERSK,OYJB2   ,9885142,DK,,CS,26255,219027760,1.28638415945,103.757359476,0.565889,1.09478,6.1645,353.884,2.05948851735,117.999,2023-07-27 12:21:39,False
NORDBORG MAERSK,OYJB2   ,9885142,DK,,CS,26255,219027760,1.28645530272,103.75735105,0.565889,1.09478,6.1645,353.884,2.05948851735,117.999,2023-07-27 12:21:49,False
NORDBORG MAERSK,OYJB2   ,9885142,DK,,CS,26255,219027760,1.28649595475,103.757346231,0.565889,1.09478,6.1645,353.884,2.05948851735,117.999,2023-07-27 12:21:59,False
NORDBORG MAERSK,OYJB2   ,9885142,DK,,CS,26255,219027760,1.28656710022,103.757337805,0.565889,1.09478,6.1645,353.884,2.05948851735,117.999,2023-07-27 12:22:09,False
NORDBORG MAERSK,OYJB2   ,9885142,DK,,CS,26255,219027760,1.28660267186,103.757333591,0.565889,1.09478,6.1645,353.884,2.05948851735,117.999,2023-07-27 12:22:19,False
NORDBORG MAERSK,OYJB2   ,9885142,DK,,CS,26255,219027760,1.28664332389,103.757328773,0.565889,1.09478,6.1645,353.884,2.05948851735,117.999,2023-07-27 12:22:29,False
NORDBORG MAERSK,OYJB2   ,9885142,DK,,CS,26255,219027760,1.28671446936,103.757320346,0.565889,1.09478,6.1645,353.884,2.05948851735,117.999,2023-07-27 12:22:39,False
NORDBORG MAERSK,OYJB2   ,9885142,DK,,CS,26255,219027760,1.28675512139,103.757315527,0.565889,1.09478,6.1645,353.884,2.05948851735,117.999,2023-07-27 12:22:49,False
NORDBORG MAERSK,OYJB2   ,9885142,DK,,CS,26255,219027760,1.28679069303,103.757311314,0.565889,1.09478,6.1645,353.884,2.05948851735,117.999,2023-07-27 12:22:59,False
NORDBORG MAERSK,OYJB2   ,9885142,DK,,CS,26255,219027760,1.2868618385,103.757302888,0.565889,1.09478,6.1645,353.884,2.05948851735,117.999,2023-07-27 12:23:09,False
NORDBORG MAERSK,OYJB2   ,9885142,DK,,CS,26255,219027760,1.28689741013,103.757298666,0.565889,1.09478,6.1645,353.884,2.05948851735,117.999,2023-07-27 12:23:19,False
NORDBORG MAERSK,OYJB2   ,9885142,DK,,CS,26255,219027760,1.28639978685,103.757655037,0.514444,0.982363,0.479966,27.0721,1.78023583703,101.997,2023-07-27 12:23:29,False
NORDBORG MAERSK,OYJB2   ,9885142,DK,,CS,26255,219027760,1.28643280249,103.757672112,0.514444,0.982363,0.479966,27.0721,1.78023583703,101.997,2023-07-27 12:23:39,False
NORDBORG MAERSK,OYJB2   ,9885142,DK,,CS,26255,219027760,1.28646168924,103.757687054,0.514444,0.982363,0.479966,27.0721,1.78023583703,101.997,2023-07-27 12:23:49,False
NORDBORG MAERSK,OYJB2   ,9885142,DK,,CS,26255,219027760,1.28652359163,103.757719062,0.514444,0.982363,0.479966,27.0721,1.78023583703,101.997,2023-07-27 12:23:59,False
NORDBORG MAERSK,OYJB2   ,9885142,DK,,CS,26255,219027760,1.28655247838,103.757734005,0.514444,0.982363,0.479966,27.0721,1.78023583703,101.997,2023-07-27 12:24:09,False
NORDBORG MAERSK,OYJB2   ,9885142,DK,,CS,26255,219027760,1.28658136513,103.757748947,0.514444,0.982363,0.479966,27.0721,1.78023583703,101.997,2023-07-27 12:24:19,False
NORDBORG MAERSK,OYJB2   ,9885142,DK,,CS,26255,219027760,1.28663914084,103.757778832,0.514444,0.982363,0.479966,27.0721,1.78023583703,101.997,2023-07-27 12:24:29,False
NORDBORG MAERSK,OYJB2   ,9885142,DK,,CS,26255,219027760,1.28667215427,103.757795907,0.514444,0.982363,0.479966,27.0721,1.78023583703,101.997,2023-07-27 12:24:39,False
NORDBORG MAERSK,OYJB2   ,9885142,DK,,CS,26255,219027760,1.28672992998,103.757825792,0.514444,0.982363,0.479966,27.0721,1.78023583703,101.997,2023-07-27 12:24:49,False
NORDBORG MAERSK,OYJB2   ,9885142,DK,,CS,26255,219027760,1.28676294341,103.757842866,0.514444,0.982363,0.479966,27.0721,1.78023583703,101.997,2023-07-27 12:24:59,False
NORDBORG MAERSK,OYJB2   ,9885142,DK,,CS,26255,219027760,1.28679183016,103.7578578,0.514444,0.982363,0.479966,27.0721,1.78023583703,101.997,2023-07-27 12:25:09,False
NORDBORG MAERSK,OYJB2   ,9885142,DK,,CS,26255,219027760,1.28684960587,103.757887685,0.514444,0.982363,0.479966,27.0721,1.78023583703,101.997,2023-07-27 12:25:19,False
NORDBORG MAERSK,OYJB2   ,9885142,DK,,CS,26255,219027760,1.28687849262,103.757902627,0.514444,0.982363,0.479966,27.0721,1.78023583703,101.997,2023-07-27 12:25:29,False
NORDBORG MAERSK,OYJB2   ,9885142,DK,,CS,26255,219027760,1.28690737937,103.75791757,0.514444,0.982363,0.479966,27.0721,1.78023583703,101.997,2023-07-27 12:25:39,False
NORDBORG MAERSK,OYJB2   ,9885142,DK,,CS,26255,219027760,1.28696928175,103.757949587,0.514444,0.982363,0.479966,27.0721,1.78023583703,101.997,2023-07-27 12:25:49,False
NORDBORG MAERSK,OYJB2   ,9885142,DK,,CS,26255,219027760,1.2869981685,103.757964529,0.514444,0.982363,0.479966,27.0721,1.78023583703,101.997,2023-07-27 12:25:59,False
NORDBORG MAERSK,OYJB2   ,9885142,DK,,CS,26255,219027760,1.28705594421,103.757994405,0.514444,0.982363,0.479966,27.0721,1.78023583703,101.997,2023-07-27 12:26:09,False
NORDBORG MAERSK,OYJB2   ,9885142,DK,,CS,26255,219027760,1.28708483096,103.758009348,0.514444,0.982363,0.479966,27.0721,1.78023583703,101.997,2023-07-27 12:26:19,False
NORDBORG MAERSK,OYJB2   ,9885142,DK,,CS,26255,219027760,1.28637502677,103.757642227,0.514444,0.982363,0.479966,27.0721,1.78023583703,101.997,2023-07-27 12:26:29,False
NORDBORG MAERSK,OYJB2   ,9885142,DK,,CS,26255,219027760,1.28627568854,103.758141499,0.668778,1.28146,5.89572,337.714,0.750491578358,42.995,2023-07-27 12:26:39,False
NORDBORG MAERSK,OYJB2   ,9885142,DK,,CS,26255,219027760,1.28632048878,103.758123333,0.668778,1.28146,5.89572,337.714,0.750491578358,42.995,2023-07-27 12:26:49,False
NORDBORG MAERSK,OYJB2   ,9885142,DK,,CS,26255,219027760,1.2863596876,103.758107441,0.668778,1.28146,5.89572,337.714,0.750491578358,42.995,2023-07-27 12:26:59,False
