name,callsign,imonumber,flag,length,type,grosstonnage,mmsinumber,latitudedegrees,longitudedegrees,speedoverground,speedoverwater,courseoverground,courseoverwater,headingoverground,headingoverwater,timestamp,is_stopped,lat_tug_9456513,lon_tug_9456513,sog_tug_9456513,heading_tug_9456513,lat_tug_9813694,lon_tug_9813694,sog_tug_9813694,heading_tug_9813694,lat_tug_9951604,lon_tug_9951604,sog_tug_9951604,heading_tug_9951604,lat_tug_9951616,lon_tug_9951616,sog_tug_9951616,heading_tug_9951616
CMA CGM SAMSON,9HA2907 ,9436379,MT,,CS,91498,256687000,1.27891481424,103.742121492,1.44044,2.71728,5.75959,329.95,5.96902604182,341.999,2023-07-27 08:48:01,False,1.28082957109,103.770277387,0.0514444,0.0,1.29031255005,103.761143927,0.154333,70.9991,1.27898243779,103.750639305,6.89356,309.996,1.27969910061,103.74953957,5.91611,311.995
CMA CGM SAMSON,9HA2907 ,9436379,MT,,CS,91498,256687000,1.27904282002,103.742057606,1.44044,2.69073,5.75959,330.101,5.96902604182,341.999,2023-07-27 08:48:11,False,1.28082957109,103.770277387,0.0514444,0.0,1.29032000155,103.761137653,0.154333,70.9991,1.27923667126,103.75036761,6.89356,308.996,1.27993261188,103.749248879,5.91611,311.995
CMA CGM SAMSON,9HA2907 ,9436379,MT,,CS,91498,256687000,1.27912306119,103.742003138,1.389,2.55828,5.77704,330.903,6.00393262686,343.998,2023-07-27 08:48:21,False,1.28082938297,103.77026311,0.0514444,0.0,1.29033596875,103.761124192,0.154333,70.9991,1.27952258956,103.750042757,6.89356,308.996,1.28017361939,103.749107412,5.86467,319.999
CMA CGM SAMSON,9HA2907 ,9436379,MT,,CS,91498,256687000,1.2793098996,103.741923815,1.389,2.64363,5.79449,331.928,6.00393262686,343.998,2023-07-27 08:48:31,False,1.28082698971,103.770267383,0.0514444,0.0,1.29034342026,103.761117918,0.154333,70.9991,1.28011923041,103.749409222,6.84211,308.996,1.28073223655,103.748701811,5.81322,333.995
CMA CGM SAMSON,9HA2907 ,9436379,MT,,CS,91498,256687000,1.27939881618,103.741880964,1.389,2.64363,5.79449,331.928,6.02138591938,344.998,2023-07-27 08:48:41,False,1.28082733117,103.770277931,0.0514444,0.0,1.29035832327,103.76110536,0.154333,70.9991,1.28044548794,103.749046136,6.79067,312.995,1.28119512943,103.748465199,5.81322,333.995
CMA CGM SAMSON,9HA2907 ,9436379,MT,,CS,91498,256687000,1.27948815118,103.741838789,1.389,2.66016,5.81195,333.06,6.0388392119,345.998,2023-07-27 08:48:51,False,1.28082502603,103.770275562,0.0,0.0,1.29036577257,103.761099086,0.154333,70.9991,1.28074204694,103.748744851,6.79067,322.998,1.28156837408,103.748392458,5.81322,333.995
CMA CGM SAMSON,9HA2907 ,9436379,MT,,CS,91498,256687000,1.27967164777,103.741756474,1.389,2.66023,5.8294,333.997,6.0388392119,345.998,2023-07-27 08:49:01,False,1.28083331929,103.770285845,0.0514444,0.0,1.29037429047,103.761091908,0.154333,70.9991,1.2813422234,103.748139087,6.79067,322.998,1.28226482727,103.748213197,5.71033,346.998
CMA CGM SAMSON,9HA2907 ,9436379,MT,,CS,91498,256687000,1.27975533638,103.741722828,1.389,2.67771,5.8294,334.179,6.0388392119,345.998,2023-07-27 08:49:11,False,1.28083868021,103.770288504,0.0514444,0.0,1.29038919128,103.761079351,0.154333,70.9991,1.28197147141,103.748277326,6.482,343.998,1.28265908055,103.74809259,5.71033,346.998
CMA CGM SAMSON,9HA2907 ,9436379,MT,,CS,91498,256687000,1.27984415472,103.741680459,1.33756,2.59174,5.84685,335.165,6.07374579694,347.997,2023-07-27 08:49:21,False,1.28083382419,103.77029806,0.0514444,0.0,1.29039664279,103.761073068,0.154333,70.9991,1.28279603792,103.748345298,5.96756,20.9949,1.28300939864,103.748335357,5.71033,346.998
CMA CGM SAMSON,9HA2907 ,9436379,MT,,CS,91498,256687000,1.27997946862,103.74161502,1.33756,2.59174,5.84685,335.165,6.09119908946,348.997,2023-07-27 08:49:31,False,1.28083335939,103.770297226,0.0,0.0,1.2904115458,103.76106051,0.154333,70.9991,1.28311838813,103.748363037,5.96756,20.9949,1.28370278733,103.748572784,5.60744,15.9961
CMA CGM SAMSON,9HA2907 ,9436379,MT,,CS,91498,256687000,1.28006298899,103.741597028,1.33756,2.59341,5.86431,336.125,6.09119908946,348.997,2023-07-27 08:49:41,False,1.28083414319,103.770296761,0.0514444,0.0,1.29041899731,103.761054236,0.154333,70.9991,1.28354781418,103.748396136,5.96756,20.9949,1.28405472162,103.748705822,5.60744,16.9958
CMA CGM SAMSON,9HA2907 ,9436379,MT,,CS,91498,256687000,1.28021356522,103.741533765,1.33756,2.59581,5.88176,337.083,6.10865238198,349.997,2023-07-27 08:49:51,False,1.28083904354,103.770292496,0.0514444,0.0,1.29042644882,103.761047953,0.154333,70.9991,1.28420209431,103.749084808,6.22478,31.9977,1.28477214914,103.748974416,5.65889,25.9991
CMA CGM SAMSON,9HA2907 ,9436379,MT,,CS,91498,256687000,1.28029187177,103.741494257,1.28611,2.49116,5.88176,337.036,6.1261056745,350.997,2023-07-27 08:50:01,False,1.28084141732,103.770301052,0.0514444,0.0,1.2902433602,103.761198895,0.0,70.9991,1.28455497366,103.749498578,6.53344,35.9967,1.28511978196,103.749207663,5.65889,24.9994
CMA CGM SAMSON,9HA2907 ,9436379,MT,,CS,91498,256687000,1.28039082012,103.741454117,1.28611,2.51959,5.88176,337.788,6.14355896702,351.996,2023-07-27 08:50:11,False,1.28083906701,103.770301684,0.0514444,0.0,1.2902433602,103.761198895,0.0,70.9991,1.285230695,103.75000047,6.58489,39.9957,1.28578971321,103.749545326,5.65889,33.9972
CMA CGM SAMSON,9HA2907 ,9436379,MT,,CS,91498,256687000,1.28054312198,103.741394329,1.28611,2.48364,5.88176,337.449,6.16101225954,352.996,2023-07-27 08:50:21,False,1.28082528061,103.77029699,0.0514444,0.0,1.2902433602,103.761198895,0.0,70.9991,1.28540558828,103.750271262,6.58489,43.9948,1.2861157632,103.74971285,5.81322,33.9972
CMA CGM SAMSON,9HA2907 ,9436379,MT,,CS,91498,256687000,1.2806118338,103.741375372,1.28611,2.48706,5.89921,338.448,6.17846555206,353.996,2023-07-27 08:50:31,False,1.28082226124,103.770295779,0.0514444,0.0,1.2902433602,103.761198895,0.0,70.9991,1.28577873032,103.750648668,6.58489,48.999,1.28638154379,103.74999652,5.81322,38.996
CMA CGM SAMSON,9HA2907 ,9436379,MT,,CS,91498,256687000,1.2807721259,103.741310748,1.28611,2.49123,5.91667,339.444,6.19591884458,354.996,2023-07-27 08:50:41,False,1.28081516556,103.770278905,0.102889,0.0,1.2902433602,103.761198895,0.0,70.9991,1.28636556304,103.751240128,6.58489,48.999,1.28696960446,103.750536893,5.86467,43.9948
CMA CGM SAMSON,9HA2907 ,9436379,MT,,CS,91498,256687000,1.28084169452,103.741294854,1.23467,2.38658,5.91667,339.499,6.2133721371,355.995,2023-07-27 08:50:51,False,1.28081823627,103.770262838,0.102889,0.0,1.2902433602,103.761198895,0.0,70.9991,1.28659832152,103.751743292,6.58489,54.9976,1.28720556325,103.750836859,5.86467,45.9998
CMA CGM SAMSON,9HA2907 ,9436379,MT,,CS,91498,256687000,1.28091476661,103.741267324,1.23467,2.38658,5.91667,339.499,6.2133721371,355.995,2023-07-27 08:51:01,False,1.28081844996,103.770247614,0.102889,0.0,1.2902433602,103.761198895,0.0,70.9991,1.28706527933,103.75250297,6.58489,53.9978,1.28769338347,103.75141373,5.91611,53.9978
CMA CGM SAMSON,9HA2907 ,9436379,MT,,CS,91498,256687000,1.28110579849,103.741203752,1.23467,2.37324,5.93412,340.378,6.23082542962,356.995,2023-07-27 08:51:11,False,1.28081849061,103.770241244,0.102889,0.0,1.2902433602,103.761198895,0.0,70.9991,1.28726302967,103.752797954,6.58489,53.9978,1.28790549664,103.75165674,5.91611,53.9978
CMA CGM SAMSON,9HA2907 ,9436379,MT,,CS,91498,256687000,1.28116186808,103.741218052,1.23467,2.38531,5.96903,342.451,6.24827872214,357.995,2023-07-27 08:51:21,False,1.28081558408,103.770247518,0.102889,0.0,1.2902433602,103.761198895,0.0,70.9991,1.2875294259,103.753195819,6.58489,53.9978,1.28803232305,103.752090553,5.91611,57.9968
CMA CGM SAMSON,9HA2907 ,9436379,MT,,CS,91498,256687000,1.28130905687,103.741169399,1.18322,2.28681,5.96903,342.181,6.26573201466,358.995,2023-07-27 08:51:31,False,1.28080892256,103.770240191,0.0514444,0.0,1.2902433602,103.761198895,0.0,70.9991,1.28797928396,103.753864863,6.68778,56.9971,1.2884605196,103.752762186,5.91611,57.9968
CMA CGM SAMSON,9HA2907 ,9436379,MT,,CS,91498,256687000,1.28137810085,103.74114738,1.18322,2.27521,5.98648,343.113,0.0,358.995,2023-07-27 08:51:41,False,1.28079988531,103.770232987,0.102889,0.0,1.2902433602,103.761198895,0.0,70.9991,1.288200284,103.754230282,6.68778,54.9976,1.28866726561,103.753073587,5.91611,57.9968
CMA CGM SAMSON,9HA2907 ,9436379,MT,,CS,91498,256687000,1.28145342094,103.74112802,1.18322,2.27264,6.02139,345.132,0.0174532925199,0.999756,2023-07-27 08:51:51,False,1.28079062798,103.770248001,0.102889,0.0,1.2902433602,103.761198895,0.0,70.9991,1.2886491014,103.754945473,6.68778,54.9976,1.28902120922,103.753734913,5.91611,58.9966
CMA CGM SAMSON,9HA2907 ,9436379,MT,,CS,91498,256687000,1.28159419221,103.741100479,1.18322,2.27264,6.02139,345.132,0.0349065850399,1.99951,2023-07-27 08:52:01,False,1.28078814609,103.770242017,0.0514444,0.0,1.2902433602,103.761198895,0.0,70.9991,1.28890485904,103.755270236,6.63633,56.9971,1.28920449399,103.754052028,5.91611,58.9966
