name,callsign,imonumber,flag,length,type,grosstonnage,mmsinumber,latitudedegrees,longitudedegrees,speedoverground,speedoverwater,courseoverground,courseoverwater,headingoverground,headingoverwater,timestamp,is_stopped,lat_tug_9830197,lon_tug_9830197,sog_tug_9830197,heading_tug_9830197
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21124026812,103.58401384,0.977444,1.879,1.13795,65.556,1.64060949687,93.999,2023-07-14 17:22:12,False,1.29409699369,103.720284615,0.154333,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21127551245,103.58412185,0.926,1.77955,1.18682,68.1986,1.67551608191,95.9985,2023-07-14 17:22:22,False,1.29411624223,103.720283192,0.102889,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.2112982332,103.584181409,0.874556,1.67904,1.21475,69.6769,1.69296937443,96.9983,2023-07-14 17:22:32,False,1.29414213126,103.720263895,0.154333,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21131753092,103.584232965,0.823111,1.67904,1.24966,69.6769,1.69296937443,96.9983,2023-07-14 17:22:42,False,1.29415289029,103.720260929,0.154333,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21135136178,103.584336957,0.823111,1.58635,1.26362,72.8973,1.69296937443,96.9983,2023-07-14 17:22:52,False,1.29416230471,103.720258339,0.154333,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21136608914,103.584388514,0.771667,1.48777,1.26187,72.512,1.71042266695,97.998,2023-07-14 17:23:02,False,1.29414863113,103.720302126,0.154333,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21139015516,103.584477222,0.771667,1.49524,1.29154,74.1569,1.71042266695,97.998,2023-07-14 17:23:12,False,1.29414609444,103.720263166,0.154333,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21139821799,103.584517706,0.720222,1.38136,1.31947,76.1593,1.71042266695,97.998,2023-07-14 17:23:22,False,1.29415216439,103.720270774,0.154333,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21140810961,103.584564807,0.720222,1.38136,1.33169,76.1593,1.71042266695,97.998,2023-07-14 17:23:32,False,1.29413415304,103.720286973,0.102889,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21143498485,103.584661446,0.668778,1.29671,1.33343,77.0054,1.71042266695,97.998,2023-07-14 17:23:42,False,1.29413327904,103.720293388,0.102889,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21144929262,103.584712073,0.668778,1.2872,1.31249,75.1243,1.71042266695,97.998,2023-07-14 17:23:52,False,1.2941176451,103.720299513,0.102889,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21146111349,103.584754699,0.668778,1.28235,1.3247,75.9638,1.72787595947,98.9978,2023-07-14 17:24:02,False,1.29411486762,103.720301023,0.102889,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21148039611,103.584832386,0.617333,1.18335,1.31598,75.7355,1.72787595947,98.9978,2023-07-14 17:24:12,False,1.29410906997,103.720307709,0.102889,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21149748641,103.584888944,0.617333,1.18829,1.30027,74.8271,1.72787595947,98.9978,2023-07-14 17:24:22,False,1.29409900918,103.720321004,0.0514444,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21151269165,103.58495054,0.617333,1.18335,1.31598,75.7355,1.72787595947,98.9978,2023-07-14 17:24:32,False,1.29410925372,103.7202744,0.102889,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21152566552,103.58499792,0.617333,1.18829,1.29503,74.8271,1.72787595947,98.9978,2023-07-14 17:24:42,False,1.29410491964,103.72027555,0.154333,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21153767137,103.585035562,0.617333,1.18829,1.29503,74.8271,1.72787595947,98.9978,2023-07-14 17:24:52,False,1.29410000869,103.720264862,0.154333,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21154990733,103.58507824,0.617333,1.18829,1.29329,74.8271,1.72787595947,98.9978,2023-07-14 17:25:02,False,1.29409166017,103.720257492,0.154333,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.2115722853,103.585154751,0.565889,1.09478,1.27584,73.4956,1.74532925199,99.9976,2023-07-14 17:25:12,False,1.29410920061,103.720272005,0.154333,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21158904753,103.585198253,0.565889,1.09478,1.27933,73.4956,1.74532925199,99.9976,2023-07-14 17:25:22,False,1.29412008208,103.720245715,0.205778,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21160628891,103.585264481,0.565889,1.08942,1.28631,74.4759,1.76278254451,100.997,2023-07-14 17:25:32,False,1.29412245714,103.720232991,0.205778,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21161852527,103.58531116,0.565889,1.09478,1.27758,73.4956,1.76278254451,100.997,2023-07-14 17:25:42,False,1.29412516992,103.720218442,0.205778,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21162739948,103.58534036,0.565889,1.09478,1.27758,73.4956,1.76278254451,100.997,2023-07-14 17:25:52,False,1.29412957791,103.720194811,0.205778,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21164539175,103.585408747,0.514444,0.990598,1.27933,74.0546,1.78023583703,101.997,2023-07-14 17:26:02,False,1.2941322929,103.720180263,0.205778,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21165674844,103.58544602,0.514444,0.990598,1.27758,74.0546,1.78023583703,101.997,2023-07-14 17:26:12,False,1.29413737853,103.720152999,0.205778,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21166750439,103.585481415,0.514444,0.990598,1.27758,74.0546,1.78023583703,101.997,2023-07-14 17:26:22,False,1.29413147991,103.720171005,0.205778,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21168476772,103.585546432,0.514444,0.996114,1.26711,72.9795,1.79768912955,102.997,2023-07-14 17:26:32,False,1.29410865053,103.720223059,0.102889,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21169574818,103.585574825,0.514444,0.977543,1.25838,72.646,1.79768912955,102.997,2023-07-14 17:26:42,False,1.29412043183,103.720220329,0.102889,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21171433548,103.585631998,0.514444,0.977543,1.25838,72.646,1.79768912955,102.997,2023-07-14 17:26:52,False,1.29412677509,103.720218863,0.102889,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.2117234928,103.585666252,0.463,0.886529,1.29678,74.7449,1.81514242207,103.997,2023-07-14 17:27:02,True,1.294126042,103.72026043,0.154333,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21171125599,103.585704791,0.514444,0.992123,1.61792,92.2457,1.81514242207,103.997,2023-07-14 17:27:12,False,1.29413263574,103.720278067,0.205778,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21169676553,103.58577218,0.565889,1.08664,1.76453,100.305,1.79768912955,102.997,2023-07-14 17:27:22,False,1.29413154626,103.720216108,0.205778,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21166636939,103.585839782,0.771667,1.48803,1.92161,109.855,1.78023583703,101.997,2023-07-14 17:27:32,False,1.29413654619,103.720153877,0.205778,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21164207061,103.585898731,0.874556,1.69293,1.94953,111.557,1.74532925199,99.9976,2023-07-14 17:27:42,False,1.29413643171,103.720160344,0.102889,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21159743909,103.586023227,0.926,1.7953,1.91463,109.612,1.72787595947,98.9978,2023-07-14 17:27:52,False,1.29413618735,103.720174217,0.102889,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.2115824693,103.586065995,0.977444,1.88242,1.85878,106.189,1.69296937443,96.9983,2023-07-14 17:28:02,False,1.29408942863,103.720313194,0.205778,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21156489578,103.586124944,0.977444,1.88242,1.85878,106.189,1.69296937443,96.9983,2023-07-14 17:28:12,False,1.29407063842,103.720339801,0.257222,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.2115392842,103.586260652,1.08033,2.10025,1.71217,97.9801,1.67551608191,95.9985,2023-07-14 17:28:22,False,1.294063353,103.720353358,0.257222,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.2115401819,103.586364033,1.08033,2.1051,1.65632,94.2364,1.67551608191,95.9985,2023-07-14 17:28:32,False,1.29406335965,103.720353893,52.6277,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21153130973,103.586535996,1.13178,2.21811,1.61967,92.5114,1.65806278939,94.9988,2023-07-14 17:28:42,False,1.29406335965,103.720353893,52.6277,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21154495872,103.586623792,1.13178,2.29382,1.61967,90.4855,1.65806278939,94.9988,2023-07-14 17:28:52,False,1.29402798545,103.720374007,0.205778,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21153792974,103.586724032,1.18322,2.29374,1.57952,90.0,1.65806278939,94.9988,2023-07-14 17:29:02,False,1.2940127012,103.720353659,0.205778,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21153901684,103.586912999,1.23467,2.37157,1.56032,89.5304,1.65806278939,94.9988,2023-07-14 17:29:12,False,1.2940027351,103.720361996,0.205778,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21153395519,103.587036912,1.28611,2.44924,1.56731,90.0,1.65806278939,94.9988,2023-07-14 17:29:22,False,1.29400592588,103.720368647,0.102889,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21153222351,103.587120305,1.28611,2.44924,1.58476,90.0,1.65806278939,94.9988,2023-07-14 17:29:32,False,1.29401211238,103.720367006,0.0514444,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.2115406563,103.587241795,1.33756,2.54644,1.57778,90.0,1.65806278939,94.9988,2023-07-14 17:29:42,False,1.29400878072,103.720368655,0.0514444,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21153704885,103.587334998,1.389,2.64391,1.58825,90.8425,1.65806278939,94.9988,2023-07-14 17:29:52,False,1.29402665457,103.720340812,0.102889,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21152924494,103.587503855,1.389,2.68251,1.57778,90.0,1.65806278939,94.9988,2023-07-14 17:30:02,False,1.29404038163,103.720349279,0.154333,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21153380319,103.587606235,1.44044,2.77977,1.56207,89.5993,1.65806278939,94.9988,2023-07-14 17:30:12,False,1.29403907404,103.720339653,0.154333,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21153867025,103.587705526,1.44044,2.77977,1.56207,89.5993,1.65806278939,94.9988,2023-07-14 17:30:22,False,1.29406046012,103.720343583,0.257222,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21153853263,103.587879436,1.49189,2.89659,1.56032,89.231,1.65806278939,94.9988,2023-07-14 17:30:32,False,1.29410408987,103.720283342,0.257222,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21153642474,103.587999541,1.54333,2.99358,1.56032,89.628,1.65806278939,94.9988,2023-07-14 17:30:42,False,1.29411617528,103.720269284,0.257222,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21152297872,103.588136652,1.54333,2.99409,1.56032,91.116,1.65806278939,94.9988,2023-07-14 17:30:52,False,1.29414834308,103.720239509,0.257222,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21152423435,103.5883342,1.54333,2.97567,1.58999,91.8717,1.65806278939,94.9988,2023-07-14 17:31:02,False,1.29411319261,103.720273645,0.154333,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21152756531,103.588439932,1.59478,3.07152,1.5708,90.7252,1.65806278939,94.9988,2023-07-14 17:31:12,False,1.29412835594,103.720261404,0.154333,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21153557608,103.588627038,1.59478,3.12965,1.5708,90.3559,1.65806278939,94.9988,2023-07-14 17:31:22,False,1.29416912483,103.720212956,0.205778,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21154681246,103.588744615,1.64622,3.12959,1.56032,90.0,1.65806278939,94.9988,2023-07-14 17:31:32,False,1.29415730383,103.720216519,0.205778,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21154903449,103.588844784,1.64622,3.11015,1.56032,90.0,1.65806278939,94.9988,2023-07-14 17:31:42,False,1.29415699457,103.720213509,0.154333,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21152068676,103.589090104,1.69767,3.169,1.58999,91.0544,1.65806278939,94.9988,2023-07-14 17:31:52,False,1.29410744337,103.720234229,0.154333,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.2115101419,103.589182061,1.69767,3.16942,1.59523,91.4057,1.65806278939,94.9988,2023-07-14 17:32:02,False,1.29409183337,103.720233633,0.102889,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.2115129491,103.589305956,1.69767,3.22731,1.60396,91.0354,1.65806278939,94.9988,2023-07-14 17:32:12,False,1.29410086637,103.720241635,0.102889,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21150595926,103.589537919,1.74911,3.32449,1.59872,91.0051,1.65806278939,94.9988,2023-07-14 17:32:22,False,1.29410642395,103.720246549,0.102889,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21151458272,103.58962303,1.74911,3.32403,1.59872,90.3351,1.65806278939,94.9988,2023-07-14 17:32:32,False,1.29412565131,103.720219671,0.0514444,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.2115123574,103.589853887,1.80056,3.44066,1.58476,90.3237,1.65806278939,94.9988,2023-07-14 17:32:42,False,1.29412959459,103.720218503,0.102889,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21150992188,103.590011775,1.80056,3.46004,1.57952,90.0,1.65806278939,94.9988,2023-07-14 17:32:52,False,1.29411033273,103.720261554,0.205778,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21150326978,103.590129318,1.80056,3.47954,1.58301,90.3201,1.65806278939,94.9988,2023-07-14 17:33:02,False,1.29409978617,103.720274278,0.205778,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21150135271,103.590351751,1.74911,3.38235,1.58301,90.3293,1.65806278939,94.9988,2023-07-14 17:33:12,False,1.29407664463,103.720309957,0.360111,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21150000862,103.590471681,1.74911,3.38229,1.57429,90.0,1.67551608191,95.9985,2023-07-14 17:33:22,False,1.29404650191,103.720348147,0.360111,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21149324575,103.590723,1.69767,3.28533,1.58301,90.678,1.67551608191,95.9985,2023-07-14 17:33:32,False,1.29406635179,103.720276201,0.360111,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21148848893,103.59085023,1.64622,3.20787,1.59523,91.0416,1.67551608191,95.9985,2023-07-14 17:33:42,False,1.29405357363,103.720300552,0.257222,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21148414986,103.590959262,1.64622,3.20882,1.60221,91.7357,1.67551608191,95.9985,2023-07-14 17:33:52,False,1.29402972712,103.720323868,0.205778,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21147437673,103.591178835,1.59478,3.09291,1.61094,92.1611,1.67551608191,95.9985,2023-07-14 17:34:02,False,1.29403951895,103.720318497,0.154333,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.2114704068,103.591269405,1.59478,3.09291,1.61094,92.1611,1.67551608191,95.9985,2023-07-14 17:34:12,False,1.29402667405,103.720333125,0.154333,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21146681306,103.591368856,1.54333,3.09291,1.59872,92.1611,1.67551608191,95.9985,2023-07-14 17:34:22,False,1.29406102501,103.720337063,0.0514444,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21147797048,103.59153922,1.49189,2.89692,1.59349,91.1535,1.67551608191,95.9985,2023-07-14 17:34:32,False,1.29406026347,103.720340679,0.0514444,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21147202908,103.591654797,1.49189,2.89659,1.58825,90.769,1.67551608191,95.9985,2023-07-14 17:34:42,False,1.29409043221,103.720336325,0.154333,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21146520656,103.591837921,1.49189,2.89659,1.58476,90.769,1.67551608191,95.9985,2023-07-14 17:34:52,False,1.29409438201,103.720333148,0.257222,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21145903951,103.591949059,1.49189,2.7992,1.58476,90.3979,1.67551608191,95.9985,2023-07-14 17:35:02,False,1.29409595381,103.72032855,0.257222,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21145406264,103.592038454,1.44044,2.7992,1.57952,90.3979,1.67551608191,95.9985,2023-07-14 17:35:12,False,1.29409887699,103.720326444,0.154333,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21146117506,103.592207871,1.389,2.72166,1.5865,90.8185,1.67551608191,95.9985,2023-07-14 17:35:22,False,1.2940880608,103.720291143,0.102889,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21146612027,103.592295071,1.389,2.70257,1.59174,91.2364,1.67551608191,95.9985,2023-07-14 17:35:32,False,1.29409189089,103.720278771,0.102889,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21146229149,103.592384395,1.389,2.70257,1.59174,91.2364,1.67551608191,95.9985,2023-07-14 17:35:42,False,1.29411055854,103.720273154,0.102889,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21146567138,103.592541756,1.44044,2.80082,1.61094,91.9886,1.65806278939,94.9988,2023-07-14 17:35:52,False,1.29411385656,103.720261475,0.102889,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21146317724,103.592642347,1.44044,2.80022,1.53764,88.4089,1.67551608191,95.9985,2023-07-14 17:36:02,False,1.29409748396,103.720286914,0.102889,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.2114725085,103.592834209,1.49189,2.88109,1.50622,86.9059,1.67551608191,95.9985,2023-07-14 17:36:12,False,1.29408151912,103.72029855,0.102889,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21147043432,103.592939748,1.54333,2.97567,1.60745,91.8717,1.67551608191,95.9985,2023-07-14 17:36:22,False,1.29408325864,103.720292311,0.102889,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21142439491,103.593075897,1.64622,3.14789,1.74009,98.8807,1.65806278939,94.9988,2023-07-14 17:36:32,False,1.29407268715,103.720292636,0.102889,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21141844651,103.593304052,1.64622,3.44198,1.74009,91.6181,1.65806278939,94.9988,2023-07-14 17:36:42,False,1.2940663043,103.720297164,0.102889,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21142515979,103.593456271,1.64622,3.63504,1.74009,89.6936,1.65806278939,94.9988,2023-07-14 17:36:52,False,1.29406874213,103.720302806,0.0514444,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21142729081,103.593576358,2.00633,3.65448,1.67028,89.6952,1.65806278939,94.9988,2023-07-14 17:37:02,False,1.2940635014,103.72031954,0.0514444,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21136507814,103.593917568,2.16067,4.12869,1.63886,93.509,1.64060949687,93.999,2023-07-14 17:37:12,False,1.29406280575,103.72035958,0.0514444,0.0
MSC ULSAN III,3FFN5   ,9305001,PA,,CS,27915,374946000,1.21137378329,103.594073823,2.16067,4.33691,1.63886,91.7979,1.64060949687,93.999,2023-07-14 17:37:22,False,1.29406570982,103.720372277,0.0514444,0.0
