name,callsign,imonumber,flag,length,type,grosstonnage,mmsinumber,latitudedegrees,longitudedegrees,speedoverground,speedoverwater,courseoverground,courseoverwater,headingoverground,headingoverwater,timestamp,is_stopped,lat_tug_9386067,lon_tug_9386067,sog_tug_9386067,heading_tug_9386067,lat_tug_9386108,lon_tug_9386108,sog_tug_9386108,heading_tug_9386108,lat_tug_9511870,lon_tug_9511870,sog_tug_9511870,heading_tug_9511870,lat_tug_9853694,lon_tug_9853694,sog_tug_9853694,heading_tug_9853694,lat_tug_9868417,lon_tug_9868417,sog_tug_9868417,heading_tug_9868417,lat_tug_9892860,lon_tug_9892860,sog_tug_9892860,heading_tug_9892860
X PRESS GANGES,9V8255  ,9301093,SG,,CS,8971,563054900.0,1.2899619216,103.76171661,0.565889,1.08194,0.321141,17.7839,2.07694180987,118.998,2023-07-08 11:11:38,False,1.29099635437,103.760474324,0.0514444,0.0,1.29082350306,103.760351834,0.0514444,0.0,1.29071335576,103.760765078,0.0514444,0.0,1.29082335988,103.760610559,0.0,30.9979,1.29005169161,103.761287229,52.6277,302.997,1.29011169248,103.761368894,0.0514444,298.998
X PRESS GANGES,9V8255  ,9301093,SG,,CS,8971,563054900.0,1.2900347617,103.761740685,0.565889,1.08194,0.321141,17.7839,2.07694180987,118.998,2023-07-08 11:11:48,False,1.29099369141,103.76046862,0.0514444,0.0,1.2908231871,103.760345498,0.0514444,0.0,1.29071483494,103.760761682,0.0514444,0.0,1.29083002506,103.760595562,0.0,29.9982,1.29005669266,103.761290563,52.6277,302.997,1.29011169248,103.761368894,0.0514444,298.998
X PRESS GANGES,9V8255  ,9301093,SG,,CS,8971,563054900.0,1.29006875301,103.761751925,0.565889,1.08194,0.321141,17.7839,2.07694180987,118.998,2023-07-08 11:11:58,False,1.29099335994,103.760460556,0.0,0.0,1.29082444975,103.760337478,0.0514444,0.0,1.2907139319,103.760761595,0.0514444,0.0,1.29083002506,103.760595562,0.0,29.9982,1.29005335836,103.76128056,52.6277,303.997,1.29011169248,103.761368894,0.0514444,298.998
X PRESS GANGES,9V8255  ,9301093,SG,,CS,8971,563054900.0,1.2901076018,103.761764761,0.565889,1.08194,0.321141,17.7839,2.07694180987,118.998,2023-07-08 11:12:08,False,1.29099336,103.760462223,0.0,0.0,1.2908154858,103.760343155,0.0514444,0.0,1.29071653715,103.760758953,0.0514444,0.0,1.29083502564,103.760585559,0.0,29.9982,1.29005335836,103.76128056,52.6277,303.997,1.29011169248,103.761368894,0.0514444,298.998
X PRESS GANGES,9V8255  ,9301093,SG,,CS,8971,563054900.0,1.29018044411,103.761788836,0.565889,1.08194,0.321141,17.7839,2.07694180987,118.998,2023-07-08 11:12:18,False,1.29099702299,103.760463619,0.0514444,0.0,1.29081925257,103.760345033,0.0514444,0.0,1.29071184743,103.760755935,0.0514444,0.0,1.29083835954,103.760583892,0.0,29.9982,1.29005002625,103.761270557,52.6277,304.997,1.29011169248,103.761368894,0.0514444,298.998
X PRESS GANGES,9V8255  ,9301093,SG,,CS,8971,563054900.0,1.29021929069,103.761801673,0.565889,1.08194,0.321141,17.7839,2.07694180987,118.998,2023-07-08 11:12:28,False,1.29099702299,103.760463619,0.0514444,0.0,1.29079693952,103.760350062,0.102889,0.0,1.2907101428,103.760752785,0.0514444,0.0,1.29083835977,103.760590561,0.0,26.9989,1.29005002625,103.761270557,52.6277,306.996,1.29011169248,103.761368894,0.0514444,298.998
X PRESS GANGES,9V8255  ,9301093,SG,,CS,8971,563054900.0,1.29025813948,103.761814518,0.565889,1.08194,0.321141,17.7839,2.07694180987,118.998,2023-07-08 11:12:38,False,1.29098868803,103.760462004,0.0514444,0.0,1.2907393983,103.760332286,0.514444,0.0,1.29071359368,103.760750012,0.0514444,0.0,1.29083669274,103.760588893,0.0,25.9991,1.29005002631,103.761272224,52.6277,307.996,1.29011169248,103.761368894,0.0514444,298.998
X PRESS GANGES,9V8255  ,9301093,SG,,CS,8971,563054900.0,1.29032612431,103.761836987,0.565889,1.08194,0.321141,17.7839,2.07694180987,118.998,2023-07-08 11:12:48,False,1.29097969126,103.760475939,0.0514444,0.0,1.29070818903,103.760323047,0.514444,0.0,1.29071373046,103.760746783,0.0514444,0.0,1.29083502582,103.760590561,0.0,25.9991,1.29005002631,103.761272224,52.6277,307.996,1.29011169248,103.761368894,0.0514444,298.998
X PRESS GANGES,9V8255  ,9301093,SG,,CS,8971,563054900.0,1.2903649731,103.761849824,0.565889,1.08194,0.321141,17.7839,2.07694180987,118.998,2023-07-08 11:12:58,False,1.29098102294,103.760484644,0.0514444,0.0,1.29055866167,103.760310522,0.771667,0.0,1.29071386723,103.760743554,0.0514444,0.0,1.29083821202,103.76059551,0.0514444,24.9994,1.2900566919,103.761268889,52.6277,310.995,1.29011169248,103.761368894,0.0514444,298.998
X PRESS GANGES,9V8255  ,9301093,SG,,CS,8971,563054900.0,1.29039896662,103.761861063,0.565889,1.08194,0.321141,17.7839,2.07694180987,118.998,2023-07-08 11:13:08,False,1.29098102294,103.760484644,0.0514444,0.0,1.29055866167,103.760310522,0.771667,0.0,1.29071267324,103.76075733,0.0514444,0.0,1.29083821202,103.76059551,0.0514444,24.9994,1.29006335982,103.761268889,52.6277,310.995,1.29011169248,103.761368894,0.0514444,298.998
