name,callsign,imonumber,flag,length,type,grosstonnage,mmsinumber,latitudedegrees,longitudedegrees,speedoverground,speedoverwater,courseoverground,courseoverwater,headingoverground,headingoverwater,timestamp,is_stopped,lat_tug_9382528,lon_tug_9382528,sog_tug_9382528,heading_tug_9382528,lat_tug_9386067,lon_tug_9386067,sog_tug_9386067,heading_tug_9386067,lat_tug_9386081,lon_tug_9386081,sog_tug_9386081,heading_tug_9386081,lat_tug_9386093,lon_tug_9386093,sog_tug_9386093,heading_tug_9386093,lat_tug_9386108,lon_tug_9386108,sog_tug_9386108,heading_tug_9386108,lat_tug_9456513,lon_tug_9456513,sog_tug_9456513,heading_tug_9456513,lat_tug_9511870,lon_tug_9511870,sog_tug_9511870,heading_tug_9511870,lat_tug_9511882,lon_tug_9511882,sog_tug_9511882,heading_tug_9511882,lat_tug_9511909,lon_tug_9511909,sog_tug_9511909,heading_tug_9511909,lat_tug_9679268,lon_tug_9679268,sog_tug_9679268,heading_tug_9679268,lat_tug_9868417,lon_tug_9868417,sog_tug_9868417,heading_tug_9868417
X PRESS GANGES,9V8255  ,9301093,SG,,CS,8971,563054900.0,1.29002037584,103.761641443,0.617333,1.18638,5.95681,341.862,2.07694180987,118.998,2023-05-29 14:26:13,False,1.25963169271,103.778727225,0.154333,0.0,1.29021829591,103.761262074,0.0514444,0.0,1.28248169289,103.762915564,0.0,166.998,1.25938835909,103.778595559,0.0,0.0,1.2910633582,103.760290559,0.0,0.0,1.2945870983,103.716567378,0.0514444,0.0,1.29095335865,103.760262229,0.0,0.0,1.29088002562,103.760533891,0.0,0.0,1.28903961499,103.763276591,0.0514444,104.996,1.29072502669,103.760823895,0.0,0.0,1.29084002629,103.76020389,52.6277,110.995
X PRESS GANGES,9V8255  ,9301093,SG,,CS,8971,563054900.0,1.29006268129,103.761627217,0.617333,1.18638,5.95681,341.862,2.07694180987,118.998,2023-05-29 14:26:23,False,1.25961477338,103.778726291,0.205778,0.0,1.29020666212,103.761254651,0.0514444,0.0,1.28247169229,103.762920557,0.0,166.998,1.25938738344,103.778604667,0.0514444,0.0,1.2910633582,103.760290559,0.0,0.0,1.2945870983,103.716567378,0.0514444,0.0,1.29095335865,103.760262229,0.0,0.0,1.29088002562,103.760533891,0.0,0.0,1.28903781559,103.763278171,0.0514444,104.996,1.29073502624,103.760820561,0.0,0.0,1.29084002629,103.76020389,52.6277,110.995
X PRESS GANGES,9V8255  ,9301093,SG,,CS,8971,563054900.0,1.29010498674,103.761612992,0.617333,1.18638,5.95681,341.862,2.07694180987,118.998,2023-05-29 14:26:33,False,1.25962373752,103.778725541,0.154333,0.0,1.29020616989,103.761258477,0.0514444,0.0,1.28237502631,103.762922227,0.0,166.998,1.25939335911,103.778602227,0.0,0.0,1.29105690898,103.760293754,0.0514444,0.0,1.2945870983,103.716567378,0.0514444,0.0,1.29094114199,103.760255342,0.0514444,0.0,1.29088002562,103.760533891,0.0,0.0,1.28903427625,103.763277021,0.0514444,104.996,1.29074169165,103.760812224,0.0,0.0,1.29083835961,103.760212226,52.6277,111.995
X PRESS GANGES,9V8255  ,9301093,SG,,CS,8971,563054900.0,1.29014200428,103.761600539,0.617333,1.18638,5.95681,341.862,2.07694180987,118.998,2023-05-29 14:26:43,False,1.25963502556,103.778727225,0.0,0.0,1.29021365466,103.761256406,0.0514444,0.0,1.28237502631,103.762922227,0.0,166.998,1.25938502591,103.778603895,0.0,0.0,1.29105748975,103.76029614,0.0514444,0.0,1.29459335959,103.716560559,0.0,0.0,1.29094022136,103.760257272,0.0514444,0.0,1.29087669166,103.760533891,0.0,0.0,1.28903162451,103.763276162,0.0514444,104.996,1.29074002664,103.760805556,0.0,0.0,1.29083835961,103.760212226,52.6277,111.995
X PRESS GANGES,9V8255  ,9301093,SG,,CS,8971,563054900.0,1.29022132727,103.76157387,0.617333,1.18638,5.95681,341.862,2.07694180987,118.998,2023-05-29 14:26:53,False,1.25963335913,103.778727225,0.0,0.0,1.29022580501,103.761261074,0.0514444,0.0,1.28261039462,103.762879986,0.0514444,166.998,1.25938669238,103.778605562,0.0,0.0,1.29105313554,103.760290726,0.0514444,0.0,1.29460002511,103.716557224,0.0,0.0,1.29094347583,103.760257351,0.0514444,0.0,1.29088321613,103.760535795,0.0514444,0.0,1.28902785556,103.763275232,0.0514444,104.996,1.29073669239,103.760797228,0.0,0.0,1.29083669263,103.760212226,52.6277,110.995
X PRESS GANGES,9V8255  ,9301093,SG,,CS,8971,563054900.0,1.29025834481,103.761561417,0.617333,1.18638,5.95681,341.862,2.07694180987,118.998,2023-05-29 14:27:03,False,1.25963502556,103.778727225,0.0514444,0.0,1.29022788034,103.761258003,0.0514444,0.0,1.2826074293,103.762877749,0.0514444,166.998,1.25937835476,103.778606742,0.102889,0.0,1.2910616914,103.760295561,0.0,0.0,1.29460335933,103.716562226,0.0,0.0,1.29095502557,103.760260562,0.0,0.0,1.29088002491,103.760513894,0.0,0.0,1.28902471808,103.763274363,0.0514444,104.996,1.29073669204,103.760787225,0.0,0.0,1.29082335918,103.760217228,52.6277,110.995
X PRESS GANGES,9V8255  ,9301093,SG,,CS,8971,563054900.0,1.29030594037,103.76154541,0.617333,1.18638,5.95681,341.862,2.07694180987,118.998,2023-05-29 14:27:14,False,1.25963502556,103.778727225,0.0514444,0.0,1.29021758698,103.761256713,0.0514444,0.0,1.28248054916,103.762914765,0.0514444,166.998,1.25939502572,103.778608892,0.0,0.0,1.29105835988,103.76030223,0.0,0.0,1.29460835832,103.716567227,0.0,0.0,1.29096661939,103.760261518,0.0514444,0.0,1.29088002491,103.760513894,0.0,0.0,1.28903671738,103.763252698,0.0514444,104.996,1.2907333582,103.76079056,0.0,0.0,1.290823359,103.760212226,52.6277,109.995
X PRESS GANGES,9V8255  ,9301093,SG,,CS,8971,563054900.0,1.29034295791,103.761532957,0.617333,1.18638,5.95681,341.862,2.07694180987,118.998,2023-05-29 14:27:23,False,1.25963502556,103.778727225,0.0514444,0.0,1.29021620069,103.761264698,0.0514444,0.0,1.28247788193,103.762912914,0.0514444,166.998,1.25939239289,103.778612972,0.0,0.0,1.29105835988,103.76030223,0.0,0.0,1.29460835832,103.716567227,0.0,0.0,1.29096980549,103.760263431,0.0514444,0.0,1.29088002491,103.760513894,0.0,0.0,1.2890335512,103.763251934,0.0514444,104.996,1.29073335999,103.760778889,0.0,0.0,1.290823359,103.760212226,52.6277,109.995
X PRESS GANGES,9V8255  ,9301093,SG,,CS,8971,563054900.0,1.2904275688,103.761504506,0.617333,1.18638,5.95681,341.862,2.07694180987,118.998,2023-05-29 14:27:33,False,1.25963669254,103.778727225,0.0514444,0.0,1.29022871995,103.76127507,0.0514444,0.0,1.28244169208,103.762885564,0.0514444,166.998,1.2593966922,103.778610559,0.0,0.0,1.29105169238,103.760313892,0.0,0.0,1.29459669204,103.716573897,0.0,0.0,1.29097068887,103.7602696,0.0514444,0.0,1.29088169189,103.760513893,0.0,0.0,1.28904490846,103.763243949,0.0514444,104.996,1.29073002615,103.760782224,0.0,0.0,1.29082669284,103.760208892,52.6277,109.995
X PRESS GANGES,9V8255  ,9301093,SG,,CS,8971,563054900.0,1.29046458634,103.761492054,0.617333,1.18638,5.95681,341.862,2.07694180987,118.998,2023-05-29 14:27:43,False,1.25964002595,103.778727225,0.0514444,0.0,1.29022523802,103.761273762,0.0514444,0.0,1.28244169208,103.762885564,0.0,166.998,1.25940169272,103.77861556,0.0,0.0,1.29105169232,103.760312225,0.0,0.0,1.29459502507,103.716573897,0.0,0.0,1.29096702625,103.760278401,0.0514444,0.0,1.29087864059,103.760515157,0.0514444,0.0,1.28904174007,103.763243186,0.0514444,104.996,1.29073335808,103.760787225,0.0,0.0,1.29082669284,103.760208892,52.6277,109.995
