name,callsign,imonumber,flag,length,type,grosstonnage,mmsinumber,latitudedegrees,longitudedegrees,speedoverground,speedoverwater,courseoverground,courseoverwater,headingoverground,headingoverwater,timestamp,is_stopped,lat_tug_9853694,lon_tug_9853694,sog_tug_9853694,heading_tug_9853694,lat_tug_9951616,lon_tug_9951616,sog_tug_9951616,heading_tug_9951616
HUMEN BRIDGE,3EKA7   ,9302164,PA,,CS,98747,372665000,1.28241784553,103.763470193,0.514444,0.983516,0.329867,18.4349,2.25147473507,128.996,2023-05-22 07:37:53,False,1.28259130031,103.765192423,0.308667,210.998,1.28427371003,103.763595567,0.668778,201.995
HUMEN BRIDGE,3EKA7   ,9302164,PA,,CS,98747,372665000,1.28247533611,103.763460153,0.514444,0.985435,0.274017,14.8586,2.26892802759,129.996,2023-05-22 07:38:03,False,1.28260988576,103.765200969,0.308667,214.997,1.28428585073,103.763673837,0.771667,207.999
HUMEN BRIDGE,3EKA7   ,9302164,PA,,CS,98747,372665000,1.28257479555,103.763471504,0.514444,0.995165,0.233874,12.4074,2.28638132011,130.995,2023-05-22 07:38:13,False,1.28263115191,103.765218123,0.308667,214.997,1.28429547626,103.763741807,0.874556,210.998
HUMEN BRIDGE,3EKA7   ,9302164,PA,,CS,98747,372665000,1.28261100241,103.763480076,0.514444,0.995165,0.233874,12.4074,2.28638132011,130.995,2023-05-22 07:38:23,False,1.28266937435,103.765252335,0.360111,215.997,1.28431474757,103.763889415,0.977444,212.997
HUMEN BRIDGE,3EKA7   ,9302164,PA,,CS,98747,372665000,1.28265626269,103.763483997,0.514444,0.995165,0.230383,12.4074,2.30383461263,131.995,2023-05-22 07:38:33,False,1.28269128533,103.765273095,0.360111,218.996,1.2843206395,103.763924839,0.874556,216.996
HUMEN BRIDGE,3EKA7   ,9302164,PA,,CS,98747,372665000,1.28270166672,103.763494885,0.514444,0.980631,0.23911,13.7608,2.30383461263,131.995,2023-05-22 07:38:43,False,1.28270615662,103.765301499,0.411556,218.996,1.28433049595,103.763966089,0.771667,218.996
HUMEN BRIDGE,3EKA7   ,9302164,PA,,CS,98747,372665000,1.28277020663,103.76351159,0.514444,0.980631,0.240855,13.7608,2.30383461263,131.995,2023-05-22 07:38:53,False,1.28274845387,103.765338738,0.360111,208.998,1.28435346441,103.764048299,0.668778,220.995
HUMEN BRIDGE,3EKA7   ,9302164,PA,,CS,98747,372665000,1.28280947283,103.763527839,0.514444,0.980631,0.244346,13.7608,2.32128790515,132.995,2023-05-22 07:39:03,False,1.28274345613,103.765335351,0.102889,220.995,1.28436520529,103.764088716,0.668778,220.995
HUMEN BRIDGE,3EKA7   ,9302164,PA,,CS,98747,372665000,1.28288316951,103.763549765,0.514444,0.980631,0.247837,13.7608,2.32128790515,132.995,2023-05-22 07:39:13,False,1.28264955275,103.765186288,1.13178,235.997,1.2844277693,103.764133193,0.565889,227.0
HUMEN BRIDGE,3EKA7   ,9302164,PA,,CS,98747,372665000,1.28291372846,103.763556608,0.514444,0.985435,0.268781,14.8586,2.33874119767,133.995,2023-05-22 07:39:23,False,1.28258466086,103.76508617,1.49189,228.999,1.28445880047,103.764164764,0.565889,227.0
HUMEN BRIDGE,3EKA7   ,9302164,PA,,CS,98747,372665000,1.282990292,103.763574577,0.565889,1.08036,0.158825,8.27589,2.35619449019,135.0,2023-05-22 07:39:33,False,1.28258466086,103.76508617,1.49189,228.999,1.28448888877,103.764193825,0.617333,227.999
HUMEN BRIDGE,3EKA7   ,9302164,PA,,CS,98747,372665000,1.28302566527,103.763580209,0.565889,1.08036,0.158825,8.27589,2.35619449019,135.0,2023-05-22 07:39:43,False,1.28240526039,103.764876914,1.28611,226.0,1.28454575443,103.764246858,0.617333,229.999
HUMEN BRIDGE,3EKA7   ,9302164,PA,,CS,98747,372665000,1.2830659165,103.763572802,0.565889,1.09133,0.0855211,4.08562,2.37364778271,136.0,2023-05-22 07:39:53,False,1.2823913344,103.764858005,0.874556,227.0,1.28458250107,103.764253832,0.617333,230.999
HUMEN BRIDGE,3EKA7   ,9302164,PA,,CS,98747,372665000,1.28315318209,103.7635662,0.565889,1.08873,0.0349066,1.02303,2.39110107523,137.0,2023-05-22 07:40:03,False,1.28233570788,103.764786159,0.771667,228.999,1.2846474518,103.764297028,0.617333,230.999
HUMEN BRIDGE,3EKA7   ,9302164,PA,,CS,98747,372665000,1.28317929604,103.763559916,0.565889,1.08855,0.0349066,0.0,2.39110107523,137.999,2023-05-22 07:40:13,False,1.28233560694,103.764771812,0.617333,227.999,1.28466225823,103.764300713,0.514444,233.998
