name,callsign,imonumber,flag,length,type,grosstonnage,mmsinumber,latitudedegrees,longitudedegrees,speedoverground,speedoverwater,courseoverground,courseoverwater,headingoverground,headingoverwater,timestamp,is_stopped,lat_tug_9382528,lon_tug_9382528,sog_tug_9382528,heading_tug_9382528,lat_tug_9678446,lon_tug_9678446,sog_tug_9678446,heading_tug_9678446,lat_tug_9830202,lon_tug_9830202,sog_tug_9830202,heading_tug_9830202
ZHONG GU DI ZHONG HAI,BOEZ2   ,9842360,CN,,CS,18490,413228080,1.2554975007,103.783352203,0.514444,0.990026,0.804597,46.5911,1.90240888467,108.995,2023-05-20 09:59:17,False,1.2541485599,103.715594724,1.49189,0.0,1.22256155216,103.816326201,0.0514444,0.0,1.25529938003,103.783028606,0.514444,25.9991
ZHONG GU DI ZHONG HAI,BOEZ2   ,9842360,CN,,CS,18490,413228080,1.25551812666,103.783377996,0.463,0.880113,0.809833,46.7899,1.91986217719,109.995,2023-05-20 09:59:27,True,1.25413308463,103.715488147,1.389,0.0,1.22255827582,103.81634361,0.0514444,0.0,1.25531396944,103.783050736,0.463,27.9987
ZHONG GU DI ZHONG HAI,BOEZ2   ,9842360,CN,,CS,18490,413228080,1.25553465244,103.783401183,0.463,0.89438,0.830777,47.6425,1.91986217719,109.995,2023-05-20 09:59:37,True,1.25411198231,103.715378527,1.389,0.0,1.22255804624,103.816347302,0.0514444,0.0,1.25533191374,103.783071018,0.463,29.9982
ZHONG GU DI ZHONG HAI,BOEZ2   ,9842360,CN,,CS,18490,413228080,1.25556963922,103.783446635,0.411556,0.784553,0.84823,48.0128,1.91986217719,109.995,2023-05-20 09:59:47,True,1.25407944001,103.715168901,1.389,0.0,1.22255151951,103.816338328,0.0514444,0.0,1.25537211673,103.783116422,0.411556,28.9984
ZHONG GU DI ZHONG HAI,BOEZ2   ,9842360,CN,,CS,18490,413228080,1.25558493517,103.783469352,0.411556,0.786477,0.870919,50.0131,1.91986217719,109.995,2023-05-20 09:59:57,True,1.25407008254,103.715034921,1.59478,0.0,1.22255824464,103.816322404,0.0514444,0.0,1.25539452869,103.783134098,0.411556,24.9994
ZHONG GU DI ZHONG HAI,BOEZ2   ,9842360,CN,,CS,18490,413228080,1.25560386631,103.783485931,0.360111,0.687253,0.783653,45.0,1.93731546971,110.995,2023-05-20 10:00:08,True,1.25406124052,103.714920667,1.59478,0.0,1.22255801948,103.816326096,0.0514444,0.0,1.25540935626,103.783144811,0.411556,23.9996
ZHONG GU DI ZHONG HAI,BOEZ2   ,9842360,CN,,CS,18490,413228080,1.25564268766,103.783508468,0.360111,0.684774,0.591667,34.5923,1.93731546971,110.995,2023-05-20 10:00:18,True,1.25405245813,103.714806649,1.59478,0.0,1.22253818803,103.816334994,0.0,0.0,1.25544060959,103.783152835,0.360111,23.9996
ZHONG GU DI ZHONG HAI,BOEZ2   ,9842360,CN,,CS,18490,413228080,1.25566940162,103.783520897,0.360111,0.680068,0.553269,30.9638,1.95476876223,111.995,2023-05-20 10:00:28,True,1.25399578832,103.71465177,1.389,0.0,1.22254443621,103.816316126,0.0514444,0.0,1.25547068081,103.783212559,0.411556,21.9946
ZHONG GU DI ZHONG HAI,BOEZ2   ,9842360,CN,,CS,18490,413228080,1.25567859337,103.783527807,0.360111,0.59343,0.553269,31.6075,1.95476876223,113.0,2023-05-20 10:00:38,True,1.25397857904,103.714552064,1.33756,0.0,1.22254127889,103.81631692,0.0514444,0.0,1.25549563961,103.783230639,0.411556,14.9963
ZHONG GU DI ZHONG HAI,BOEZ2   ,9842360,CN,,CS,18490,413228080,1.25569546882,103.783539955,0.308667,0.59343,0.55676,31.6075,1.98967534727,114.0,2023-05-20 10:00:48,True,1.25396111392,103.714457545,1.33756,0.0,1.22255336065,103.816317227,0.0514444,0.0,1.25549325547,103.783289535,0.411556,8.9978
ZHONG GU DI ZHONG HAI,BOEZ2   ,9842360,CN,,CS,18490,413228080,1.25573692753,103.783562084,0.308667,0.59343,0.565487,31.6075,2.00712863979,114.999,2023-05-20 10:00:58,True,1.25393727961,103.714270014,1.33756,0.0,1.22256820694,103.816334289,0.0,0.0,1.25554869957,103.783285216,0.360111,13.9966
ZHONG GU DI ZHONG HAI,BOEZ2   ,9842360,CN,,CS,18490,413228080,1.25575317253,103.783570994,0.308667,0.59343,0.567232,31.6075,2.02458193231,115.999,2023-05-20 10:01:08,True,1.25392014677,103.714175423,1.33756,0.0,1.22256457271,103.816335083,0.0514444,0.0,1.25557729397,103.783270355,0.360111,22.9999
ZHONG GU DI ZHONG HAI,BOEZ2   ,9842360,CN,,CS,18490,413228080,1.25576791719,103.783577127,0.308667,0.480094,0.567232,31.7595,2.02458193231,115.999,2023-05-20 10:01:18,True,1.25390316187,103.714081369,1.33756,0.0,1.22256002878,103.81633332,0.0514444,0.0,1.25561732891,103.783262769,0.411556,28.9984
ZHONG GU DI ZHONG HAI,BOEZ2   ,9842360,CN,,CS,18490,413228080,1.25580556932,103.783594926,0.257222,0.496727,0.544543,30.5792,2.04203522483,116.999,2023-05-20 10:01:28,True,1.25384071528,103.713995126,1.33756,0.0,1.22258139232,103.81630802,0.0514444,0.0,1.2556342149,103.783255389,0.257222,26.9989
ZHONG GU DI ZHONG HAI,BOEZ2   ,9842360,CN,,CS,18490,413228080,1.25581952461,103.783599721,0.257222,0.487126,0.518363,28.6105,2.04203522483,116.999,2023-05-20 10:01:38,True,1.25374293037,103.713707409,1.90344,0.0,1.22256775164,103.816297721,0.0514444,0.0,1.25566681507,103.783263671,0.308667,23.9996
ZHONG GU DI ZHONG HAI,BOEZ2   ,9842360,CN,,CS,18490,413228080,1.25584142624,103.783605963,0.257222,0.487126,0.492183,28.6105,2.04203522483,116.999,2023-05-20 10:01:48,True,1.25375391602,103.713647258,1.49189,0.0,1.22256457224,103.816298416,0.0514444,0.0,1.25568395612,103.783258099,0.257222,29.9982
ZHONG GU DI ZHONG HAI,BOEZ2   ,9842360,CN,,CS,18490,413228080,1.25587689909,103.783621007,0.257222,0.478123,0.492183,26.5651,2.04203522483,117.999,2023-05-20 10:01:58,True,1.25374455289,103.713554282,1.49189,0.0,1.22255691488,103.816275993,0.0514444,0.0,1.25569028676,103.783278702,0.257222,29.9982
ZHONG GU DI ZHONG HAI,BOEZ2   ,9842360,CN,,CS,18490,413228080,1.2559039553,103.783634637,0.257222,0.478123,0.483456,26.5651,2.07694180987,118.998,2023-05-20 10:02:08,True,1.25377411223,103.71333924,1.28611,0.0,1.22256436009,103.816283346,0.0514444,0.0,1.25571849968,103.783282715,0.257222,28.9984
ZHONG GU DI ZHONG HAI,BOEZ2   ,9842360,CN,,CS,18490,413228080,1.25591944396,103.783638081,0.257222,0.478123,0.483456,26.5651,2.07694180987,118.998,2023-05-20 10:02:18,True,1.25379102043,103.713254827,1.33756,0.0,1.222563287,103.816279803,0.0514444,0.0,1.25573518403,103.783290129,0.257222,27.9987
ZHONG GU DI ZHONG HAI,BOEZ2   ,9842360,CN,,CS,18490,413228080,1.25593174554,103.783643723,0.257222,0.382893,0.483456,23.9625,2.07694180987,119.998,2023-05-20 10:02:28,True,1.25380879447,103.713155707,1.33756,0.0,1.22256188733,103.816292355,0.0514444,0.0,1.25576086242,103.783300834,0.257222,26.9989
ZHONG GU DI ZHONG HAI,BOEZ2   ,9842360,CN,,CS,18490,413228080,1.25594765375,103.783649461,0.154333,0.288973,0.3735,19.6538,2.09439510239,119.998,2023-05-20 10:02:40,True,1.25381015214,103.713067969,0.463,0.0,1.22255242405,103.81628246,0.0514444,0.0,1.25577032753,103.783290936,0.154333,33.9972
ZHONG GU DI ZHONG HAI,BOEZ2   ,9842360,CN,,CS,18490,413228080,1.25594119428,103.783641726,0.0514444,0.0801468,0.254818,14.0362,2.07694180987,118.998,2023-05-20 10:02:48,True,1.25381638276,103.713002817,0.463,0.0,1.22255255657,103.816286237,0.0514444,0.0,1.25576224444,103.783295266,0.205778,34.9969
ZHONG GU DI ZHONG HAI,BOEZ2   ,9842360,CN,,CS,18490,413228080,1.2559419614,103.783636488,0.0514444,0.0801468,0.254818,14.0362,2.04203522483,116.999,2023-05-20 10:02:58,True,1.25382364624,103.712929214,1.28611,0.0,1.22255148789,103.816282695,0.0514444,0.0,1.2557920431,103.783273899,0.205778,34.9969
ZHONG GU DI ZHONG HAI,BOEZ2   ,9842360,CN,,CS,18490,413228080,1.25594254622,103.783625405,0.0514444,0.0801468,0.254818,14.0362,2.02458193231,115.999,2023-05-20 10:03:08,True,1.2538047735,103.712813627,1.28611,0.0,1.22258762204,103.816225444,0.205778,0.0,1.25578721894,103.783279634,0.154333,37.9962
ZHONG GU DI ZHONG HAI,BOEZ2   ,9842360,CN,,CS,18490,413228080,1.25594632945,103.783623857,0.102889,0.179214,0.254818,12.5288,2.02458193231,115.999,2023-05-20 10:03:18,True,1.25378641363,103.712710183,0.977444,0.0,1.22274644636,103.816194185,0.926,0.0,1.25578613873,103.783301974,0.154333,37.9962
ZHONG GU DI ZHONG HAI,BOEZ2   ,9842360,CN,,CS,18490,413228080,1.25595607343,103.783640462,0.154333,0.296078,0.39968,23.1986,2.04203522483,116.999,2023-05-20 10:03:28,True,1.25377668956,103.712639653,0.771667,0.0,1.22275835572,103.816180519,0.463,0.0,1.2557972589,103.783300969,0.154333,37.9962
ZHONG GU DI ZHONG HAI,BOEZ2   ,9842360,CN,,CS,18490,413228080,1.255993333,103.783675503,0.205778,0.391191,0.438078,26.5651,2.05948851735,117.999,2023-05-20 10:03:40,True,1.25378114445,103.712584828,0.771667,0.0,1.22273806921,103.816171141,0.154333,0.0,1.25580389444,103.783329618,0.154333,32.9974
ZHONG GU DI ZHONG HAI,BOEZ2   ,9842360,CN,,CS,18490,413228080,1.25600686009,103.783685954,0.205778,0.382893,0.438078,23.9625,2.05948851735,117.999,2023-05-20 10:03:48,True,1.25378016931,103.71247389,0.771667,0.0,1.22271966836,103.816169943,0.154333,0.0,1.25581423317,103.783335107,0.205778,36.9965
ZHONG GU DI ZHONG HAI,BOEZ2   ,9842360,CN,,CS,18490,413228080,1.25601025148,103.783686686,0.102889,0.184409,0.387463,18.4349,2.07694180987,118.998,2023-05-20 10:03:58,True,1.25379464425,103.712387301,0.771667,0.0,1.22271908984,103.816166291,0.154333,0.0,1.25581933908,103.783338774,0.205778,33.9972
ZHONG GU DI ZHONG HAI,BOEZ2   ,9842360,CN,,CS,18490,413228080,1.25600552635,103.783679732,0.0514444,0.0801468,0.371755,14.0362,2.07694180987,118.998,2023-05-20 10:04:08,True,1.25379689545,103.712329098,0.926,0.0,1.222708143,103.816169571,0.102889,0.0,1.25580475697,103.783342815,0.154333,31.9977
ZHONG GU DI ZHONG HAI,BOEZ2   ,9842360,CN,,CS,18490,413228080,1.25601202874,103.783682251,0.0514444,0.0801468,0.371755,14.0362,2.07694180987,118.998,2023-05-20 10:04:18,True,1.25380612834,103.712171549,0.977444,0.0,1.22271052766,103.816177751,0.102889,0.0,1.25580171755,103.783334071,0.102889,28.9984
ZHONG GU DI ZHONG HAI,BOEZ2   ,9842360,CN,,CS,18490,413228080,1.25600392766,103.783673735,0.0514444,0.0801468,0.371755,14.0362,2.07694180987,118.998,2023-05-20 10:04:28,True,1.25381523381,103.712088557,1.08033,0.0,1.22270869056,103.816169281,0.102889,0.0,1.25580003172,103.783330856,0.102889,26.9989
ZHONG GU DI ZHONG HAI,BOEZ2   ,9842360,CN,,CS,18490,413228080,1.25600176044,103.783667895,0.0514444,0.0801468,0.371755,14.0362,2.05948851735,117.999,2023-05-20 10:04:40,True,1.25382610706,103.712033171,0.771667,0.0,1.22269702836,103.816173081,0.0514444,0.0,1.25579781846,103.783337919,0.154333,30.9979
ZHONG GU DI ZHONG HAI,BOEZ2   ,9842360,CN,,CS,18490,413228080,1.25600522801,103.783669238,0.0514444,0.0801468,0.371755,14.0362,2.05948851735,117.999,2023-05-20 10:04:48,True,1.25383383333,103.711985243,0.771667,0.0,1.22269365918,103.816181875,0.0514444,0.0,1.25583538925,103.783326568,0.257222,34.9969
ZHONG GU DI ZHONG HAI,BOEZ2   ,9842360,CN,,CS,18490,413228080,1.256014562,103.783669255,0.0514444,0.184409,0.371755,18.4349,2.05948851735,117.999,2023-05-20 10:04:58,True,1.25385634931,103.71183301,0.977444,0.0,1.22268517641,103.81618705,0.0514444,0.0,1.25583647079,103.78331316,0.154333,32.9974
ZHONG GU DI ZHONG HAI,BOEZ2   ,9842360,CN,,CS,18490,413228080,1.25601516024,103.783665236,0.0514444,0.0801468,0.371755,14.0362,2.05948851735,117.999,2023-05-20 10:05:08,True,1.25386581583,103.711772254,0.720222,0.0,1.22268547223,103.816183365,0.0514444,0.0,1.25584488974,103.78331893,0.154333,24.9994
ZHONG GU DI ZHONG HAI,BOEZ2   ,9842360,CN,,CS,18490,413228080,1.25601762635,103.783659901,0.0514444,0.0801468,0.371755,14.0362,2.07694180987,118.998,2023-05-20 10:05:18,True,1.25390038088,103.711732819,0.720222,0.0,1.22269112468,103.816197266,0.0514444,0.0,1.25583966779,103.783310243,0.154333,24.9994
ZHONG GU DI ZHONG HAI,BOEZ2   ,9842360,CN,,CS,18490,413228080,1.2560214603,103.783655742,0.0514444,0.0801468,0.371755,14.0362,2.07694180987,118.998,2023-05-20 10:05:28,True,1.25393041025,103.711640446,0.720222,0.0,1.22270552481,103.816201495,0.0,0.0,1.25583802062,103.783307992,0.102889,26.9989
ZHONG GU DI ZHONG HAI,BOEZ2   ,9842360,CN,,CS,18490,413228080,1.25602226058,103.78365207,0.0514444,0.0801468,0.371755,14.0362,2.07694180987,118.998,2023-05-20 10:05:40,True,1.25397025065,103.711634039,0.463,0.0,1.22270268981,103.816199099,0.0514444,0.0,1.25586085463,103.783296005,0.102889,29.9982
ZHONG GU DI ZHONG HAI,BOEZ2   ,9842360,CN,,CS,18490,413228080,1.25602139277,103.783648402,0.0514444,0.0801468,0.371755,14.0362,2.07694180987,118.998,2023-05-20 10:05:48,True,1.25398511275,103.711604073,0.463,0.0,1.22269244067,103.816201964,0.0514444,0.0,1.25586455177,103.783294856,0.102889,31.9977
ZHONG GU DI ZHONG HAI,BOEZ2   ,9842360,CN,,CS,18490,413228080,1.25602832903,103.783651087,0.0514444,0.0801468,0.371755,14.0362,2.07694180987,118.998,2023-05-20 10:05:58,True,1.25400195187,103.711571096,0.514444,0.0,1.22268603355,103.816223697,0.102889,0.0,1.25586101803,103.783296304,0.102889,32.9974
ZHONG GU DI ZHONG HAI,BOEZ2   ,9842360,CN,,CS,18490,413228080,1.2560317966,103.783652429,0.0514444,0.0801468,0.371755,14.0362,2.07694180987,118.998,2023-05-20 10:06:08,True,1.25401232499,103.711494177,0.617333,0.0,1.22268108344,103.816227898,0.102889,0.0,1.25585875143,103.783289859,0.102889,34.9969
ZHONG GU DI ZHONG HAI,BOEZ2   ,9842360,CN,,CS,18490,413228080,1.25603526418,103.783653776,0.0514444,0.0801468,0.371755,14.0362,2.07694180987,118.998,2023-05-20 10:06:18,True,1.25401761391,103.71145011,0.617333,0.0,1.22267277256,103.816207945,0.102889,0.0,1.25585807115,103.7832804,0.102889,37.9962
ZHONG GU DI ZHONG HAI,BOEZ2   ,9842360,CN,,CS,18490,413228080,1.25604176657,103.783656294,0.0514444,0.0801468,0.371755,14.0362,2.07694180987,118.998,2023-05-20 10:06:28,True,1.25402224075,103.711411554,0.617333,0.0,1.22267428717,103.816205608,0.102889,0.0,1.25586919538,103.783265588,0.102889,37.9962
ZHONG GU DI ZHONG HAI,BOEZ2   ,9842360,CN,,CS,18490,413228080,1.25604523414,103.783657637,0.0514444,0.0801468,0.371755,14.0362,2.07694180987,118.998,2023-05-20 10:06:40,True,1.25404081896,103.711405823,0.360111,0.0,1.22268510586,103.816195528,0.102889,0.0,1.25587289178,103.783279149,0.102889,45.9998
ZHONG GU DI ZHONG HAI,BOEZ2   ,9842360,CN,,CS,18490,413228080,1.25604826786,103.783658812,0.0514444,0.0801468,0.371755,14.0362,2.07694180987,118.998,2023-05-20 10:06:48,True,1.25404827837,103.711384422,0.360111,0.0,1.22269028554,103.816186771,0.102889,0.0,1.25588514203,103.783263429,0.102889,46.9995
ZHONG GU DI ZHONG HAI,BOEZ2   ,9842360,CN,,CS,18490,413228080,1.25605173543,103.783660155,0.0514444,0.0801468,0.371755,14.0362,2.07694180987,118.998,2023-05-20 10:06:58,True,1.25405680403,103.711359957,0.360111,0.0,1.22268536634,103.816191007,0.102889,0.0,1.25588989775,103.783257738,0.102889,46.9995
ZHONG GU DI ZHONG HAI,BOEZ2   ,9842360,CN,,CS,18490,413228080,1.25605823782,103.783662673,0.0514444,0.0801468,0.371755,14.0362,2.07694180987,118.998,2023-05-20 10:07:08,True,1.25406981916,103.711308406,0.360111,0.0,1.22269004716,103.816192968,0.308667,0.0,1.25589946319,103.78324301,0.102889,45.0
ZHONG GU DI ZHONG HAI,BOEZ2   ,9842360,CN,,CS,18490,413228080,1.2560617054,103.783664015,0.0514444,0.0801468,0.371755,14.0362,2.07694180987,118.998,2023-05-20 10:07:18,True,1.25407541174,103.711286451,0.360111,0.0,1.22260016758,103.816235487,0.874556,0.0,1.25589071335,103.783248841,0.102889,42.995
ZHONG GU DI ZHONG HAI,BOEZ2   ,9842360,CN,,CS,18490,413228080,1.25606474021,103.783665191,0.0514444,0.0801468,0.371755,14.0362,2.07694180987,118.998,2023-05-20 10:07:28,True,1.25408180232,103.711261355,0.360111,0.0,1.22254995088,103.816258646,0.617333,0.0,1.25589312203,103.78324283,0.102889,40.9955
ZHONG GU DI ZHONG HAI,BOEZ2   ,9842360,CN,,CS,18490,413228080,1.25607167536,103.783667881,0.0514444,0.0801468,0.371755,14.0362,2.07694180987,118.998,2023-05-20 10:07:40,True,1.254103776,103.711208566,0.411556,0.0,1.22258050786,103.816205901,0.308667,0.0,1.25586700529,103.783272349,0.102889,38.996
ZHONG GU DI ZHONG HAI,BOEZ2   ,9842360,CN,,CS,18490,413228080,1.25601835952,103.783622227,0.0514444,0.0,0.371755,0.0,2.07694180987,118.998,2023-05-20 10:07:48,True,1.25410996656,103.711179635,0.411556,0.0,1.22267614114,103.816151884,0.720222,0.0,1.25586539911,103.783275306,0.0514444,35.9967
ZHONG GU DI ZHONG HAI,BOEZ2   ,9842360,CN,,CS,18490,413228080,1.25601835952,103.783622227,0.0514444,0.0,0.371755,0.0,2.07694180987,118.998,2023-05-20 10:07:58,True,1.25412180842,103.711153337,0.411556,0.0,1.22270836305,103.8161112,0.720222,0.0,1.25585040437,103.783289227,0.102889,36.9965
