name,callsign,imonumber,flag,length,type,grosstonnage,mmsinumber,latitudedegrees,longitudedegrees,speedoverground,speedoverwater,courseoverground,courseoverwater,headingoverground,headingoverwater,timestamp,is_stopped,lat_tug_9511870,lon_tug_9511870,sog_tug_9511870,heading_tug_9511870,lat_tug_9511882,lon_tug_9511882,sog_tug_9511882,heading_tug_9511882,lat_tug_9568316,lon_tug_9568316,sog_tug_9568316,heading_tug_9568316,lat_tug_9727687,lon_tug_9727687,sog_tug_9727687,heading_tug_9727687
X PRESS GANGES,9V8255  ,9301093,SG,,CS,8971,563054900.0,1.26105496786,103.766434607,5.04156,9.93776,5.55189,322.39,5.20108117094,297.999,2023-07-08 00:32:18,False,1.2907266917,103.760705558,0.0,0.0,1.27806003869,103.745656888,3.34389,0.0,1.27707497481,103.75064273,0.0514444,0.0,1.29090738718,103.760562759,0.0514444,122.997
X PRESS GANGES,9V8255  ,9301093,SG,,CS,8971,563054900.0,1.26128010498,103.766159057,4.88722,9.63812,5.41401,316.389,5.1661745859,295.999,2023-07-08 00:32:27,False,1.29072446173,103.760706532,0.0514444,0.0,1.27832290835,103.745720521,3.13811,0.0,1.27709361416,103.750616844,0.360111,0.0,1.29091335941,103.760557222,0.0,123.997
X PRESS GANGES,9V8255  ,9301093,SG,,CS,8971,563054900.0,1.26143837024,103.765815864,4.78433,9.27823,5.31627,305.621,5.14872129338,294.999,2023-07-08 00:32:37,False,1.29072835909,103.760717229,0.0,0.0,1.27852307925,103.745771977,3.13811,0.0,1.27712342067,103.750578391,0.360111,0.0,1.29092002517,103.760558889,0.0,122.997
X PRESS GANGES,9V8255  ,9301093,SG,,CS,8971,563054900.0,1.26167289181,103.765246316,4.78433,9.33669,5.18188,296.992,5.14872129338,294.999,2023-07-08 00:32:47,False,1.2907258356,103.760721871,0.0514444,0.0,1.27883339591,103.745915177,2.72656,0.0,1.27715647893,103.750526444,0.463,0.0,1.29092002517,103.760558889,0.0,123.997
X PRESS GANGES,9V8255  ,9301093,SG,,CS,8971,563054900.0,1.26179995858,103.764990029,4.83578,9.43366,5.19934,297.621,5.1661745859,295.999,2023-07-08 00:32:57,False,1.29073155661,103.760730049,0.0514444,0.0,1.27887822124,103.745973387,2.41789,0.0,1.27719860558,103.750458385,0.565889,0.0,1.29091502668,103.760565558,0.0,123.997
X PRESS GANGES,9V8255  ,9301093,SG,,CS,8971,563054900.0,1.26206054031,103.76450348,4.88722,9.47642,5.19759,297.353,5.1661745859,295.999,2023-07-08 00:33:07,False,1.29073579108,103.760721142,0.0514444,0.0,1.27916915426,103.746000595,2.16067,0.0,1.27721693789,103.750429015,0.617333,0.0,1.29090835859,103.760560557,0.0,123.997
X PRESS GANGES,9V8255  ,9301093,SG,,CS,8971,563054900.0,1.26223914664,103.76417716,4.99011,9.6266,5.20457,298.066,5.1661745859,295.999,2023-07-08 00:33:17,False,1.29073083648,103.760720203,0.0514444,0.0,1.27930726604,103.746023957,2.315,0.0,1.27724356905,103.750381288,0.668778,0.0,1.29090835859,103.760560557,0.0,123.997
X PRESS GANGES,9V8255  ,9301093,SG,,CS,8971,563054900.0,1.26241281743,103.76386037,4.99011,9.67005,5.20457,298.059,5.1661745859,295.999,2023-07-08 00:33:27,False,1.29072398962,103.760717299,0.0514444,0.0,1.27947469675,103.746019606,2.315,0.0,1.27729060416,103.750291749,0.720222,0.0,1.29089835927,103.760570561,0.0,123.997
X PRESS GANGES,9V8255  ,9301093,SG,,CS,8971,563054900.0,1.26267878279,103.763270603,5.04156,9.78872,5.16617,296.158,5.20108117094,297.999,2023-07-08 00:33:37,False,1.29072099563,103.760716027,0.0514444,0.0,1.27958637991,103.746155514,2.00633,0.0,1.27731781668,103.750233202,0.720222,0.0,1.29089502549,103.760575562,0.0,123.997
X PRESS GANGES,9V8255  ,9301093,SG,,CS,8971,563054900.0,1.26283346222,103.762991896,5.093,9.88731,5.20108,298.026,5.21853446346,298.998,2023-07-08 00:33:47,False,1.2907133153,103.760744835,0.0514444,0.0,1.27983874295,103.746213277,2.00633,0.0,1.27733881878,103.750186142,0.720222,0.0,1.29089502549,103.760575562,0.0,123.997
X PRESS GANGES,9V8255  ,9301093,SG,,CS,8971,563054900.0,1.26298542708,103.762707748,5.093,9.88731,5.20108,298.026,5.21853446346,298.998,2023-07-08 00:33:57,False,1.2907095084,103.760732261,0.0514444,0.0,1.27997412668,103.746232655,2.62367,0.0,1.27738944139,103.750087477,0.823111,0.0,1.29088335879,103.760573896,0.0,123.997
X PRESS GANGES,9V8255  ,9301093,SG,,CS,8971,563054900.0,1.2633072525,103.762157676,5.14444,9.9886,5.16617,296.216,5.2534410485,300.998,2023-07-08 00:34:07,False,1.29071245826,103.760734472,0.0514444,0.0,1.280196534,103.746295921,2.62367,0.0,1.27740671771,103.75004276,0.823111,0.0,1.29088335879,103.760573896,0.0,123.997
X PRESS GANGES,9V8255  ,9301093,SG,,CS,8971,563054900.0,1.26345131437,103.761868255,5.14444,9.9886,5.20806,296.216,5.28834763354,302.997,2023-07-08 00:34:17,False,1.29070946207,103.7607332,0.0514444,0.0,1.28043975546,103.746442898,2.26356,0.0,1.27741980278,103.750010372,0.668778,0.0,1.29089002641,103.760565559,0.0,123.997
X PRESS GANGES,9V8255  ,9301093,SG,,CS,8971,563054900.0,1.26365587807,103.761526973,5.14444,9.99388,5.20806,298.459,5.28834763354,302.997,2023-07-08 00:34:27,False,1.29070660093,103.760742448,0.0514444,0.0,1.28060604615,103.746529244,2.16067,0.0,1.27744074015,103.749945815,0.514444,0.0,1.29089572077,103.760569429,0.0514444,123.997
X PRESS GANGES,9V8255  ,9301093,SG,,CS,8971,563054900.0,1.26407862311,103.760913474,5.14444,9.98137,5.26391,301.461,5.3407075111,305.997,2023-07-08 00:34:37,False,1.29069745813,103.760747801,0.0514444,0.0,1.28089223909,103.74664598,2.36644,0.0,1.27744786088,103.749922544,0.411556,0.0,1.29090044348,103.760568551,0.0514444,123.997
X PRESS GANGES,9V8255  ,9301093,SG,,CS,8971,563054900.0,1.26427472019,103.760598165,5.14444,9.98137,5.26391,301.461,5.3407075111,305.997,2023-07-08 00:34:47,False,1.29069446194,103.760746529,0.0514444,0.0,1.28101764321,103.746724387,2.36644,0.0,1.27745569472,103.749897852,0.411556,0.0,1.2909015564,103.760572079,0.0514444,123.997
