name,callsign,imonumber,flag,length,type,grosstonnage,mmsinumber,latitudedegrees,longitudedegrees,speedoverground,speedoverwater,courseoverground,courseoverwater,headingoverground,headingoverwater,timestamp,is_stopped,lat_tug_9830484,lon_tug_9830484,sog_tug_9830484,heading_tug_9830484
CMA CGM CEBU,9HA5611 ,9362736,MT,,CS,21018,305277000,1.25761489425,103.78788632,0.514444,0.976189,2.52026,144.728,0.453785605519,25.9991,2023-07-17 14:18:11,False,1.25697542091,103.788711008,0.463,310.995
CMA CGM CEBU,9HA5611 ,9362736,MT,,CS,21018,305277000,1.25755649795,103.78792876,0.514444,0.983708,2.48535,142.224,0.436332312999,24.9994,2023-07-17 14:18:21,False,1.25694301986,103.788719454,0.463,310.995
CMA CGM CEBU,9HA5611 ,9362736,MT,,CS,21018,305277000,1.25752695098,103.787951001,0.565889,1.09288,2.47139,141.499,0.418879020479,23.9996,2023-07-17 14:18:31,False,1.25691061882,103.788727901,0.463,310.995
CMA CGM CEBU,9HA5611 ,9362736,MT,,CS,21018,305277000,1.25748902735,103.787981581,0.565889,1.09288,2.4679,141.499,0.383972435439,21.9946,2023-07-17 14:18:41,False,1.25684986713,103.788743736,0.463,310.995
CMA CGM CEBU,9HA5611 ,9362736,MT,,CS,21018,305277000,1.25742016364,103.788038377,0.617333,1.19004,2.47313,141.633,0.366519142919,20.9949,2023-07-17 14:18:51,False,1.25681746498,103.788752178,0.463,310.995
CMA CGM CEBU,9HA5611 ,9362736,MT,,CS,21018,305277000,1.25738564843,103.788066571,0.617333,1.19004,2.47139,141.633,0.349065850399,19.9951,2023-07-17 14:19:01,False,1.25678506393,103.788760625,0.463,310.995
CMA CGM CEBU,9HA5611 ,9362736,MT,,CS,21018,305277000,1.25733652833,103.788092949,0.668778,1.27526,2.4836,142.431,0.314159265359,17.9956,2023-07-17 14:19:11,False,1.25675671329,103.788768014,0.463,310.995
CMA CGM CEBU,9HA5611 ,9362736,MT,,CS,21018,305277000,1.2572562549,103.788137921,0.668778,1.29481,2.4836,144.162,0.314159265359,17.9956,2023-07-17 14:19:21,False,1.2566919112,103.788784906,0.463,310.995
CMA CGM CEBU,9HA5611 ,9362736,MT,,CS,21018,305277000,1.25720431173,103.788154085,0.720222,1.38682,2.59705,148.761,0.279252680319,15.9961,2023-07-17 14:19:31,False,1.25665950905,103.788793353,0.463,310.995
CMA CGM CEBU,9HA5611 ,9362736,MT,,CS,21018,305277000,1.25713231743,103.788174699,0.771667,1.48815,2.72446,156.114,0.261799387799,14.9963,2023-07-17 14:19:41,False,1.256627108,103.788801799,0.463,310.995
CMA CGM CEBU,9HA5611 ,9362736,MT,,CS,21018,305277000,1.25709540652,103.788175604,0.823111,1.58635,2.83441,162.897,0.261799387799,14.9963,2023-07-17 14:19:51,False,1.25668280381,103.789219978,0.463,294.0
CMA CGM CEBU,9HA5611 ,9362736,MT,,CS,21018,305277000,1.25695929107,103.788204335,0.874556,1.68308,2.89725,165.964,0.244346095279,13.9966,2023-07-17 14:20:01,False,1.25666707858,103.789249365,0.463,294.0
CMA CGM CEBU,9HA5611 ,9362736,MT,,CS,21018,305277000,1.25690130596,103.788222202,0.874556,1.68308,2.89725,165.964,0.226892802759,12.9968,2023-07-17 14:20:11,False,1.25665331721,103.789275075,0.463,294.0
CMA CGM CEBU,9HA5611 ,9362736,MT,,CS,21018,305277000,1.25683900118,103.788245382,0.874556,1.68308,2.8955,165.964,0.209439510239,11.9971,2023-07-17 14:20:21,False,1.25662186564,103.789333849,0.463,294.0
CMA CGM CEBU,9HA5611 ,9362736,MT,,CS,21018,305277000,1.25672635399,103.788285906,0.874556,1.69293,2.86409,164.687,0.191986217719,10.9973,2023-07-17 14:20:31,False,1.2566061393,103.789363236,0.463,294.0
CMA CGM CEBU,9HA5611 ,9362736,MT,,CS,21018,305277000,1.25664953222,103.788312662,0.926,1.78262,2.81347,161.565,0.13962634016,7.99805,2023-07-17 14:20:41,False,1.25659041296,103.789392618,0.463,294.0
CMA CGM CEBU,9HA5611 ,9362736,MT,,CS,21018,305277000,1.25658317932,103.788340282,0.926,1.79055,2.77158,159.007,0.10471975512,5.99854,2023-07-17 14:20:51,False,1.25657665269,103.789418333,0.463,294.0
