name,callsign,imonumber,flag,length,type,grosstonnage,mmsinumber,latitudedegrees,longitudedegrees,speedoverground,speedoverwater,courseoverground,courseoverwater,headingoverground,headingoverwater,timestamp,is_stopped,lat_tug_9189184,lon_tug_9189184,sog_tug_9189184,heading_tug_9189184,lat_tug_9511882,lon_tug_9511882,sog_tug_9511882,heading_tug_9511882,lat_tug_9678446,lon_tug_9678446,sog_tug_9678446,heading_tug_9678446
MAERSK LANCO,VRLI7   ,9527049,HK,,CS,90107,477182700,1.23273530811,103.787298718,5.24733,10.1956,5.68279,325.643,5.67232006898,324.998,2023-06-02 08:17:41,False,1.26533669252,103.711488893,0.0,0.0,1.28386971941,103.751125976,5.60744,0.0,1.25170622657,103.781197851,3.34389,0.0
MAERSK LANCO,VRLI7   ,9527049,HK,,CS,90107,477182700,1.23300894246,103.787112492,5.24733,10.1956,5.68279,325.643,5.67232006898,324.998,2023-06-02 08:17:51,False,1.26533502576,103.711495562,0.0,0.0,1.28325578121,103.750761066,5.65889,0.0,1.25200781047,103.780888579,3.34389,0.0
MAERSK LANCO,VRLI7   ,9527049,HK,,CS,90107,477182700,1.23357593145,103.786705248,5.19589,10.0963,5.66534,324.719,5.67232006898,324.998,2023-06-02 08:18:01,False,1.26531835917,103.711495563,0.0,0.0,1.28294615783,103.750584143,5.60744,0.0,1.25215529558,103.780737208,3.39533,0.0
MAERSK LANCO,VRLI7   ,9527049,HK,,CS,90107,477182700,1.23381332538,103.78653784,5.19589,10.1057,5.67232,325.026,5.67232006898,324.998,2023-06-02 08:18:11,False,1.26531835917,103.711495563,0.0,0.0,1.28259090383,103.750446629,5.60744,0.0,1.2525284003,103.780375361,3.44678,0.0
MAERSK LANCO,VRLI7   ,9527049,HK,,CS,90107,477182700,1.23408301406,103.786349166,5.19589,10.1057,5.67232,325.026,5.67232006898,324.998,2023-06-02 08:18:21,False,1.2653150258,103.711503891,0.0,0.0,1.28183311665,103.750005445,5.71033,0.0,1.2526986256,103.780255319,3.39533,0.0
MAERSK LANCO,VRLI7   ,9527049,HK,,CS,90107,477182700,1.23446101486,103.786082992,5.19589,10.0963,5.66708,324.719,5.67232006898,324.998,2023-06-02 08:18:31,False,1.26531835914,103.711482226,0.0,0.0,1.28148194579,103.749802147,5.71033,0.0,1.25290715186,103.780059317,3.44678,0.0
MAERSK LANCO,VRLI7   ,9527049,HK,,CS,90107,477182700,1.23498194533,103.785721781,5.19589,10.0941,5.65661,324.167,5.6897733615,325.997,2023-06-02 08:18:41,False,1.26532169247,103.711470564,0.0,0.0,1.28137033682,103.749751828,5.35022,0.0,1.25318531523,103.779796328,3.44678,0.0
MAERSK LANCO,VRLI7   ,9527049,HK,,CS,90107,477182700,1.23524849862,103.785530246,5.19589,10.0941,5.65661,324.167,5.6897733615,325.997,2023-06-02 08:18:51,False,1.26532669246,103.711483892,0.0,0.0,1.28086972407,103.749492755,3.65256,0.0,1.25335561789,103.779639919,3.49822,0.0
MAERSK LANCO,VRLI7   ,9527049,HK,,CS,90107,477182700,1.23576583184,103.78515056,5.19589,10.0898,5.65312,324.013,5.72467994654,327.997,2023-06-02 08:19:01,False,1.26532502584,103.711495563,0.0,0.0,1.28067403268,103.749374979,2.88089,0.0,1.25349759039,103.779512516,3.49822,0.0
MAERSK LANCO,VRLI7   ,9527049,HK,,CS,90107,477182700,1.23603255065,103.784958336,5.19589,10.0898,5.65312,324.013,5.72467994654,327.997,2023-06-02 08:19:11,False,1.26532502584,103.711495563,0.0,0.0,1.28041400978,103.749608442,2.52078,0.0,1.25385862164,103.779218479,3.49822,0.0
MAERSK LANCO,VRLI7   ,9527049,HK,,CS,90107,477182700,1.23630301408,103.784765814,5.19589,10.0941,5.65661,324.167,5.74213323906,328.997,2023-06-02 08:19:21,False,1.26533335914,103.711507224,0.0,0.0,1.28040689456,103.74979975,2.315,0.0,1.25405588805,103.779045735,3.49822,0.0
MAERSK LANCO,VRLI7   ,9527049,HK,,CS,90107,477182700,1.23689588936,103.784400564,5.14444,9.9907,5.69675,326.99,5.75958653158,329.996,2023-06-02 08:19:31,False,1.26533002582,103.711513893,0.0,0.0,1.28038002874,103.749943455,2.315,0.0,1.25444275292,103.778707588,3.49822,0.0
MAERSK LANCO,VRLI7   ,9527049,HK,,CS,90107,477182700,1.23716907331,103.784224701,5.14444,9.9907,5.70897,326.99,5.75958653158,329.996,2023-06-02 08:19:41,False,1.2653233591,103.711520562,0.0,0.0,1.28042958029,103.750148958,1.74911,0.0,1.25458390489,103.778571567,3.49822,0.0
MAERSK LANCO,VRLI7   ,9527049,HK,,CS,90107,477182700,1.23780047922,103.783870773,5.14444,9.97433,5.74562,329.036,5.75958653158,329.996,2023-06-02 08:19:51,False,1.26532169245,103.711518895,0.0,0.0,1.28044779914,103.750267075,1.74911,0.0,1.25476507439,103.778398433,3.49822,0.0
MAERSK LANCO,VRLI7   ,9527049,HK,,CS,90107,477182700,1.23806889892,103.783714284,5.093,9.8745,5.74039,328.688,5.75958653158,329.996,2023-06-02 08:20:01,False,1.26532169245,103.711518895,0.0,0.0,1.28047709726,103.750383489,1.74911,0.0,1.25508974763,103.778103042,3.49822,0.0
MAERSK LANCO,VRLI7   ,9527049,HK,,CS,90107,477182700,1.23834067891,103.78355163,5.093,9.86441,5.74039,328.785,5.75958653158,329.996,2023-06-02 08:20:11,False,1.26533058822,103.711530697,0.0514444,0.0,1.28034677398,103.750192116,0.257222,0.0,1.25527805806,103.777909822,3.49822,0.0
MAERSK LANCO,VRLI7   ,9527049,HK,,CS,90107,477182700,1.2389521207,103.783198554,5.04156,9.75765,5.74039,328.938,5.7770398241,330.996,2023-06-02 08:20:21,False,1.26534355355,103.711523527,0.0514444,0.0,1.28035663836,103.750204874,0.308667,0.0,1.25560571141,103.777595701,3.49822,0.0
MAERSK LANCO,VRLI7   ,9527049,HK,,CS,90107,477182700,1.2391955186,103.783066192,4.99011,9.67834,5.7561,329.727,5.7770398241,330.996,2023-06-02 08:20:31,False,1.26535225494,103.711515699,0.0514444,0.0,1.28036268305,103.750246045,0.308667,0.0,1.25576832702,103.777438748,3.49822,0.0
MAERSK LANCO,VRLI7   ,9527049,HK,,CS,90107,477182700,1.239467047,103.782910066,4.99011,9.67834,5.7561,329.727,5.7770398241,330.996,2023-06-02 08:20:41,False,1.26535225494,103.711515699,0.0514444,0.0,1.28037293909,103.750252635,0.102889,0.0,1.25595615322,103.777261867,3.49822,0.0
MAERSK LANCO,VRLI7   ,9527049,HK,,CS,90107,477182700,1.24009892555,103.782570537,4.93867,9.57811,5.78228,331.25,5.7770398241,330.996,2023-06-02 08:20:51,False,1.2653585535,103.711511856,0.0514444,0.0,1.28037439325,103.750258944,0.102889,0.0,1.25628595958,103.776922229,3.49822,0.0
MAERSK LANCO,VRLI7   ,9527049,HK,,CS,90107,477182700,1.24037212103,103.782419414,4.93867,9.57811,5.78228,331.25,5.7770398241,330.996,2023-06-02 08:21:01,False,1.26536145398,103.711508697,0.0514444,0.0,1.28037835912,103.750213894,0.0,0.0,1.2564113855,103.776785151,3.49822,0.0
MAERSK LANCO,VRLI7   ,9527049,HK,,CS,90107,477182700,1.24090343851,103.782118386,4.88722,9.4742,5.78053,331.174,5.7770398241,330.996,2023-06-02 08:21:11,False,1.26536318551,103.711503011,0.0514444,0.0,1.28039328701,103.75018964,0.205778,0.0,1.25660433368,103.776635625,3.49822,0.0
