name,callsign,imonumber,flag,length,type,grosstonnage,mmsinumber,latitudedegrees,longitudedegrees,speedoverground,speedoverwater,courseoverground,courseoverwater,headingoverground,headingoverwater,timestamp,is_stopped,lat_tug_9386093,lon_tug_9386093,sog_tug_9386093,heading_tug_9386093,lat_tug_9511870,lon_tug_9511870,sog_tug_9511870,heading_tug_9511870,lat_tug_9678446,lon_tug_9678446,sog_tug_9678446,heading_tug_9678446,lat_tug_9727340,lon_tug_9727340,sog_tug_9727340,heading_tug_9727340,lat_tug_9727675,lon_tug_9727675,sog_tug_9727675,heading_tug_9727675,lat_tug_9813709,lon_tug_9813709,sog_tug_9813709,heading_tug_9813709,lat_tug_9853682,lon_tug_9853682,sog_tug_9853682,heading_tug_9853682,lat_tug_9951616,lon_tug_9951616,sog_tug_9951616,heading_tug_9951616
ALS SUMIRE,9V2582  ,9153070,SG,,CS,14089,564391000,1.28986669334,103.761507228,52.6277,0.0,6.28319,0.0,2.09439510239,119.998,2023-06-17 15:40:27,False,1.28821271321,103.761473204,5.29878,0.0,1.29079010401,103.760730284,0.0514444,254.998,1.29021628095,103.759913378,0.617333,0.0,1.29094502615,103.760578895,0.0,0.0,1.29106041815,103.760315822,0.0514444,122.997,1.29066669183,103.760278894,0.0514444,309.996,1.29068340977,103.760328954,0.308667,108.995,1.27538955466,103.745484581,5.91611,206.999
ALS SUMIRE,9V2582  ,9153070,SG,,CS,14089,564391000,1.28983335817,103.76150723,0.0,0.0,4.69494,0.0,2.09439510239,119.998,2023-06-17 15:40:37,True,1.28844922073,103.760770115,5.29878,0.0,1.29077939781,103.760730337,0.0514444,254.998,1.2902056829,103.760098342,0.617333,0.0,1.29094996131,103.760591715,0.0514444,0.0,1.29106242285,103.760313277,0.0514444,122.997,1.29066669183,103.760278894,0.0514444,309.996,1.29066952831,103.760321434,0.257222,110.995,1.27505962333,103.745299491,5.91611,208.998
ALS SUMIRE,9V2582  ,9153070,SG,,CS,14089,564391000,1.28983335817,103.76150723,0.0,0.0,4.61116,0.0,2.09439510239,119.998,2023-06-17 15:40:47,True,1.28866056199,103.76012387,5.40167,0.0,1.29078030737,103.76072723,0.0514444,254.998,1.29021467489,103.760136135,0.617333,0.0,1.29093579413,103.760621269,0.0514444,0.0,1.29105050276,103.760326414,0.0514444,122.997,1.29066669183,103.760278894,0.0514444,309.996,1.29064678137,103.760294391,0.257222,110.995,1.27436290625,103.744906752,5.91611,214.997
ALS SUMIRE,9V2582  ,9153070,SG,,CS,14089,564391000,1.28983335817,103.76150723,0.0,0.0,0.0349066,0.0,2.09439510239,119.998,2023-06-17 15:40:57,True,1.28878132645,103.759754586,5.40167,0.0,1.29079169199,103.760743893,0.0,254.998,1.29013409165,103.760237557,0.977444,0.0,1.2909333593,103.760635563,0.0514444,0.0,1.29105253614,103.760323316,0.0514444,122.997,1.29066669183,103.760278894,0.0514444,309.996,1.29064274276,103.760285476,0.205778,109.995,1.27408007428,103.744656481,5.91611,214.997
ALS SUMIRE,9V2582  ,9153070,SG,,CS,14089,564391000,1.28983335817,103.76150723,0.0,0.0,0.0349066,0.0,2.09439510239,119.998,2023-06-17 15:41:07,True,1.28880427418,103.759406717,5.40167,0.0,1.29080002677,103.760740558,0.0,254.998,1.29000961503,103.760465548,1.59478,0.0,1.29092669162,103.760642224,0.0,0.0,1.29104674246,103.760320561,0.102889,120.998,1.29066669183,103.760278894,0.0514444,309.996,1.29063519807,103.760278763,0.102889,109.995,1.2734048021,103.744170598,5.81322,219.996
ALS SUMIRE,9V2582  ,9153070,SG,,CS,14089,564391000,1.29000002529,103.761007226,0.0,0.0,0.628319,0.0,2.09439510239,119.998,2023-06-17 15:41:17,True,1.28888943414,103.75868389,5.40167,0.0,1.2908107901,103.760732889,0.0514444,254.998,1.28992209746,103.760588566,1.64622,0.0,1.29092645397,103.760664924,0.0514444,0.0,1.2910362987,103.760311962,0.0514444,120.998,1.29066669183,103.760278894,0.0514444,309.996,1.29063836017,103.760288889,0.0,109.995,1.27315394882,103.743902215,5.76178,222.995
ALS SUMIRE,9V2582  ,9153070,SG,,CS,14089,564391000,1.28967502618,103.762080563,0.0,0.0,0.977384,0.0,2.09439510239,119.998,2023-06-17 15:41:27,True,1.28891273958,103.758279897,5.50456,0.0,1.29079835996,103.76074556,0.0,254.998,1.28987030506,103.760678421,1.64622,0.0,1.29095454027,103.760584291,0.0514444,0.0,1.2910380826,103.760309251,0.0514444,120.998,1.29066669183,103.760278894,0.0514444,309.996,1.29064502886,103.760310853,0.154333,111.995,1.27290363757,103.743647433,5.76178,222.995
ALS SUMIRE,9V2582  ,9153070,SG,,CS,14089,564391000,1.28981669304,103.761640563,0.0,0.0,2.26893,0.0,2.09439510239,119.998,2023-06-17 15:41:37,True,1.2889461395,103.757935265,5.50456,0.0,1.29080617388,103.760748227,0.0514444,254.998,1.28983569112,103.760792583,1.64622,0.0,1.29095161948,103.760592601,0.0514444,0.0,1.29104803331,103.760298387,0.0514444,118.998,1.29066669183,103.760278894,0.0514444,309.996,1.29065121832,103.760329358,0.205778,114.0,1.2722844205,103.743097282,5.76178,216.996
ALS SUMIRE,9V2582  ,9153070,SG,,CS,14089,564391000,1.28981002629,103.76167389,0.0,0.0,2.82743,0.0,2.09439510239,119.998,2023-06-17 15:41:47,True,1.28898554609,103.757079852,5.71033,0.0,1.29080706577,103.760745112,0.0514444,254.998,1.2898386954,103.760835395,0.771667,0.0,1.29096169141,103.76057556,0.0,0.0,1.29105066508,103.760296474,0.0514444,118.998,1.29066669183,103.760278894,0.0514444,309.996,1.29065152874,103.760366336,0.308667,114.999,1.2719202044,103.742883957,5.76178,214.997
ALS SUMIRE,9V2582  ,9153070,SG,,CS,14089,564391000,1.28983335958,103.76167389,0.0,0.0,2.82743,0.0,2.09439510239,119.998,2023-06-17 15:41:57,True,1.28898686357,103.756821978,5.71033,0.0,1.29079463254,103.760732775,0.0514444,254.998,1.28981880753,103.7608658,0.463,0.0,1.29096169141,103.76057556,0.0,0.0,1.29105367219,103.760294298,0.0514444,118.998,1.29066669183,103.760278894,0.0514444,309.996,1.29065757905,103.760383771,0.308667,116.999,1.27164637069,103.742713888,5.76178,214.997
ALS SUMIRE,9V2582  ,9153070,SG,,CS,14089,564391000,1.28983335958,103.76167389,0.0,0.0,2.82743,0.0,2.09439510239,119.998,2023-06-17 15:42:07,True,1.28898300191,103.756104814,5.76178,0.0,1.29078335895,103.76073389,0.0,254.998,1.28978665782,103.760922794,0.411556,0.0,1.29090893002,103.760611179,0.0514444,0.0,1.29104902698,103.760301511,0.0514444,117.999,1.29066669183,103.760278894,0.0514444,309.996,1.29067442187,103.760406523,0.205778,116.999,1.27099984024,103.742278178,5.81322,215.997
