name,callsign,imonumber,flag,length,type,grosstonnage,mmsinumber,latitudedegrees,longitudedegrees,speedoverground,speedoverwater,courseoverground,courseoverwater,headingoverground,headingoverwater,timestamp,is_stopped,lat_tug_9382528,lon_tug_9382528,sog_tug_9382528,heading_tug_9382528,lat_tug_9456472,lon_tug_9456472,sog_tug_9456472,heading_tug_9456472,lat_tug_9727338,lon_tug_9727338,sog_tug_9727338,heading_tug_9727338,lat_tug_9727340,lon_tug_9727340,sog_tug_9727340,heading_tug_9727340,lat_tug_9830202,lon_tug_9830202,sog_tug_9830202,heading_tug_9830202,lat_tug_9868417,lon_tug_9868417,sog_tug_9868417,heading_tug_9868417
YM HARMONY,BLIG    ,9299329,TW,,CS,15167,416427000.0,1.27940780514,103.768666549,0.823111,1.58504,5.88176,336.894,5.55014702134,317.999,2023-06-21 06:02:47,False,1.2807129082,103.768369946,0.771667,0.0,1.27945970151,103.768884354,1.23467,0.0,1.29069169196,103.760337228,0.0,0.0,1.29102669252,103.76051223,0.0,0.0,1.29076335882,103.760773895,0.0,33.9972,1.28786335815,103.760895562,52.6277,28.9984
YM HARMONY,BLIG    ,9299329,TW,,CS,15167,416427000.0,1.27945577045,103.768646321,0.823111,1.58504,5.88176,336.894,5.55014702134,317.999,2023-06-21 06:02:57,False,1.28082091218,103.7683093,0.823111,0.0,1.27957545977,103.768824989,1.02889,0.0,1.29069335877,103.760332226,0.0,0.0,1.29094169293,103.76066223,0.0,0.0,1.29080669203,103.760790557,0.0,34.9969,1.2877483597,103.761050556,52.6277,23.9996
YM HARMONY,BLIG    ,9299329,TW,,CS,15167,416427000.0,1.27950373577,103.768626094,0.823111,1.58504,5.88176,336.894,5.55014702134,317.999,2023-06-21 06:03:07,False,1.28086648615,103.768284203,0.823111,0.0,1.279580824,103.768793128,1.02889,0.0,1.29069335877,103.760332226,0.0,0.0,1.29099002554,103.760510555,0.0,0.0,1.29080669203,103.760790557,0.0514444,34.9969,1.28768336014,103.761158892,52.6277,17.9956
YM HARMONY,BLIG    ,9299329,TW,,CS,15167,416427000.0,1.27960651747,103.768582743,0.823111,1.58504,5.88176,336.894,5.55014702134,317.999,2023-06-21 06:03:17,False,1.28097092152,103.768204376,1.18322,0.0,1.27963543346,103.76875457,0.926,0.0,1.29069335871,103.760330559,0.0,0.0,1.29099002554,103.760510555,0.0,0.0,1.29078771694,103.760784021,0.0514444,34.9969,1.28768336014,103.761158892,52.6277,17.9956
YM HARMONY,BLIG    ,9299329,TW,,CS,15167,416427000.0,1.27965448279,103.768562516,0.823111,1.58504,5.88176,336.894,5.55014702134,317.999,2023-06-21 06:03:27,False,1.28103433777,103.768147241,1.18322,0.0,1.27973350419,103.768664739,0.926,0.0,1.29065502523,103.760342222,0.0,0.0,1.29102335864,103.760452228,0.0,0.0,1.29079169222,103.760750562,0.0,33.9972,1.28752669191,103.761385559,52.6277,20.9949
YM HARMONY,BLIG    ,9299329,TW,,CS,15167,416427000.0,1.2797572656,103.768519165,0.823111,1.58504,5.88176,336.894,5.55014702134,317.999,2023-06-21 06:03:37,False,1.28108982781,103.768097249,1.18322,0.0,1.27979433583,103.768599716,1.02889,0.0,1.29065502523,103.760342222,0.0,0.0,1.29102335864,103.760452228,0.0,0.0,1.29079169222,103.760750562,0.0514444,33.9972,1.28746669334,103.761495562,52.6277,342.999
YM HARMONY,BLIG    ,9299329,TW,,CS,15167,416427000.0,1.27979837872,103.768501834,0.823111,1.58504,5.88176,336.894,5.55014702134,317.999,2023-06-21 06:03:47,False,1.28115929217,103.768059507,1.18322,0.0,1.27985456106,103.768524023,0.926,0.0,1.29067502635,103.76033056,0.0,0.0,1.29103678246,103.760442873,0.102889,0.0,1.2907531573,103.760747519,0.0514444,33.9972,1.28738669298,103.761725561,52.6277,311.995
YM HARMONY,BLIG    ,9299329,TW,,CS,15167,416427000.0,1.27989430824,103.76846137,0.823111,1.58504,5.88176,336.894,5.55014702134,317.999,2023-06-21 06:03:57,False,1.28119172454,103.768032462,0.668778,0.0,1.27989498672,103.768481842,0.926,0.0,1.29067502635,103.76033056,0.0,0.0,1.29103678704,103.760447393,0.0514444,0.0,1.29075054305,103.760745588,0.0514444,33.9972,1.2873550263,103.761895556,52.6277,311.995
YM HARMONY,BLIG    ,9299329,TW,,CS,15167,416427000.0,1.27994227355,103.768441143,0.823111,1.58504,5.88176,336.894,5.55014702134,317.999,2023-06-21 06:04:07,False,1.28125658928,103.76797839,0.668778,0.0,1.27993541349,103.768439669,0.874556,0.0,1.29068002502,103.760328892,0.0,0.0,1.2910750251,103.760422225,0.0,0.0,1.29076321725,103.760766577,0.0514444,33.9972,1.2873550263,103.761895556,52.6277,289.995
YM HARMONY,BLIG    ,9299329,TW,,CS,15167,416427000.0,1.27999709105,103.768418028,0.823111,1.58504,5.88176,336.894,5.55014702134,317.999,2023-06-21 06:04:17,False,1.28129365484,103.767947484,0.668778,0.0,1.28002532623,103.768393177,0.874556,0.0,1.29068002502,103.760328892,0.0,0.0,1.29107807189,103.760418267,0.0514444,0.0,1.29084397769,103.760742979,0.0514444,33.9972,1.28728335872,103.762320557,52.6277,310.995
YM HARMONY,BLIG    ,9299329,TW,,CS,15167,416427000.0,1.28009302166,103.768377565,0.823111,1.58504,5.88176,336.894,5.55014702134,317.999,2023-06-21 06:04:27,False,1.28140236203,103.767920989,0.977444,0.0,1.28005533255,103.768379988,0.874556,0.0,1.29068002502,103.760328892,0.0,0.0,1.29104630954,103.760440214,0.0514444,0.0,1.29084153124,103.760740838,0.0514444,33.9972,1.28728335872,103.762320557,52.6277,310.995
YM HARMONY,BLIG    ,9299329,TW,,CS,15167,416427000.0,1.28014098697,103.768357337,0.823111,1.58504,5.88176,336.894,5.55014702134,317.999,2023-06-21 06:04:37,False,1.2815110763,103.767874374,0.668778,0.0,1.28009378601,103.768355645,0.720222,0.0,1.29069169149,103.76032389,0.0,0.0,1.29104482601,103.760445664,0.0514444,0.0,1.29079899575,103.760743007,0.0514444,34.9969,1.28724335844,103.762465562,52.6277,325.997
YM HARMONY,BLIG    ,9299329,TW,,CS,15167,416427000.0,1.28018895228,103.76833711,0.823111,1.58504,5.88176,336.894,5.55014702134,317.999,2023-06-21 06:04:47,False,1.28154075088,103.767844372,0.668778,0.0,1.28017069292,103.768306969,0.720222,0.0,1.29069169149,103.76032389,0.0,0.0,1.29103314666,103.760460941,0.0514444,0.0,1.29080741737,103.760697869,0.0514444,33.9972,1.28714669153,103.762663893,52.6277,352.996
YM HARMONY,BLIG    ,9299329,TW,,CS,15167,416427000.0,1.2802848818,103.768296655,0.823111,1.58504,5.88176,336.894,5.55014702134,317.999,2023-06-21 06:04:57,False,1.28163704218,103.767760394,0.668778,0.0,1.28020914638,103.768282627,0.720222,0.0,1.29069669225,103.760318889,0.0,0.0,1.29102669349,103.760477227,0.0,0.0,1.29080521599,103.760695491,0.0514444,33.9972,1.28714669153,103.762663893,52.6277,352.996
YM HARMONY,BLIG    ,9299329,TW,,CS,15167,416427000.0,1.28033284711,103.768276419,0.823111,1.58504,5.88176,336.894,5.55014702134,317.999,2023-06-21 06:05:07,False,1.28166645613,103.767727672,0.668778,0.0,1.28033062029,103.768203562,0.720222,0.0,1.2907066918,103.760315563,0.0,0.0,1.29102835814,103.760473893,0.0,0.0,1.29079002616,103.760713892,0.0,33.9972,1.28708002682,103.76282723,52.6277,344.998
YM HARMONY,BLIG    ,9299329,TW,,CS,15167,416427000.0,1.28025520934,103.768186454,0.720222,1.39104,5.70723,326.976,5.67232006898,324.998,2023-06-21 06:05:17,False,1.28170479348,103.767697591,0.771667,0.0,1.28037121424,103.768176561,0.771667,0.0,1.29071002564,103.760312228,0.0,0.0,1.2910300253,103.760478894,0.0,0.0,1.29079002616,103.760713892,0.0,33.9972,1.28708002682,103.76282723,52.6277,344.998
YM HARMONY,BLIG    ,9299329,TW,,CS,15167,416427000.0,1.28029344751,103.768161787,0.720222,1.39104,5.70723,326.976,5.67232006898,324.998,2023-06-21 06:05:27,False,1.28178146707,103.767637429,0.771667,0.0,1.28050949911,103.768093477,0.926,0.0,1.2906966919,103.760308894,0.0,0.0,1.29102502675,103.760483896,0.0,0.0,1.29082528353,103.760688716,0.0514444,34.9969,1.28700669211,103.762930556,52.6277,13.9966
YM HARMONY,BLIG    ,9299329,TW,,CS,15167,416427000.0,1.28036308595,103.768113207,0.668778,1.28353,5.67232,324.866,5.6897733615,325.997,2023-06-21 06:05:37,False,1.28178119107,103.767602768,0.617333,0.0,1.2805571637,103.768059579,0.926,0.0,1.2906966919,103.760308894,0.0,0.0,1.29103169222,103.760477227,0.0,0.0,1.29082330956,103.760686145,0.0514444,34.9969,1.28698835964,103.762927231,52.6277,36.9965
YM HARMONY,BLIG    ,9299329,TW,,CS,15167,416427000.0,1.2803867485,103.768087119,0.668778,1.28852,5.68977,326.07,5.6897733615,325.997,2023-06-21 06:05:47,False,1.28181037537,103.767569178,0.617333,0.0,1.28057485767,103.768050163,0.720222,0.0,1.29069169305,103.76030556,0.0,0.0,1.29106669306,103.760440556,0.0,0.0,1.29081385981,103.760690226,0.0514444,34.9969,1.28698835964,103.762927231,52.6277,36.9965
YM HARMONY,BLIG    ,9299329,TW,,CS,15167,416427000.0,1.28041181999,103.768070323,0.668778,1.28852,5.68977,326.07,5.6897733615,325.997,2023-06-21 06:05:57,False,1.28192337133,103.767573684,0.668778,0.0,1.28065185069,103.768001609,0.720222,0.0,1.29070002556,103.760300558,0.0,0.0,1.29103502576,103.760465556,0.0,0.0,1.29083709172,103.760695288,0.0514444,34.9969,1.28701002647,103.762942226,52.6277,98.9978
YM HARMONY,BLIG    ,9299329,TW,,CS,15167,416427000.0,1.2804865101,103.768020103,0.668778,1.28353,5.67232,324.866,5.70722665402,326.997,2023-06-21 06:06:07,False,1.28200867397,103.767528886,0.668778,0.0,1.28065099568,103.767950198,0.720222,0.0,1.29070335928,103.760293889,0.0,0.0,1.2910416935,103.760460563,0.0,0.0,1.29083531866,103.760692577,0.0514444,34.9969,1.28701002647,103.762942226,52.6277,98.9978
YM HARMONY,BLIG    ,9299329,TW,,CS,15167,416427000.0,1.28052119022,103.767995971,0.668778,1.28353,5.67232,324.866,5.70722665402,326.997,2023-06-21 06:06:17,False,1.28206579276,103.767423622,0.926,0.0,1.28073078774,103.767917343,0.720222,0.0,1.29069835858,103.760300558,0.0,0.0,1.29104169141,103.760463889,0.0,0.0,1.29080864821,103.760727036,0.0514444,34.9969,1.28701335996,103.763057228,52.6277,107.996
YM HARMONY,BLIG    ,9299329,TW,,CS,15167,416427000.0,1.28058470707,103.767943101,0.668778,1.28353,5.67232,324.866,5.72467994654,327.997,2023-06-21 06:06:27,False,1.28211342895,103.767365593,0.926,0.0,1.2807865269,103.767890034,0.668778,0.0,1.29069835858,103.760300558,0.0,0.0,1.29104835903,103.760455561,0.0,0.0,1.2908064446,103.760724053,0.0514444,34.9969,1.28701335996,103.763057228,52.6277,107.996
YM HARMONY,BLIG    ,9299329,TW,,CS,15167,416427000.0,1.28061938719,103.76791897,0.668778,1.28353,5.65487,324.866,5.74213323906,328.997,2023-06-21 06:06:37,False,1.28218752822,103.767275316,0.926,0.0,1.28082518332,103.767860584,0.771667,0.0,1.29070335969,103.760305559,0.0,0.0,1.29099502642,103.760508897,0.0,0.0,1.29080936335,103.760720437,0.0514444,34.9969,1.28694669309,103.763093892,52.6277,95.9985
YM HARMONY,BLIG    ,9299329,TW,,CS,15167,416427000.0,1.28062250324,103.767905641,0.668778,1.29481,5.65487,324.162,5.74213323906,328.997,2023-06-21 06:06:47,False,1.28222457896,103.767230186,0.926,0.0,1.28088246272,103.767805565,0.720222,0.0,1.2907033594,103.760297223,0.0,0.0,1.29099502642,103.760508897,0.0,0.0,1.2907911746,103.760723114,0.0514444,34.9969,1.2869000254,103.763190556,52.6277,98.9978
YM HARMONY,BLIG    ,9299329,TW,,CS,15167,416427000.0,1.28069207658,103.767858176,0.668778,1.29481,5.65487,324.162,5.74213323906,328.997,2023-06-21 06:06:57,False,1.2822616286,103.767185047,0.926,0.0,1.28092030675,103.767780301,0.720222,0.0,1.2907033594,103.760297223,0.0,0.0,1.29099502642,103.760508897,0.0,0.0,1.29078963339,103.760720798,0.0514444,34.9969,1.2869000254,103.763190556,52.6277,98.9978
YM HARMONY,BLIG    ,9299329,TW,,CS,15167,416427000.0,1.28072632835,103.767833447,0.668778,1.29481,5.65487,324.162,5.74213323906,328.997,2023-06-21 06:07:07,False,1.28215993486,103.76727873,0.411556,0.0,1.28097535439,103.7677394,0.617333,0.0,1.2907100269,103.760285561,0.0,0.0,1.29099502642,103.760508897,0.0,0.0,1.29079335914,103.760748895,0.0,34.9969,1.28686669161,103.763295557,52.6277,101.997
YM HARMONY,BLIG    ,9299329,TW,,CS,15167,416427000.0,1.28079578139,103.767787158,0.617333,1.19353,5.63741,322.943,5.75958653158,329.996,2023-06-21 06:07:17,False,1.28216863216,103.767254327,0.411556,0.0,1.28101539465,103.767693612,0.617333,0.0,1.2907100269,103.760285561,0.0,0.0,1.29099502642,103.760508897,0.0,0.0,1.29079335914,103.760748895,0.0,34.9969,1.28685336021,103.763360561,52.6277,101.997
YM HARMONY,BLIG    ,9299329,TW,,CS,15167,416427000.0,1.28082970841,103.767756761,0.617333,1.17486,5.60251,321.044,5.7770398241,330.996,2023-06-21 06:07:27,False,1.28222129384,103.767204221,0.565889,0.0,1.28104585101,103.767669278,0.617333,0.0,1.29070835998,103.760287229,0.0,0.0,1.29099502642,103.760508897,0.0,0.0,1.29082502601,103.760773893,0.0,33.9972,1.28685336021,103.763360561,52.6277,102.997
YM HARMONY,BLIG    ,9299329,TW,,CS,15167,416427000.0,1.28086007977,103.767732322,0.617333,1.17486,5.60251,321.044,5.7770398241,330.996,2023-06-21 06:07:37,False,1.28224481638,103.767184609,0.565889,0.0,1.28110776169,103.767619655,0.617333,0.0,1.29070835998,103.760287229,0.0,0.0,1.29103002559,103.76048723,0.0,0.0,1.29084669258,103.760718892,0.0,34.9969,1.28682335817,103.763465561,52.6277,106.996
YM HARMONY,BLIG    ,9299329,TW,,CS,15167,416427000.0,1.28091266609,103.767672977,0.617333,1.18495,5.60251,318.991,5.7770398241,330.996,2023-06-21 06:07:47,False,1.28227618013,103.767158459,0.565889,0.0,1.2811381761,103.767595278,0.617333,0.0,1.29070335904,103.760287229,0.0,0.0,1.29103002559,103.76048723,0.0,0.0,1.29084669258,103.760718892,0.0,34.9969,1.28682335817,103.763465561,52.6277,106.996
YM HARMONY,BLIG    ,9299329,TW,,CS,15167,416427000.0,1.28094216087,103.767647503,0.617333,1.18495,5.60251,318.991,5.7770398241,331.996,2023-06-21 06:07:57,False,1.28227598963,103.767139339,0.205778,0.0,1.28120409548,103.767552586,0.617333,0.0,1.2906933592,103.760282227,0.0,0.0,1.29103002559,103.76048723,0.0,0.0,1.29084669258,103.760718892,0.0,34.9969,1.28680669287,103.763597228,52.6277,114.999
YM HARMONY,BLIG    ,9299329,TW,,CS,15167,416427000.0,1.28099969173,103.767585428,0.617333,1.19653,5.53269,316.975,5.81194640914,332.996,2023-06-21 06:08:07,False,1.28234437947,103.767124665,0.565889,0.0,1.28123412018,103.767527735,0.617333,0.0,1.2907100269,103.760285561,0.0,0.0,1.29103002559,103.76048723,0.0,0.0,1.29084669258,103.760718892,0.0,34.9969,1.28680669287,103.763597228,52.6277,128.996
YM HARMONY,BLIG    ,9299329,TW,,CS,15167,416427000.0,1.2810282735,103.767558945,0.617333,1.19653,5.53269,316.975,5.81194640914,332.996,2023-06-21 06:08:17,False,1.28240831334,103.767098093,0.565889,0.0,1.28128269139,103.767468627,0.617333,0.0,1.29072502583,103.760300557,0.0,0.0,1.29103002559,103.76048723,0.0,0.0,1.29078028669,103.760704302,0.0514444,34.9969,1.28677836023,103.763708897,52.6277,133.995
YM HARMONY,BLIG    ,9299329,TW,,CS,15167,416427000.0,1.28106147118,103.767540253,0.617333,1.18239,5.51524,316.332,5.82939970166,333.995,2023-06-21 06:08:27,False,1.28244031772,103.767082095,0.565889,0.0,1.28132207424,103.767439941,0.617333,0.0,1.29072502583,103.760300557,0.0,0.0,1.29103002559,103.76048723,0.0,0.0,1.29077335846,103.760710558,0.0,34.9969,1.28677836023,103.763708897,52.6277,133.995
YM HARMONY,BLIG    ,9299329,TW,,CS,15167,416427000.0,1.2811155567,103.767481829,0.565889,1.08664,5.46288,312.825,5.82939970166,333.995,2023-06-21 06:08:37,False,1.28247689352,103.767063816,0.565889,0.0,1.28134987442,103.767414177,0.514444,0.0,1.29069669194,103.760372222,0.0,0.0,1.29103002559,103.76048723,0.0,0.0,1.29077335846,103.760710558,0.0,34.9969,1.28675002595,103.763772225,52.6277,141.998
YM HARMONY,BLIG    ,9299329,TW,,CS,15167,416427000.0,1.28112322723,103.76745439,0.565889,0.886529,5.46288,307.875,5.82939970166,334.995,2023-06-21 06:08:47,False,1.28254090118,103.76703183,0.565889,0.0,1.28137064319,103.767379042,0.463,0.0,1.29067335971,103.760402224,0.0,0.0,1.29103002559,103.76048723,0.0,0.0,1.29075669314,103.760712226,0.0,34.9969,1.28668836017,103.763878894,52.6277,146.997
YM HARMONY,BLIG    ,9299329,TW,,CS,15167,416427000.0,1.28114147897,103.767419334,0.308667,0.57401,5.21853,298.301,5.84685299418,334.995,2023-06-21 06:08:57,True,1.28257290556,103.767015842,0.565889,0.0,1.28139014173,103.767357298,0.360111,0.0,1.2906966914,103.760357226,0.0,0.0,1.29103002559,103.76048723,0.0,0.0,1.29075669314,103.760712226,0.0,34.9969,1.28668836017,103.763878894,52.6277,146.997
YM HARMONY,BLIG    ,9299329,TW,,CS,15167,416427000.0,1.2811509515,103.767402355,0.308667,0.57401,5.21853,298.301,5.84685299418,334.995,2023-06-21 06:09:07,True,1.28256462875,103.766969151,0.308667,0.0,1.28138632619,103.767349751,0.308667,0.0,1.29061835939,103.760310555,0.0,0.0,1.29103002559,103.76048723,0.0,0.0,1.2907916916,103.760670562,0.0,34.9969,1.28660169185,103.763983896,52.6277,155.995
YM HARMONY,BLIG    ,9299329,TW,,CS,15167,416427000.0,1.28115148217,103.767358095,0.308667,0.393118,5.21853,278.531,5.84685299418,334.995,2023-06-21 06:09:17,True,1.28257466321,103.766952488,0.308667,0.0,1.28139621382,103.767333009,0.308667,0.0,1.29061835939,103.760310555,0.0,0.0,1.29103002559,103.76048723,0.0,0.0,1.2907916916,103.760670562,0.0,34.9969,1.28654669217,103.764037222,52.6277,159.0
YM HARMONY,BLIG    ,9299329,TW,,CS,15167,416427000.0,1.28116682231,103.76734316,0.205778,0.388769,4.72984,270.0,5.84685299418,334.995,2023-06-21 06:09:27,True,1.28255450914,103.766913528,0.308667,0.0,1.28140610255,103.767316266,0.205778,0.0,1.2906133584,103.760308897,0.0,0.0,1.29098076962,103.760501237,0.0,0.0,1.29078002549,103.760685559,0.0,34.9969,1.28654669217,103.764037222,52.6277,159.0
YM HARMONY,BLIG    ,9299329,TW,,CS,15167,416427000.0,1.28116708237,103.767328374,0.205778,0.388769,4.72984,270.0,5.84685299418,334.995,2023-06-21 06:09:37,True,1.2825510155,103.766891618,0.308667,0.0,1.28138379986,103.767267181,0.257222,0.0,1.29062002602,103.760300561,0.0,0.0,1.29104169286,103.76056723,0.0,0.0,1.29075835982,103.76070389,0.0,34.9969,1.2864266923,103.764118893,52.6277,164.998
YM HARMONY,BLIG    ,9299329,TW,,CS,15167,416427000.0,1.28117201913,103.767290002,0.205778,0.393118,4.90438,278.531,5.84685299418,334.995,2023-06-21 06:09:47,True,1.28254839527,103.766875174,0.308667,0.0,1.2813909309,103.767250623,0.308667,0.0,1.29062002602,103.760300561,0.0,0.0,1.29108335957,103.76059723,0.0,0.0,1.29075835982,103.76070389,0.0,34.9969,1.2864266923,103.764118893,52.6277,164.998
YM HARMONY,BLIG    ,9299329,TW,,CS,15167,416427000.0,1.28117450484,103.767277296,0.257222,0.393118,4.99164,278.531,5.82939970166,333.995,2023-06-21 06:09:57,True,1.28254729326,103.76683352,0.411556,0.0,1.28139304105,103.767231327,0.308667,0.0,1.29069169275,103.760297224,0.0,0.0,1.2910883598,103.760577223,0.0,0.0,1.29078763367,103.760676696,0.0514444,34.9969,1.28636335943,103.764157224,52.6277,164.998
YM HARMONY,BLIG    ,9299329,TW,,CS,15167,416427000.0,1.28118638838,103.767225156,0.257222,0.491758,5.044,288.435,5.81194640914,332.996,2023-06-21 06:10:07,True,1.28255709564,103.766809538,0.411556,0.0,1.28140727763,103.767194718,0.308667,0.0,1.29065335886,103.760297225,0.0,0.0,1.29109002619,103.760560559,0.0,0.0,1.29077971495,103.76070754,0.0514444,34.9969,1.28623502534,103.764193889,52.6277,183.999
