name,callsign,imonumber,flag,length,type,grosstonnage,mmsinumber,latitudedegrees,longitudedegrees,speedoverground,speedoverwater,courseoverground,courseoverwater,headingoverground,headingoverwater,timestamp,is_stopped,lat_tug_9830472,lon_tug_9830472,sog_tug_9830472,heading_tug_9830472,lat_tug_9830484,lon_tug_9830484,sog_tug_9830484,heading_tug_9830484,lat_tug_9853682,lon_tug_9853682,sog_tug_9853682,heading_tug_9853682,lat_tug_9869617,lon_tug_9869617,sog_tug_9869617,heading_tug_9869617
ISEACO WISDOM,3EXP9   ,9172301,PA,,CS,15095,353824000,1.26588936098,103.781797807,0.514444,0.994405,1.48877,85.5154,0.418879020479,23.9996,2023-06-20 19:15:35,False,1.26680165078,103.781942342,0.308667,114.999,1.26581724951,103.781599329,0.360111,116.999,1.26494284892,103.776968963,1.852,36.9965,1.26446157358,103.776824233,1.74911,213.997
ISEACO WISDOM,3EXP9   ,9172301,PA,,CS,15095,353824000,1.26588804916,103.781832524,0.565889,1.09011,1.50447,86.9335,0.401425727959,22.9999,2023-06-20 19:15:45,False,1.26680281015,103.781981153,0.308667,114.999,1.26581732903,103.781644628,0.360111,116.999,1.26511704685,103.777101623,1.74911,38.996,1.26455117311,103.776879257,1.74911,213.997
ISEACO WISDOM,3EXP9   ,9172301,PA,,CS,15095,353824000,1.26589697289,103.781916178,0.565889,1.09133,1.49226,85.9144,0.401425727959,22.9999,2023-06-20 19:15:55,False,1.26680338983,103.782000558,0.308667,114.999,1.26581736882,103.781667276,0.360111,116.999,1.26520023529,103.777162132,1.74911,38.996,1.26474672352,103.776985535,1.74911,213.997
ISEACO WISDOM,3EXP9   ,9172301,PA,,CS,15095,353824000,1.26590026623,103.781951057,0.514444,0.996114,1.46084,84.4007,0.383972435439,21.9946,2023-06-20 19:16:05,False,1.26680463201,103.782042142,0.308667,114.999,1.26581745407,103.781715813,0.360111,116.999,1.26536656266,103.777294836,1.74911,38.996,1.26482002608,103.777014964,1.64622,216.996
ISEACO WISDOM,3EXP9   ,9172301,PA,,CS,15095,353824000,1.26591447593,103.782003385,0.463,0.882471,1.42419,82.4054,0.383972435439,21.9946,2023-06-20 19:16:15,True,1.2668052117,103.782061547,0.308667,114.999,1.26581749386,103.781738461,0.360111,116.999,1.26546438767,103.777355309,1.64622,41.9952,1.26490752687,103.777071203,1.59478,217.996
ISEACO WISDOM,3EXP9   ,9172301,PA,,CS,15095,353824000,1.26592496433,103.782027599,0.463,0.88525,1.4015,81.1582,0.383972435439,21.9946,2023-06-20 19:16:25,True,1.26680579138,103.782080952,0.308667,114.999,1.26581753365,103.781761113,0.360111,116.999,1.26554792696,103.777406055,1.59478,43.9948,1.26507972084,103.777179605,1.49189,219.996
ISEACO WISDOM,3EXP9   ,9172301,PA,,CS,15095,353824000,1.26593289205,103.782050075,0.463,0.789354,1.4015,80.0738,0.383972435439,21.9946,2023-06-20 19:16:35,True,1.26680703356,103.782122536,0.308667,114.999,1.26581761891,103.78180965,0.360111,116.999,1.26561986378,103.777462843,1.54333,47.9993,1.26517331872,103.77723276,1.44044,221.995
ISEACO WISDOM,3EXP9   ,9172301,PA,,CS,15095,353824000,1.26596090685,103.782118438,0.411556,0.792936,1.37706,78.6901,0.401425727959,22.9999,2023-06-20 19:16:45,True,1.26680761324,103.782141941,0.308667,114.999,1.2658176587,103.781832298,0.360111,116.999,1.26580754926,103.777593072,1.54333,47.9993,1.26525462585,103.777273095,1.44044,221.995
ISEACO WISDOM,3EXP9   ,9172301,PA,,CS,15095,353824000,1.26598246465,103.782142467,0.411556,0.796976,1.37706,77.3196,0.401425727959,22.9999,2023-06-20 19:16:55,True,1.26680819292,103.782161351,0.308667,114.999,1.26581769849,103.78185495,0.360111,116.999,1.26589298717,103.777659297,1.54333,70.9991,1.26539708849,103.777341903,1.389,223.995
ISEACO WISDOM,3EXP9   ,9172301,PA,,CS,15095,353824000,1.26598474506,103.782162245,0.411556,0.792936,1.37706,78.6901,0.401425727959,22.9999,2023-06-20 19:17:05,True,1.2668094351,103.782202934,0.308667,114.999,1.26589315291,103.781924053,0.411556,99.9976,1.26603851151,103.777782657,1.389,90.9998,1.26547811066,103.777387007,1.389,223.995
