name,callsign,imonumber,flag,length,type,grosstonnage,mmsinumber,latitudedegrees,longitudedegrees,speedoverground,speedoverwater,courseoverground,courseoverwater,headingoverground,headingoverwater,timestamp,is_stopped,lat_tug_9386079,lon_tug_9386079,sog_tug_9386079,heading_tug_9386079,lat_tug_9456472,lon_tug_9456472,sog_tug_9456472,heading_tug_9456472,lat_tug_9456513,lon_tug_9456513,sog_tug_9456513,heading_tug_9456513,lat_tug_9678446,lon_tug_9678446,sog_tug_9678446,heading_tug_9678446,lat_tug_9830197,lon_tug_9830197,sog_tug_9830197,heading_tug_9830197,lat_tug_9853682,lon_tug_9853682,sog_tug_9853682,heading_tug_9853682,lat_tug_9868417,lon_tug_9868417,sog_tug_9868417,heading_tug_9868417,lat_tug_9903308,lon_tug_9903308,sog_tug_9903308,heading_tug_9903308
METHI BHUM,9VBE4   ,9240457,SG,,CS,9661,564354000,1.28993335881,103.761683889,0.0,0.0,4.60767,0.0,2.11184839491,120.998,2023-05-16 03:18:32,True,1.29072169243,103.760565556,0.0,88.9948,1.29107002505,103.760260558,0.0,0.0,1.23819150631,103.751500885,2.72656,0.0,1.2907066921,103.76076056,0.0,0.0,1.29080890127,103.760640464,0.0514444,0.0,1.29015002506,103.761205558,0.0,298.998,1.29089835999,103.760217225,0.0,290.995,1.28902835968,103.763167222,0.154333,0.0
METHI BHUM,9VBE4   ,9240457,SG,,CS,9661,564354000,1.28993335881,103.761683889,0.0,0.0,4.60767,0.0,2.11184839491,120.998,2023-05-16 03:18:42,True,1.29072169243,103.760565556,0.0,88.9948,1.2910700257,103.760278889,0.0,0.0,1.23831359878,103.751649654,2.98378,0.0,1.29072502572,103.760733892,0.0,0.0,1.29079306709,103.760482123,0.0514444,0.0,1.29015002506,103.761205558,0.0,298.998,1.29090169168,103.760215558,0.0,291.995,1.28902835968,103.763167222,0.154333,0.0
METHI BHUM,9VBE4   ,9240457,SG,,CS,9661,564354000,1.28993335881,103.761683889,0.0,0.0,4.60767,0.0,2.11184839491,120.998,2023-05-16 03:18:52,True,1.29072056633,103.760563784,0.0514444,88.9948,1.29106669157,103.760273896,0.0,0.0,1.23862940967,103.751975199,3.44678,0.0,1.29072502572,103.760733892,0.0,0.0,1.29078902807,103.760398833,0.0514444,0.0,1.29014502615,103.761200557,0.0,298.998,1.29090669238,103.760208889,0.0,291.995,1.28902335874,103.763167223,0.0,0.0
METHI BHUM,9VBE4   ,9240457,SG,,CS,9661,564354000,1.28993335881,103.761683889,0.0,0.0,4.60767,0.0,2.11184839491,120.998,2023-05-16 03:19:02,True,1.29072151342,103.760560695,0.0514444,88.9948,1.29106669139,103.760268894,0.0,0.0,1.23900001612,103.752107411,4.21844,0.0,1.29073669172,103.760715561,0.0,0.0,1.29079020257,103.760395814,0.0514444,0.0,1.29014502615,103.761200557,0.0,298.998,1.29090669262,103.760215558,0.0,291.995,1.28901835956,103.763153894,0.0,0.0
METHI BHUM,9VBE4   ,9240457,SG,,CS,9661,564354000,1.28993335881,103.761683889,0.0,0.0,4.60767,0.0,2.11184839491,120.998,2023-05-16 03:19:12,True,1.29072502609,103.760557229,0.0,88.9948,1.29106836022,103.760258891,0.0,0.0,1.23925333703,103.752276532,4.73289,0.0,1.29074669318,103.76070389,0.0,0.0,1.29078118746,103.760390874,0.0514444,0.0,1.29014335929,103.761203891,0.0,298.998,1.29090002476,103.760217225,0.0,291.995,1.28901835956,103.763153894,0.0,0.0
METHI BHUM,9VBE4   ,9240457,SG,,CS,9661,564354000,1.28993335881,103.761683889,0.0,0.0,4.60767,0.0,2.11184839491,120.998,2023-05-16 03:19:22,True,1.29073335861,103.760552227,0.0,88.9948,1.29107669291,103.760258891,0.0,0.0,1.24003194515,103.752117218,4.88722,0.0,1.29075502563,103.76069723,0.0,0.0,1.29077898156,103.760385495,0.0514444,0.0,1.29014669331,103.761205558,0.0,297.999,1.29089169196,103.760213891,0.0,291.995,1.28903502493,103.763153893,0.0514444,0.0
METHI BHUM,9VBE4   ,9240457,SG,,CS,9661,564354000,1.28993335881,103.761683889,0.0,0.0,4.60767,0.0,2.11184839491,120.998,2023-05-16 03:19:32,True,1.29073335861,103.760552227,0.0,88.9948,1.29108835943,103.760255556,0.0,0.0,1.24031709348,103.751818984,4.88722,0.0,1.29071169262,103.760748889,0.0,0.0,1.29077359188,103.760381336,0.0514444,0.0,1.29014669331,103.761205558,0.0,297.999,1.29088836021,103.760213891,0.0,291.995,1.28904002587,103.763153893,0.102889,0.0
METHI BHUM,9VBE4   ,9240457,SG,,CS,9661,564354000,1.28993335881,103.761683889,0.0,0.0,4.60767,0.0,2.11184839491,120.998,2023-05-16 03:19:42,True,1.29073502623,103.760570558,0.0,88.9948,1.29109002618,103.760248896,0.0,0.0,1.24063589637,103.751266161,5.04156,0.0,1.29075502645,103.760720562,0.0,0.0,1.2907691413,103.760335549,0.0514444,0.0,1.29014669204,103.761232225,0.0,296.999,1.29089002504,103.760215558,0.0,291.995,1.28904002587,103.763153893,0.102889,0.0
METHI BHUM,9VBE4   ,9240457,SG,,CS,9661,564354000,1.28993335881,103.761683889,0.0,0.0,4.60767,0.0,2.11184839491,120.998,2023-05-16 03:19:52,True,1.29073502623,103.760570558,0.0,88.9948,1.29108002639,103.760245562,0.0,0.0,1.24077087364,103.750927762,5.19589,0.0,1.29076835949,103.76070389,0.0,0.0,1.29077050569,103.76033261,0.0514444,0.0,1.29014669204,103.761232225,0.0,296.999,1.29089002504,103.760215558,0.0,291.995,1.28904335983,103.763153893,0.0,0.0
METHI BHUM,9VBE4   ,9240457,SG,,CS,9661,564354000,1.28993335881,103.761683889,0.0,0.0,4.60767,0.0,2.11184839491,120.998,2023-05-16 03:20:02,True,1.29073502479,103.760592223,0.0,88.9948,1.29107835953,103.760248896,0.0,0.0,1.2408670785,103.750496853,5.19589,0.0,1.29076669292,103.76071556,0.0,0.0,1.29078213285,103.760339743,0.0514444,0.0,1.29015835897,103.761240561,0.0,296.999,1.2909116935,103.76021389,0.0,293.0,1.28904335983,103.763153893,0.0,0.0
