name,callsign,imonumber,flag,length,type,grosstonnage,mmsinumber,latitudedegrees,longitudedegrees,speedoverground,speedoverwater,courseoverground,courseoverwater,headingoverground,headingoverwater,timestamp,is_stopped,lat_tug_9382528,lon_tug_9382528,sog_tug_9382528,heading_tug_9382528,lat_tug_9386081,lon_tug_9386081,sog_tug_9386081,heading_tug_9386081,lat_tug_9386108,lon_tug_9386108,sog_tug_9386108,heading_tug_9386108,lat_tug_9456472,lon_tug_9456472,sog_tug_9456472,heading_tug_9456472,lat_tug_9511870,lon_tug_9511870,sog_tug_9511870,heading_tug_9511870,lat_tug_9511909,lon_tug_9511909,sog_tug_9511909,heading_tug_9511909,lat_tug_9727338,lon_tug_9727338,sog_tug_9727338,heading_tug_9727338,lat_tug_9813709,lon_tug_9813709,sog_tug_9813709,heading_tug_9813709,lat_tug_9830197,lon_tug_9830197,sog_tug_9830197,heading_tug_9830197,lat_tug_9830202,lon_tug_9830202,sog_tug_9830202,heading_tug_9830202,lat_tug_9868417,lon_tug_9868417,sog_tug_9868417,heading_tug_9868417,lat_tug_9892860,lon_tug_9892860,sog_tug_9892860,heading_tug_9892860,lat_tug_9951604,lon_tug_9951604,sog_tug_9951604,heading_tug_9951604,lat_tug_9951616,lon_tug_9951616,sog_tug_9951616,heading_tug_9951616
X PRESS GANGES,9V8255  ,9301093,SG,,CS,8971,563054900,1.2898350254,103.761767227,0.0,0.0,0.00174533,0.0,2.07694180987,118.998,2023-05-29 06:33:02,True,1.29040004085,103.760887103,0.514444,0.0,1.27297248973,103.752599244,2.88089,166.998,1.29104042067,103.760305758,0.0514444,0.0,1.29080335819,103.760170555,0.0,0.0,1.28127008175,103.73887306,3.85833,0.0,1.29074657613,103.760515732,0.102889,280.997,1.29068835804,103.760712228,0.0,0.0,1.29089972378,103.760259379,0.0514444,120.998,1.29085359037,103.760600844,0.102889,0.0,1.29025541237,103.76073569,0.205778,303.997,1.29094669204,103.760610563,52.6277,295.999,1.29063873655,103.760380332,0.0514444,126.996,1.29054902199,103.760313146,0.102889,124.997,1.28272651733,103.766581976,0.771667,284.996
X PRESS GANGES,9V8255  ,9301093,SG,,CS,8971,563054900,1.2898350254,103.761767227,0.0,0.0,0.00174533,0.0,2.07694180987,118.998,2023-05-29 06:33:13,True,1.29032300003,103.7608277,0.205778,0.0,1.27323727839,103.752253807,2.88089,166.998,1.29103963036,103.760309461,0.0514444,0.0,1.29081502495,103.760173889,0.0,0.0,1.28163535487,103.739319355,3.90978,0.0,1.29074570007,103.760529579,0.102889,280.997,1.29068835804,103.760712228,0.0,0.0,1.29090651302,103.760256352,0.0514444,120.998,1.29086555694,103.760590946,0.102889,0.0,1.29026838,103.76075015,0.360111,301.998,1.29093169347,103.760605562,52.6277,295.999,1.29063295856,103.760384219,0.0514444,126.996,1.29054630654,103.760321403,0.0514444,123.997,1.28266824946,103.766623167,0.617333,294.0
X PRESS GANGES,9V8255  ,9301093,SG,,CS,8971,563054900,1.28985835881,103.761833889,0.0,0.0,0.00174533,0.0,2.07694180987,118.998,2023-05-29 06:33:22,True,1.29031192737,103.760829131,0.205778,0.0,1.2735532297,103.751914888,3.44678,166.998,1.29104556755,103.760312128,0.0514444,0.0,1.29082608909,103.76018097,0.0514444,0.0,1.28179066827,103.739462799,3.90978,0.0,1.29073972723,103.760517575,0.102889,279.998,1.29069169235,103.760722223,0.0,0.0,1.29090905871,103.760255211,0.0514444,120.998,1.29086021545,103.760575985,0.102889,0.0,1.29026329199,103.760723115,0.308667,305.997,1.29093669196,103.760598893,52.6277,295.999,1.29062756474,103.760387852,0.0514444,126.996,1.29054231043,103.760327651,0.102889,122.997,1.28264748925,103.76664929,0.617333,294.0
X PRESS GANGES,9V8255  ,9301093,SG,,CS,8971,563054900,1.28985835881,103.761833889,0.0,0.0,0.00174533,0.0,2.07694180987,118.998,2023-05-29 06:33:32,True,1.29031835944,103.760840555,0.154333,0.0,1.27369810735,103.751743845,3.34389,166.998,1.29104339534,103.760322974,0.0514444,0.0,1.29082761663,103.760171555,0.0514444,0.0,1.28221194547,103.739916691,4.26989,0.0,1.29073920418,103.760524025,0.102889,279.998,1.29069169235,103.760722223,0.0,0.0,1.29091500013,103.760252561,0.0514444,120.998,1.29086864064,103.76056943,0.0514444,0.0,1.29025172626,103.760704583,0.308667,305.997,1.29094502674,103.760595558,52.6277,295.999,1.29062756474,103.760387852,0.0514444,126.996,1.29053402426,103.760332118,0.102889,122.997,1.28265465044,103.766676772,0.565889,311.995
X PRESS GANGES,9V8255  ,9301093,SG,,CS,8971,563054900,1.28985835881,103.761833889,0.0,0.0,0.00174533,0.0,2.07694180987,118.998,2023-05-29 06:33:42,True,1.29031835944,103.760840555,0.154333,0.0,1.27382480786,103.751575979,3.34389,166.998,1.29104587494,103.76032594,0.0514444,0.0,1.29083002556,103.760173889,0.0,0.0,1.28240378534,103.740106797,4.26989,0.0,1.29074596675,103.760516083,0.0514444,276.998,1.29069502648,103.760727224,0.0,0.0,1.29091797194,103.760251236,0.0514444,120.998,1.29086073833,103.760564604,0.102889,0.0,1.29024056794,103.760718887,0.308667,305.997,1.29094502674,103.760595558,52.6277,295.999,1.29062178676,103.76039174,0.0514444,126.996,1.29052737655,103.760341472,0.102889,121.998,1.28262763565,103.766750894,0.565889,319.999
X PRESS GANGES,9V8255  ,9301093,SG,,CS,8971,563054900,1.28985835881,103.761833889,0.0,0.0,0.00174533,0.0,2.07694180987,118.998,2023-05-29 06:33:52,True,1.29031335803,103.760827227,0.102889,0.0,1.27401852418,103.751192419,3.241,166.998,1.29105731597,103.760314304,0.0514444,0.0,1.29083481899,103.760174994,0.0514444,0.0,1.28255380098,103.740382222,4.26989,0.0,1.29074494901,103.760519163,0.0514444,276.998,1.29070669342,103.76073556,0.0,0.0,1.29092179158,103.760249525,0.0514444,120.998,1.29086127266,103.760564964,0.102889,0.0,1.29023698423,103.760711753,0.154333,303.997,1.2909600252,103.760597225,52.6277,294.999,1.29061639294,103.760395364,0.0514444,126.996,1.29052527488,103.760348983,0.102889,120.998,1.28261303135,103.766784063,0.565889,325.997
X PRESS GANGES,9V8255  ,9301093,SG,,CS,8971,563054900,1.28985835881,103.761833889,0.0,0.0,0.00174533,0.0,2.07694180987,118.998,2023-05-29 06:34:02,True,1.29032002595,103.760827226,0.102889,0.0,1.27408737399,103.75101356,3.241,166.998,1.29106095431,103.760305573,0.0514444,0.0,1.29083942674,103.760170001,0.0514444,0.0,1.28290462339,103.740836592,4.26989,0.0,1.29074393127,103.760522234,0.0514444,276.998,1.29070335929,103.760730559,0.0,0.0,1.29092730687,103.760247067,0.0514444,120.998,1.29087618134,103.760588076,0.0514444,0.0,1.29023938211,103.760713789,0.154333,304.997,1.2909600252,103.760597225,52.6277,294.999,1.29061369492,103.76039718,0.0514444,126.996,1.29052279118,103.760354959,0.102889,120.998,1.28260229298,103.766813327,0.565889,330.996
X PRESS GANGES,9V8255  ,9301093,SG,,CS,8971,563054900,1.28985835881,103.761833889,0.0,0.0,0.00174533,0.0,2.07694180987,118.998,2023-05-29 06:34:13,True,1.29032835864,103.760827226,0.0514444,0.0,1.27429782348,103.750686745,3.03522,166.998,1.29105754493,103.760295552,0.0514444,0.0,1.29083335934,103.760168896,0.0,0.0,1.28306404247,103.741060342,4.26989,0.0,1.29073849581,103.760534484,0.102889,274.999,1.29070002492,103.760718897,0.0,0.0,1.29093027869,103.760245734,0.0514444,120.998,1.29089025864,103.76063918,0.102889,0.0,1.29024817004,103.760725441,0.102889,305.997,1.29095002512,103.760585564,52.6277,294.999,1.29060791694,103.760401068,0.0514444,126.996,1.29051236349,103.760363761,0.102889,120.998,1.28256721161,103.766889108,0.617333,333.995
X PRESS GANGES,9V8255  ,9301093,SG,,CS,8971,563054900,1.28985835881,103.761833889,0.0,0.0,0.00174533,0.0,2.07694180987,118.998,2023-05-29 06:34:22,True,1.29032835864,103.760827226,0.0514444,0.0,1.2744216767,103.750502164,3.03522,166.998,1.29105328155,103.760298861,0.0514444,0.0,1.29083002514,103.760162227,0.0,0.0,1.2834844314,103.741581529,4.99011,0.0,1.29073332053,103.76053695,0.0514444,272.999,1.29070002492,103.760718897,0.0,0.0,1.29093706793,103.760242706,0.0514444,120.998,1.29086728667,103.760617402,0.0514444,0.0,1.29023981084,103.760724933,0.102889,305.997,1.29094169249,103.760587222,52.6277,294.999,1.29060483476,103.760403139,0.0514444,126.996,1.29051224648,103.760364085,0.102889,117.999,1.2825481939,103.766929262,0.617333,333.995
X PRESS GANGES,9V8255  ,9301093,SG,,CS,8971,563054900,1.28985835881,103.761833889,0.0,0.0,0.00174533,0.0,2.07694180987,118.998,2023-05-29 06:34:32,True,1.29032835864,103.760827226,0.0514444,0.0,1.27453600654,103.750344319,3.08667,166.998,1.29105653823,103.760298825,0.0514444,0.0,1.29082936273,103.760161306,0.0514444,0.0,1.28364506024,103.741828541,5.29878,0.0,1.29073313971,103.760543417,0.0514444,272.999,1.29070002492,103.760718897,0.0,0.0,1.29093961362,103.760241565,0.0514444,120.998,1.29084574594,103.760609584,0.0514444,0.0,1.29024503883,103.760714736,0.102889,307.996,1.29094169249,103.760587222,52.6277,294.999,1.29060213895,103.760404955,0.0514444,126.996,1.29050322075,103.760371035,0.102889,117.999,1.28247312509,103.767011141,0.720222,340.999
