name,callsign,imonumber,flag,length,type,grosstonnage,mmsinumber,latitudedegrees,longitudedegrees,speedoverground,speedoverwater,courseoverground,courseoverwater,headingoverground,headingoverwater,timestamp,is_stopped,lat_tug_9511909,lon_tug_9511909,sog_tug_9511909,heading_tug_9511909,lat_tug_9568304,lon_tug_9568304,sog_tug_9568304,heading_tug_9568304,lat_tug_9727338,lon_tug_9727338,sog_tug_9727338,heading_tug_9727338,lat_tug_9830197,lon_tug_9830197,sog_tug_9830197,heading_tug_9830197,lat_tug_9868417,lon_tug_9868417,sog_tug_9868417,heading_tug_9868417,lat_tug_9892860,lon_tug_9892860,sog_tug_9892860,heading_tug_9892860
X PRESS GANGES,9V8255  ,9301093,SG,,CS,8971,563054900,1.28971146697,103.761673929,0.565889,1.08751,1.06465,61.1443,2.09439510239,119.998,2023-05-29 03:46:52,False,1.29070758426,103.760515347,0.0514444,277.998,1.28949060322,103.761514472,0.257222,0.0,1.29068835945,103.760752224,0.0,0.0,1.29084858392,103.760570097,0.0514444,0.0,1.29092502538,103.760600561,52.6277,297.999,1.29017765864,103.761247501,0.0514444,311.995
X PRESS GANGES,9V8255  ,9301093,SG,,CS,8971,563054900,1.28969617803,103.761636505,0.308667,0.587671,0.963422,55.7843,2.11184839491,120.998,2023-05-29 03:47:02,True,1.29070432757,103.76051526,0.0514444,277.998,1.28950032745,103.76153024,0.257222,0.0,1.29069169146,103.760822229,0.0,0.0,1.29086050885,103.760568789,0.0514444,0.0,1.29093335883,103.760622225,52.6277,296.999,1.29017126897,103.761248756,0.0514444,311.995
X PRESS GANGES,9V8255  ,9301093,SG,,CS,8971,563054900,1.28971215765,103.761662434,0.308667,0.579905,0.877901,50.4403,2.11184839491,120.998,2023-05-29 03:47:13,True,1.29071935899,103.760512618,0.0514444,275.999,1.28951734485,103.761557827,0.257222,0.0,1.29069169146,103.760822229,0.0,0.0,1.29087928958,103.760573641,0.0514444,0.0,1.29093335883,103.760622225,52.6277,296.999,1.29016807413,103.761249379,0.0514444,311.995
X PRESS GANGES,9V8255  ,9301093,SG,,CS,8971,563054900,1.28973332181,103.761698217,0.205778,0.385842,0.837758,49.0856,2.11184839491,120.998,2023-05-29 03:47:22,True,1.29072744234,103.760517067,0.0514444,274.999,1.28952585244,103.761571621,0.257222,0.0,1.29069169305,103.760742229,0.0,0.0,1.29090857633,103.760599254,0.0514444,0.0,1.29093669285,103.760623893,52.6277,295.999,1.29016168666,103.761250643,0.0514444,311.995
X PRESS GANGES,9V8255  ,9301093,SG,,CS,8971,563054900,1.28974316898,103.761693873,0.205778,0.384862,0.801106,45.0,2.11184839491,120.998,2023-05-29 03:47:32,True,1.29072423422,103.760516505,0.0514444,274.999,1.28954286764,103.761599208,0.257222,0.0,1.2906933588,103.760707227,0.0,0.0,1.29090469257,103.760598403,0.0514444,0.0,1.29095002671,103.760630561,52.6277,295.999,1.29015849183,103.761251266,0.0514444,311.995
X PRESS GANGES,9V8255  ,9301093,SG,,CS,8971,563054900,1.28975951434,103.761697707,0.154333,0.288973,0.757473,42.2737,2.11184839491,120.998,2023-05-29 03:47:42,True,1.29072319424,103.760515233,0.0514444,273.999,1.28955137744,103.761613002,0.257222,0.0,1.29068835886,103.760735561,0.0,0.0,1.29085125765,103.760568272,0.0514444,0.0,1.29094335915,103.760640556,52.6277,295.999,1.29024502585,103.761223894,0.0,311.995
X PRESS GANGES,9V8255  ,9301093,SG,,CS,8971,563054900,1.28977890904,103.76170728,0.154333,0.291577,0.651008,36.8699,2.11184839491,120.998,2023-05-29 03:47:52,True,1.29071952907,103.760514592,0.0514444,273.999,1.28954820447,103.761607483,0.205778,0.0,1.29068835886,103.760735561,0.0,0.0,1.2908590915,103.76057251,0.0514444,0.0,1.29095169142,103.760628894,52.6277,295.999,1.29024502585,103.761223894,0.0,311.995
X PRESS GANGES,9V8255  ,9301093,SG,,CS,8971,563054900,1.28978477163,103.761723478,0.154333,0.296715,0.555015,31.6075,2.11184839491,120.998,2023-05-29 03:48:02,True,1.2907167802,103.76051411,0.0514444,273.999,1.2895726179,103.761620925,0.205778,0.0,1.29068169286,103.760727225,0.0,0.0,1.29084971385,103.760555101,0.0514444,0.0,1.29095169142,103.760628894,52.6277,295.999,1.29024502585,103.761223894,0.0,311.995
X PRESS GANGES,9V8255  ,9301093,SG,,CS,8971,563054900,1.28979749369,103.76172432,0.102889,0.191446,0.469494,23.9625,2.11184839491,120.998,2023-05-29 03:48:13,True,1.29071846919,103.760512311,0.0514444,273.999,1.28958401098,103.761627199,0.205778,0.0,1.29067002633,103.76073056,0.0,0.0,1.29083583239,103.760547564,0.0514444,0.0,1.29095502473,103.760610563,52.6277,296.999,1.29024502585,103.761223894,0.0,311.995
X PRESS GANGES,9V8255  ,9301093,SG,,CS,8971,563054900,1.28980515291,103.761722757,0.102889,0.191446,0.406662,23.9625,2.11184839491,120.998,2023-05-29 03:48:22,True,1.29071673386,103.760515058,0.0514444,273.999,1.28960679936,103.761639755,0.205778,0.0,1.29067002633,103.76073056,0.0,0.0,1.29083859022,103.760551539,0.0514444,0.0,1.29094669204,103.760610563,52.6277,296.999,1.29024502585,103.761223894,0.0,311.995
