timestamp,imo,type,length,grossTonnage
1/5/2023 0:00,9477749,TA,104,4570
1/5/2023 0:00,9597513,CS,333,109712
1/5/2023 0:00,9783514,CS,405,196670
1/5/2023 0:00,9520261,TA,102,4202
1/5/2023 0:00,9576911,TA,107,4915
1/5/2023 0:00,9234680,TA,176,23235
1/5/2023 0:00,9120841,CS,315,92198
1/5/2023 0:00,9505388,TA,121,7284
1/5/2023 0:00,9220328,CS,204,25361
1/5/2023 0:00,9899569,TA,119,6848
1/5/2023 0:00,9414046,TA,120,7206
1/5/2023 0:00,9932892,CS,372,152165
1/5/2023 0:00,9677480,TA,66,897
1/5/2023 0:00,9259381,CS,209,27227
1/5/2023 0:00,9540900,TA,77,1642
1/5/2023 0:00,9869239,CS,372,152003
1/5/2023 0:00,9270828,CS,195,21932
1/5/2023 0:00,9239719,TA,58,496
1/5/2023 0:00,9631979,CS,385,169423
1/5/2023 0:00,9388352,CS,310,88089
1/5/2023 0:00,9864538,CS,223,32720
1/5/2023 0:00,9814416,TA,122,7414
1/5/2023 0:00,9516739,CS,184,18358
1/5/2023 0:00,9178276,CS,206,26047
1/5/2023 0:00,9498951,TA,109,5256
1/5/2023 0:00,9802578,TA,138,11081
1/5/2023 0:00,9493042,TA,121,7284
1/5/2023 0:00,9734147,CS,204,25090
1/5/2023 0:00,9759305,TA,58,498
1/5/2023 0:00,9608049,TA,90,2818
1/5/2023 0:00,9279692,TA,110,5376
1/5/2023 0:00,9303522,CS,317,94483
1/5/2023 0:00,9301988,CS,223,32903
1/5/2023 0:00,9523782,TA,97,3609
1/5/2023 0:00,9649067,TA,72,1274
1/5/2023 0:00,9809887,TA,100,3965
1/5/2023 0:00,9428310,TA,127,8562
1/5/2023 0:00,9254927,TA,187,28059
1/5/2023 0:00,9809057,TA,127,8611
1/5/2023 0:00,9306677,TA,173,22184
1/5/2023 0:00,9824875,TA,102,4175
1/5/2023 0:00,9761023,CS,220,31649
1/5/2023 0:00,9662655,TA,102,4194
1/5/2023 0:00,9537460,TA,102,4262
1/5/2023 0:00,9207857,TA,114,5994
1/5/2023 0:00,9732357,CS,373,153148
1/5/2023 0:00,9836658,CS,184,18652
1/5/2023 0:00,9273947,CS,205,25709
1/5/2023 0:00,9839430,CS,428,232618
1/5/2023 0:00,9526681,TA,128,8814
1/5/2023 0:00,9134505,CS,201,24053
1/5/2023 0:00,9894674,CS,206,25805
1/5/2023 0:00,9181754,CS,171,14857
1/5/2023 0:00,9260031,TA,176,23240
1/5/2023 0:00,9784659,CS,220,31370
1/5/2023 0:00,9425057,TA,114,6111
1/5/2023 0:00,9648790,TA,106,4855
1/5/2023 0:00,9140061,CS,158,11810
1/5/2023 0:00,9711688,TA,146,13221
1/5/2023 0:00,9786205,TA,191,29816
1/5/2023 0:00,9730191,TA,92,2995
1/5/2023 0:00,9471434,TA,81,1912
1/5/2023 0:00,9613587,CS,315,92111
1/5/2023 0:00,9866471,CS,190,20441
1/5/2023 0:00,9550125,TA,101,4066
1/5/2023 0:00,9656876,TA,84,2239
1/5/2023 0:00,9842750,CS,96,2761
1/5/2023 0:00,9435791,TA,126,8247
1/5/2023 0:00,9390240,CS,192,20902
1/5/2023 0:00,9084372,TA,59,515
1/5/2023 0:00,9430674,TA,129,8888
1/5/2023 0:00,9374325,TA,139,11321
