ScenarioID,Strategy,WaitTime,NearMisses,RiskDuration,SafetyScore
1,FCFS,207152.00,56,1805.48,66.6
1,Greedy,196075.80,46,1296.24,73.5
1,CheapInsertion,580833.80,54,2838.80,55.9
1,TabuSearch,428607.90,56,2030.11,63.9
2,FCFS,150395.80,48,1361.28,72.6
2,Greedy,150513.30,42,1301.20,73.5
2,CheapInsertion,344924.90,32,1162.36,75.6
2,TabuSearch,411597.00,34,1583.44,69.5
3,FCFS,322140.30,126,3478.40,50.9
3,Greedy,321640.50,130,3269.63,52.4
3,CheapInsertion,754494.10,84,3154.88,53.3
3,TabuSearch,919887.40,70,2806.11,56.2
4,FCFS,282194.20,70,1651.81,68.5
4,Greedy,287347.90,82,2128.68,62.8
4,CheapInsertion,712849.70,52,1515.65,70.4
4,TabuSearch,1162275.00,46,1258.27,74.1
5,FCFS,257469.20,54,1355.64,72.6
5,Greedy,243062.60,48,1525.49,70.2
5,CheapInsertion,482069.10,42,1905.29,65.4
5,TabuSearch,482143.90,46,1847.64,66.1
6,FCFS,289910.40,92,1861.38,65.9
6,Greedy,273086.10,80,1697.64,68.0
6,CheapInsertion,881593.90,40,919.79,79.6
6,TabuSearch,828460.00,40,699.13,83.7
7,FCFS,178741.70,54,665.04,84.4
7,Greedy,179192.00,46,675.06,84.2
7,CheapInsertion,442358.80,36,739.00,83.0
7,TabuSearch,817836.90,24,285.76,92.6
8,FCFS,402051.10,96,2758.65,56.6
8,Greedy,352271.20,98,2868.05,55.7
8,CheapInsertion,1120280.00,72,2297.61,61.0
8,TabuSearch,1489345.00,68,2159.75,62.5
9,FCFS,292996.50,78,3015.00,54.4
9,Greedy,285180.00,108,3229.86,52.7
9,CheapInsertion,1309733.00,60,2289.61,61.1
9,TabuSearch,1123297.00,54,3026.38,54.3
10,FCFS,879523.90,112,3733.47,49.1
10,Greedy,684436.80,108,3230.94,52.7
10,CheapInsertion,1877391.00,68,2723.80,56.9
10,TabuSearch,2263942.00,52,2830.03,56.0
11,FCFS,225514.60,72,1487.98,70.8
11,Greedy,209718.10,62,1208.42,74.9
11,CheapInsertion,609948.90,40,1219.22,74.7
11,TabuSearch,629323.30,44,1489.33,70.7
12,FCFS,1038090.00,128,2978.64,54.7
12,Greedy,767331.30,158,4715.00,43.3
12,CheapInsertion,1594614.00,94,2878.42,55.6
12,TabuSearch,2024652.00,84,2549.50,58.5
13,FCFS,180002.10,50,1725.69,67.6
13,Greedy,174345.80,52,1724.80,67.6
13,CheapInsertion,417419.90,20,1122.92,76.2
13,TabuSearch,452657.90,20,1167.70,75.5
14,FCFS,372144.30,106,2790.09,56.3
14,Greedy,311522.70,74,1803.77,66.6
14,CheapInsertion,887842.60,64,2902.02,55.4
14,TabuSearch,1555267.00,46,2809.84,56.2
15,FCFS,276571.30,76,1701.03,67.9
15,Greedy,263930.00,70,1999.94,64.3
15,CheapInsertion,824662.60,44,2026.00,64.0
15,TabuSearch,756306.80,46,1967.44,64.7
16,FCFS,155650.90,52,1053.63,77.4
16,Greedy,155265.70,52,1034.31,77.7
16,CheapInsertion,328184.90,26,1184.25,75.2
16,TabuSearch,463997.10,32,1304.31,73.4
17,FCFS,699420.80,96,2449.31,59.5
17,Greedy,559421.90,92,2229.69,61.8
17,CheapInsertion,1946338.00,60,1390.50,72.1
17,TabuSearch,1989499.00,54,1534.25,70.1
18,FCFS,342944.80,112,3886.84,48.1
18,Greedy,314104.90,96,3094.03,53.8
18,CheapInsertion,748572.30,92,4327.81,45.4
18,TabuSearch,993733.60,90,3860.41,48.3
19,FCFS,258610.90,82,1923.34,65.2
19,Greedy,266127.00,78,1984.31,64.5
19,CheapInsertion,692092.60,44,1690.22,68.1
19,TabuSearch,782944.30,52,1722.91,67.6
20,FCFS,256908.20,70,1821.41,66.4
20,Greedy,262266.70,64,1842.69,66.1
20,CheapInsertion,1030896.00,36,1708.84,67.8
20,TabuSearch,813905.30,46,1700.59,67.9
21,FCFS,282944.60,58,1793.69,66.7
21,Greedy,283991.50,58,1826.72,66.3
21,CheapInsertion,1355266.00,34,778.34,82.2
21,TabuSearch,872247.50,52,1054.13,77.4
22,FCFS,186033.90,36,1000.16,78.3
22,Greedy,193168.10,32,742.19,82.9
22,CheapInsertion,559175.80,36,1158.59,75.7
22,TabuSearch,337078.20,52,2039.81,63.8
23,FCFS,408083.90,88,2559.16,58.4
23,Greedy,354123.50,86,1801.91,66.6
23,CheapInsertion,1173404.00,70,2336.50,60.6
23,TabuSearch,1051190.00,52,1474.69,70.9
24,FCFS,319849.50,94,3727.53,49.1
24,Greedy,323714.50,84,3251.63,52.5
24,CheapInsertion,951492.10,64,3862.09,48.2
24,TabuSearch,848213.80,64,5531.81,39.4
25,FCFS,271160.70,94,2200.16,62.1
25,Greedy,269460.60,88,2275.31,61.3
25,CheapInsertion,510503.00,38,1363.25,72.5
25,TabuSearch,967138.00,40,976.72,78.7
26,FCFS,209513.50,58,1138.59,76.0
26,Greedy,204167.10,52,993.81,78.4
26,CheapInsertion,337685.50,44,937.66,79.3
26,TabuSearch,384325.70,44,964.81,78.9
27,FCFS,342874.50,86,3068.97,54.0
27,Greedy,316031.00,108,3814.53,48.6
27,CheapInsertion,932702.30,42,2162.00,62.5
27,TabuSearch,954913.30,72,3248.81,52.6
28,FCFS,677862.50,116,4096.19,46.8
28,Greedy,558826.60,112,3068.84,54.0
28,CheapInsertion,1510193.00,78,3049.31,54.1
28,TabuSearch,1509404.00,60,3340.44,51.9
29,FCFS,513371.60,64,1450.44,71.3
29,Greedy,354990.60,70,1442.19,71.4
29,CheapInsertion,1128811.00,48,1129.69,76.1
29,TabuSearch,1480065.00,36,832.69,81.2
30,FCFS,357351.80,48,1559.44,69.8
