ScenarioID,Strategy,WaitTime,NearMisses,RiskDuration,SafetyScore,VesselCount,AvgWait_Hrs
1,FCFS,207152.0,56,1805.48,66.6,31,1.856200716845878
1,Greedy,196075.8,46,1296.24,73.5,31,1.7569516129032259
1,CheapInsertion,580833.8,54,2838.8,55.9,31,5.20460394265233
1,TabuSearch,428607.9,56,2030.11,63.9,31,3.8405725806451616
2,FCFS,150395.8,48,1361.28,72.6,25,1.6710644444444442
2,Greedy,150513.3,42,1301.2,73.5,25,1.6723699999999997
2,CheapInsertion,344924.9,32,1162.36,75.6,25,3.8324988888888893
2,TabuSearch,411597.0,34,1583.44,69.5,25,4.573300000000001
3,FCFS,322140.3,126,3478.4,50.9,39,2.2944465811965813
3,Greedy,321640.5,130,3269.63,52.4,39,2.2908867521367524
3,CheapInsertion,754494.1,84,3154.88,53.3,39,5.373889601139601
3,TabuSearch,919887.4,70,2806.11,56.2,39,6.5519045584045585
4,FCFS,282194.2,70,1651.81,68.5,33,2.375372053872054
4,Greedy,287347.9,82,2128.68,62.8,33,2.418753367003367
4,CheapInsertion,712849.7,52,1515.65,70.4,33,6.000418350168349
4,TabuSearch,1162275.0,46,1258.27,74.1,33,9.783459595959595
5,FCFS,257469.2,54,1355.64,72.6,30,2.3839740740740742
5,Greedy,243062.6,48,1525.49,70.2,30,2.25057962962963
5,CheapInsertion,482069.1,42,1905.29,65.4,30,4.463602777777778
5,TabuSearch,482143.9,46,1847.64,66.1,30,4.464295370370371
6,FCFS,289910.4,92,1861.38,65.9,36,2.2369629629629633
6,Greedy,273086.1,80,1697.64,68.0,36,2.107145833333333
6,CheapInsertion,881593.9,40,919.79,79.6,36,6.802422067901235
6,TabuSearch,828460.0,40,699.13,83.7,36,6.392438271604938
7,FCFS,178741.7,54,665.04,84.4,26,1.909633547008547
7,Greedy,179192.0,46,675.06,84.2,26,1.9144444444444444
7,CheapInsertion,442358.8,36,739.0,83.0,26,4.726055555555555
7,TabuSearch,817836.9,24,285.76,92.6,26,8.737573717948719
8,FCFS,402051.1,96,2758.65,56.6,38,2.938970029239766
8,Greedy,352271.2,98,2868.05,55.7,38,2.5750818713450294
8,CheapInsertion,1120280.0,72,2297.61,61.0,38,8.189181286549708
8,TabuSearch,1489345.0,68,2159.75,62.5,38,10.88702485380117
9,FCFS,292996.5,78,3015.0,54.4,35,2.3253690476190476
9,Greedy,285180.0,108,3229.86,52.7,35,2.263333333333333
9,CheapInsertion,1309733.0,60,2289.61,61.1,35,10.39470634920635
9,TabuSearch,1123297.0,54,3026.38,54.3,35,8.915055555555556
10,FCFS,879523.9,112,3733.47,49.1,46,5.311134661835749
10,Greedy,684436.8,108,3230.94,52.7,46,4.133072463768117
10,CheapInsertion,1877391.0,68,2723.8,56.9,46,11.336902173913044
10,TabuSearch,2263942.0,52,2830.03,56.0,46,13.67114734299517
11,FCFS,225514.6,72,1487.98,70.8,31,2.0207401433691756
11,Greedy,209718.1,62,1208.42,74.9,31,1.8791944444444446
11,CheapInsertion,609948.9,40,1219.22,74.7,31,5.465491935483872
11,TabuSearch,629323.3,44,1489.33,70.7,31,5.639097670250896
12,FCFS,1038090.0,128,2978.64,54.7,48,6.0074652777777775
12,Greedy,767331.3,158,4715.0,43.3,48,4.440574652777778
12,CheapInsertion,1594614.0,94,2878.42,55.6,48,9.228090277777778
12,TabuSearch,2024652.0,84,2549.5,58.5,48,11.71673611111111
13,FCFS,180002.1,50,1725.69,67.6,23,2.1739384057971014
13,Greedy,174345.8,52,1724.8,67.6,23,2.105625603864734
13,CheapInsertion,417419.9,20,1122.92,76.2,23,5.041303140096619
13,TabuSearch,452657.9,20,1167.7,75.5,23,5.4668828502415465
14,FCFS,372144.3,106,2790.09,56.3,40,2.5843354166666668
14,Greedy,311522.7,74,1803.77,66.6,40,2.1633520833333333
14,CheapInsertion,887842.6,64,2902.02,55.4,40,6.16557361111111
14,TabuSearch,1555267.0,46,2809.84,56.2,40,10.800465277777779
15,FCFS,276571.3,76,1701.03,67.9,35,2.1950103174603175
15,Greedy,263930.0,70,1999.94,64.3,35,2.0946825396825397
15,CheapInsertion,824662.6,44,2026.0,64.0,35,6.544941269841269
15,TabuSearch,756306.8,46,1967.44,64.7,35,6.002434920634921
16,FCFS,155650.9,52,1053.63,77.4,24,1.8015150462962963
16,Greedy,155265.7,52,1034.31,77.7,24,1.797056712962963
16,CheapInsertion,328184.9,26,1184.25,75.2,24,3.7984363425925927
16,TabuSearch,463997.1,32,1304.31,73.4,24,5.370336805555555
17,FCFS,699420.8,96,2449.31,59.5,46,4.2235555555555555
17,Greedy,559421.9,92,2229.69,61.8,46,3.3781515700483093
17,CheapInsertion,1946338.0,60,1390.5,72.1,46,11.753248792270531
17,TabuSearch,1989499.0,54,1534.25,70.1,46,12.013882850241547
18,FCFS,342944.8,112,3886.84,48.1,40,2.381561111111111
18,Greedy,314104.9,96,3094.03,53.8,40,2.181284027777778
18,CheapInsertion,748572.3,92,4327.81,45.4,40,5.198418750000001
18,TabuSearch,993733.6,90,3860.41,48.3,40,6.9009277777777775
19,FCFS,258610.9,82,1923.34,65.2,34,2.1128341503267976
19,Greedy,266127.0,78,1984.31,64.5,34,2.1742401960784314
19,CheapInsertion,692092.6,44,1690.22,68.1,34,5.654351307189542
19,TabuSearch,782944.3,52,1722.91,67.6,34,6.3966037581699355
20,FCFS,256908.2,70,1821.41,66.4,37,1.9287402402402405
20,Greedy,262266.7,64,1842.69,66.1,37,1.9689692192192194
20,CheapInsertion,1030896.0,36,1708.84,67.8,37,7.739459459459459
20,TabuSearch,813905.3,46,1700.59,67.9,37,6.11040015015015
21,FCFS,282944.6,58,1793.69,66.7,33,2.381688552188552
21,Greedy,283991.5,58,1826.72,66.3,33,2.3905008417508418
21,CheapInsertion,1355266.0,34,778.34,82.2,33,11.407962962962962
21,TabuSearch,872247.5,52,1054.13,77.4,33,7.342150673400673
22,FCFS,186033.9,36,1000.16,78.3,28,1.8455744047619047
22,Greedy,193168.1,32,742.19,82.9,28,1.9163501984126985
22,CheapInsertion,559175.8,36,1158.59,75.7,28,5.547378968253969
22,TabuSearch,337078.2,52,2039.81,63.8,28,3.344029761904762
23,FCFS,408083.9,88,2559.16,58.4,37,3.0636929429429434
23,Greedy,354123.5,86,1801.91,66.6,37,2.658584834834835
23,CheapInsertion,1173404.0,70,2336.5,60.6,37,8.809339339339338
23,TabuSearch,1051190.0,52,1474.69,70.9,37,7.891816816816816
24,FCFS,319849.5,94,3727.53,49.1,32,2.7764713541666666
24,Greedy,323714.5,84,3251.63,52.5,32,2.810021701388889
24,CheapInsertion,951492.1,64,3862.09,48.2,32,8.259480034722221
24,TabuSearch,848213.8,64,5531.81,39.4,32,7.362967013888889
25,FCFS,271160.7,94,2200.16,62.1,37,2.035740990990991
25,Greedy,269460.6,88,2275.31,61.3,37,2.022977477477477
25,CheapInsertion,510503.0,38,1363.25,72.5,37,3.832605105105105
25,TabuSearch,967138.0,40,976.72,78.7,37,7.260795795795795
26,FCFS,209513.5,58,1138.59,76.0,30,1.939939814814815
26,Greedy,204167.1,52,993.81,78.4,30,1.8904361111111112
26,CheapInsertion,337685.5,44,937.66,79.3,30,3.1267175925925925
26,TabuSearch,384325.7,44,964.81,78.9,30,3.558571296296296
27,FCFS,342874.5,86,3068.97,54.0,38,2.5063925438596493
27,Greedy,316031.0,108,3814.53,48.6,38,2.3101681286549707
27,CheapInsertion,932702.3,42,2162.0,62.5,38,6.817999269005849
27,TabuSearch,954913.3,72,3248.81,52.6,38,6.98036038011696
28,FCFS,677862.5,116,4096.19,46.8,41,4.592564363143632
28,Greedy,558826.6,112,3068.84,54.0,41,3.7860880758807585
28,CheapInsertion,1510193.0,78,3049.31,54.1,41,10.231659891598916
28,TabuSearch,1509404.0,60,3340.44,51.9,41,10.226314363143631
29,FCFS,513371.6,64,1450.44,71.3,37,3.854141141141141
29,Greedy,354990.6,70,1442.19,71.4,37,2.6650945945945943
29,CheapInsertion,1128811.0,48,1129.69,76.1,37,8.474557057057057
29,TabuSearch,1480065.0,36,832.69,81.2,37,11.1115990990991
30,FCFS,357351.8,48,1559.44,69.8,30,3.308812962962963
30,Greedy,401725.4,52,1301.63,73.4,30,3.71967962962963
30,CheapInsertion,838709.2,44,1037.13,77.6,30,7.765825925925926
30,TabuSearch,1142504.0,36,1720.94,67.7,30,10.578740740740741
31,FCFS,393229.0,86,3324.75,52.0,39,2.800776353276353
31,Greedy,349695.4,106,3037.38,54.2,39,2.4907079772079777
31,CheapInsertion,953192.3,76,2465.5,59.4,39,6.789118945868947
31,TabuSearch,1075582.0,70,2952.94,54.9,39,7.6608404558404555
