name,callsign,imonumber,flag,length,type,grosstonnage,mmsinumber,latitudedegrees,longitudedegrees,speedoverground,speedoverwater,courseoverground,courseoverwater,headingoverground,headingoverwater,timestamp,is_stopped
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700,1.2318819509,103.914986957,2.46933,4.77062,4.4087,252.451,4.48549617763,256.998,2023-06-11 01:14:24,False
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700,1.23183513997,103.914838765,2.46933,4.77062,4.4087,252.451,4.48549617763,256.998,2023-06-11 01:14:34,False
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700,1.23175624637,103.914573384,2.41789,4.67211,4.40521,252.319,4.48549617763,256.998,2023-06-11 01:14:44,False
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700,1.23165517757,103.914259294,2.41789,4.67211,4.40172,252.319,4.48549617763,256.998,2023-06-11 01:14:54,False
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700,1.23162094889,103.914138011,2.41789,4.60478,4.40172,252.559,4.48549617763,256.998,2023-06-11 01:15:04,False
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700.0,1.23158172203,103.913993474,2.36644,4.59899,4.4087,252.79,4.48549617763,256.998,2023-06-11 01:15:14,False
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700.0,1.23153017985,103.913829392,2.36644,4.59899,4.4087,252.79,4.48549617763,256.998,2023-06-11 01:15:24,False
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700.0,1.23145446721,103.913587333,2.315,4.50041,4.4087,252.661,4.48549617763,256.998,2023-06-11 01:15:34,False
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700,1.23141050635,103.913450633,2.315,4.50041,4.40521,252.661,4.48549617763,256.998,2023-06-11 01:15:44,False
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700,1.23130158754,103.913166232,2.26356,4.42625,4.40347,252.361,4.48549617763,256.998,2023-06-11 01:15:54,False
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700,1.23125754283,103.913026504,2.26356,4.40773,4.40347,252.284,4.48549617763,256.998,2023-06-11 01:16:04,False
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700.0,1.23117127692,103.912755954,2.26356,4.37071,4.40172,252.129,4.48549617763,256.998,2023-06-11 01:16:14,False
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700,1.2311194564,103.912594372,2.26356,4.37071,4.39998,252.129,4.48549617763,256.998,2023-06-11 01:16:24,False
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700,1.23107614232,103.912461747,2.26356,4.35222,4.39998,252.051,4.48549617763,256.998,2023-06-11 01:16:34,False
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700,1.23099664354,103.912194975,2.21211,4.26628,4.39998,252.225,4.48549617763,256.998,2023-06-11 01:16:44,False
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700,1.23095356787,103.912063044,2.21211,4.26628,4.39998,252.225,4.48549617763,256.998,2023-06-11 01:16:54,False
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700.0,1.23087159426,103.911783658,2.21211,4.26628,4.39998,252.225,4.48549617763,256.998,2023-06-11 01:17:04,False
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700.0,1.23082955401,103.911654968,2.16067,4.19231,4.39648,251.901,4.48549617763,256.998,2023-06-11 01:17:14,False
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700.0,1.23078743209,103.911525169,2.16067,4.21079,4.39648,251.983,4.48549617763,256.998,2023-06-11 01:17:24,False
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700.0,1.23070248375,103.911271787,2.05778,4.04478,4.37554,251.217,4.48549617763,256.998,2023-06-11 01:17:34,False
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700.0,1.23065922884,103.911155386,2.05778,3.95934,4.37554,250.498,4.48549617763,256.998,2023-06-11 01:17:44,False
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700,1.23056591893,103.910907655,2.00633,3.94758,4.35983,250.137,4.48549617763,256.998,2023-06-11 01:17:54,False
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700,1.23052622496,103.910809624,2.00633,3.92931,4.35983,250.041,4.48549617763,256.998,2023-06-11 01:18:04,False
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700,1.2304828464,103.910692368,2.00633,3.92931,4.35983,250.041,4.48549617763,256.998,2023-06-11 01:18:14,False
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700,1.23039654824,103.910469758,1.95489,3.82468,4.36332,250.092,4.48549617763,256.998,2023-06-11 01:18:24,False
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700,1.23034796591,103.910338528,1.95489,3.82468,4.36332,250.092,4.48549617763,256.998,2023-06-11 01:18:34,False
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700,1.23026713004,103.910119236,1.95489,3.81162,4.37729,250.641,4.48549617763,256.998,2023-06-11 01:18:44,False
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700,1.23023221396,103.910021911,1.95489,3.81162,4.37729,250.641,4.48549617763,256.998,2023-06-11 01:18:54,False
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700,1.23014968688,103.909798762,1.90344,3.70704,4.37554,250.71,4.48549617763,256.998,2023-06-11 01:19:04,False
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700,1.23010777861,103.909687925,1.90344,3.6952,4.37554,250.326,4.48549617763,256.998,2023-06-11 01:19:14,False
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700,1.23003207168,103.909468759,1.90344,3.6769,4.36856,250.224,4.48549617763,256.998,2023-06-11 01:19:24,False
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700,1.229991166,103.909348358,1.90344,3.65861,4.36681,250.121,4.48549617763,256.998,2023-06-11 01:19:34,False
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700,1.22994943222,103.909233791,1.90344,3.64703,4.36158,249.73,4.48549617763,256.998,2023-06-11 01:19:44,False
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700,1.22987901494,103.909036716,1.852,3.56063,4.36332,249.883,4.48549617763,256.998,2023-06-11 01:19:54,False
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700,1.22983607126,103.90891946,1.852,3.56063,4.36332,249.883,4.48549617763,256.998,2023-06-11 01:20:04,False
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700,1.22975421296,103.908702067,1.852,3.56063,4.36332,249.883,4.48549617763,256.998,2023-06-11 01:20:14,False
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700,1.22970931077,103.908587943,1.852,3.56063,4.36332,249.883,4.48549617763,256.998,2023-06-11 01:20:24,False
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700,1.22966930562,103.908479265,1.852,3.57889,4.35983,249.99,4.48549617763,256.998,2023-06-11 01:20:34,False
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700,1.22957966266,103.908238461,1.80056,3.50593,4.3546,249.555,4.48549617763,256.998,2023-06-11 01:20:44,False
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700,1.22953782064,103.908123728,1.80056,3.50593,4.35285,249.555,4.48549617763,256.998,2023-06-11 01:20:54,False
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700.0,1.22949706923,103.908013347,1.80056,3.50593,4.35285,249.555,4.48549617763,256.998,2023-06-11 01:21:04,False
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700.0,1.22940822289,103.907791062,1.80056,3.50593,4.34412,249.555,4.50294947015,257.997,2023-06-11 01:21:14,False
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700.0,1.22936997503,103.90769078,1.80056,3.50593,4.34412,249.555,4.50294947015,257.997,2023-06-11 01:21:24,False
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700.0,1.22930799342,103.907525294,1.80056,3.4946,4.34238,249.146,4.50294947015,257.997,2023-06-11 01:21:34,False
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700.0,1.22926513129,103.907411794,1.74911,3.40811,4.34238,249.291,4.52040276267,258.997,2023-06-11 01:21:44,False
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700.0,1.22918494379,103.907215802,1.74911,3.38993,4.34238,249.175,4.52040276267,258.997,2023-06-11 01:21:54,False
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700.0,1.22914351191,103.907123764,1.74911,3.38307,4.34936,249.482,4.52040276267,258.997,2023-06-11 01:22:04,False
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700.0,1.2291046944,103.907022899,1.74911,3.38307,4.35634,249.482,4.52040276267,258.997,2023-06-11 01:22:14,False
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700.0,1.22901993231,103.90681522,1.69767,3.29664,4.35634,249.642,4.52040276267,258.997,2023-06-11 01:22:24,False
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700.0,1.22898353902,103.906717282,1.69767,3.27842,4.3546,249.523,4.52040276267,258.997,2023-06-11 01:22:34,False
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700.0,1.22894513228,103.906610617,1.69767,3.27842,4.3546,249.523,4.52040276267,258.997,2023-06-11 01:22:44,False
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700.0,1.2288563742,103.906385392,1.69767,3.27842,4.35285,249.523,4.53785605519,259.997,2023-06-11 01:22:54,False
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700,1.22877909677,103.906184272,1.69767,3.27842,4.35285,249.523,4.53785605519,259.997,2023-06-11 01:23:04,False
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700,1.22873865411,103.906087101,1.64622,3.20569,4.34762,249.037,4.55530934771,260.997,2023-06-11 01:23:14,False
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700,1.22870073706,103.906001807,1.64622,3.02853,4.34762,248.54,4.55530934771,260.997,2023-06-11 01:23:24,False
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700,1.22862939374,103.905837058,1.44044,2.83828,4.30049,246.595,4.55530934771,260.997,2023-06-11 01:23:34,False
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700,1.22859920407,103.905767466,1.44044,2.74144,4.30049,246.161,4.55530934771,261.996,2023-06-11 01:23:44,False
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700,1.22853357469,103.905609846,1.33756,2.62901,4.29351,246.468,4.57276264023,261.996,2023-06-11 01:23:54,False
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700,1.2285092625,103.905540829,1.28611,2.53454,4.30747,246.975,4.57276264023,261.996,2023-06-11 01:24:04,False
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700,1.22847826483,103.905466424,1.28611,2.53454,4.30747,246.975,4.57276264023,261.996,2023-06-11 01:24:14,False
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700,1.22842197487,103.905311665,1.28611,2.51959,4.31445,247.788,4.59021593275,262.996,2023-06-11 01:24:24,False
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700,1.22840545631,103.905258337,1.28611,2.5123,4.32144,248.199,4.59021593275,262.996,2023-06-11 01:24:34,False
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700.0,1.22834761614,103.905115332,1.28611,2.5123,4.32144,248.199,4.59021593275,262.996,2023-06-11 01:24:44,False
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700.0,1.2283147771,103.905038672,1.28611,2.50515,4.32318,248.611,4.59021593275,262.996,2023-06-11 01:24:54,False
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700.0,1.228285347,103.904965973,1.23467,2.50515,4.32493,248.611,4.59021593275,262.996,2023-06-11 01:25:04,False
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700.0,1.22822283035,103.904827246,1.23467,2.40762,4.32318,248.199,4.60766922527,263.996,2023-06-11 01:25:14,False
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700.0,1.22819884916,103.904765858,1.23467,2.40047,4.32667,248.629,4.60766922527,263.996,2023-06-11 01:25:24,False
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700,1.22813445157,103.904616491,1.23467,2.37157,4.31794,247.85,4.60766922527,263.996,2023-06-11 01:25:34,False
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700,1.22810406321,103.90454435,1.23467,2.37157,4.32144,247.85,4.60766922527,263.996,2023-06-11 01:25:44,False
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700,1.22807339221,103.904473415,1.23467,2.37157,4.32144,247.85,4.60766922527,263.996,2023-06-11 01:25:54,False
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700,1.2280106903,103.904323399,1.23467,2.35358,4.32318,247.671,4.62512251778,264.996,2023-06-11 01:26:04,False
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700.0,1.22798472638,103.904262204,1.23467,2.35358,4.32318,247.671,4.62512251778,264.996,2023-06-11 01:26:14,False
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700.0,1.2279267579,103.904129035,1.23467,2.33561,4.32318,247.49,4.62512251778,264.996,2023-06-11 01:26:24,False
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700.0,1.22790084269,103.904061097,1.23467,2.32824,4.32318,247.932,4.62512251778,264.996,2023-06-11 01:26:34,False
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700.0,1.22784377522,103.903918232,1.18322,2.24158,4.33365,248.106,4.62512251778,264.996,2023-06-11 01:26:44,False
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700.0,1.22782458971,103.903852708,1.23467,2.32515,4.36856,249.444,4.62512251778,264.996,2023-06-11 01:26:54,False
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700.0,1.22779570269,103.903781913,1.23467,2.34336,4.36856,249.611,4.62512251778,264.996,2023-06-11 01:27:04,False
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700.0,1.22775767343,103.903564,1.54333,2.8864,4.45583,254.373,4.60766922527,263.996,2023-06-11 01:27:14,False
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700.0,1.22770034088,103.903425939,1.69767,3.1534,4.39823,251.677,4.60766922527,263.996,2023-06-11 01:27:24,False
GANTA BHUM,9V7482  ,9315862,SG,,CS,28592,563139700.0,1.22763881935,103.90320548,1.852,3.46866,4.43139,253.393,4.60766922527,263.996,2023-06-11 01:27:34,False
