name,callsign,imonumber,flag,length,type,grosstonnage,mmsinumber,latitudedegrees,longitudedegrees,speedoverground,speedoverwater,courseoverground,courseoverwater,headingoverground,headingoverwater,timestamp,is_stopped,lat_tug_1,lon_tug_1,sog_tug_1,heading_tug_1,lat_tug_2,lon_tug_2,sog_tug_2,heading_tug_2
CMA CGM GALAPAGOS,FMPT    ,9894997,FR,,CS,153907,228410700,1.25997447971,103.789276271,0.514444,0.991361,3.12239,180.0,0.471238898038,26.9989,2023-07-26 01:22:17,False,1.25753980683,103.790169544,0.308667,299.998,1.25977893759,103.790980579,0.257222,300.998
CMA CGM GALAPAGOS,FMPT    ,9894997,FR,,CS,153907,228410700,1.25989610119,103.789272951,0.514444,0.993074,3.20966,183.366,0.471238898038,26.9989,2023-07-26 01:22:27,False,1.25722802761,103.790013094,0.565889,299.998,1.25976631844,103.790990802,0.257222,300.998
CMA CGM GALAPAGOS,FMPT    ,9894997,FR,,CS,153907,228410700,1.25986360937,103.78927075,0.514444,0.993074,3.20966,183.366,0.471238898038,26.9989,2023-07-26 01:22:37,False,1.25718714237,103.790010967,0.565889,299.998,1.25975369985,103.791001029,0.257222,300.998
CMA CGM GALAPAGOS,FMPT    ,9894997,FR,,CS,153907,228410700,1.25982247408,103.789268434,0.565889,1.08925,3.19395,182.045,0.471238898038,26.9989,2023-07-26 01:22:47,False,1.25711559239,103.790007239,0.565889,299.998,1.25972665939,103.79102294,0.257222,300.998
CMA CGM GALAPAGOS,FMPT    ,9894997,FR,,CS,153907,228410700,1.25974379467,103.789262548,0.565889,1.09133,3.19395,184.086,0.471238898038,26.9989,2023-07-26 01:22:57,False,1.25707981739,103.790005375,0.565889,299.998,1.25971404025,103.791033163,0.257222,300.998
CMA CGM GALAPAGOS,FMPT    ,9894997,FR,,CS,153907,228410700,1.2597063796,103.7892547,0.617333,1.1959,3.27773,187.472,0.471238898038,26.9989,2023-07-26 01:23:07,False,1.2570440424,103.790003511,0.565889,299.998,1.25968880251,103.791053613,0.257222,300.998
CMA CGM GALAPAGOS,FMPT    ,9894997,FR,,CS,153907,228410700,1.25963102482,103.789251319,0.617333,1.18972,3.22362,184.686,0.471238898038,26.9989,2023-07-26 01:23:17,False,1.25697249352,103.789999788,0.565889,299.998,1.25967618337,103.79106384,0.257222,300.998
CMA CGM GALAPAGOS,FMPT    ,9894997,FR,,CS,153907,228410700,1.259599601,103.789245564,0.617333,1.19353,3.26202,186.546,0.471238898038,26.9989,2023-07-26 01:23:27,False,1.25693671852,103.789997924,0.565889,299.998,1.25965094564,103.79108429,0.257222,300.998
CMA CGM GALAPAGOS,FMPT    ,9894997,FR,,CS,153907,228410700,1.25956135582,103.789240839,0.565889,1.08036,3.29693,188.276,0.471238898038,26.9989,2023-07-26 01:23:37,False,1.25686005829,103.789993934,0.565889,299.998,1.25963832705,103.791094517,0.257222,300.998
CMA CGM GALAPAGOS,FMPT    ,9894997,FR,,CS,153907,228410700,1.25947828248,103.789227986,0.617333,1.19858,3.29344,188.393,0.471238898038,26.9989,2023-07-26 01:23:47,False,1.2568242833,103.78999207,0.565889,299.998,1.25962390517,103.791106201,0.257222,300.998
CMA CGM GALAPAGOS,FMPT    ,9894997,FR,,CS,153907,228410700,1.25945361659,103.78922363,0.617333,1.17935,3.30042,188.531,0.453785605519,25.9991,2023-07-26 01:23:57,False,1.25678850831,103.789990206,0.565889,299.998,1.25959866744,103.791126651,0.257222,300.998
CMA CGM GALAPAGOS,FMPT    ,9894997,FR,,CS,153907,228410700,1.25938317972,103.789210062,0.565889,1.09029,3.34231,191.31,0.453785605519,25.9991,2023-07-26 01:24:07,False,1.25671695942,103.789986483,0.565889,299.998,1.25958604885,103.791136878,0.257222,300.998
CMA CGM GALAPAGOS,FMPT    ,9894997,FR,,CS,153907,228410700,1.25934712301,103.789199436,0.565889,1.18335,3.34231,194.265,0.453785605519,25.9991,2023-07-26 01:24:17,False,1.25668118443,103.789984619,0.565889,299.998,1.25956081112,103.791157328,0.257222,300.998
CMA CGM GALAPAGOS,FMPT    ,9894997,FR,,CS,153907,228410700,1.25926836284,103.789186706,0.565889,1.09427,3.35801,192.308,0.436332312999,24.9994,2023-07-26 01:24:27,False,1.25660963444,103.789980896,0.565889,299.998,1.25954819198,103.791167556,0.257222,300.998
CMA CGM GALAPAGOS,FMPT    ,9894997,FR,,CS,153907,228410700,1.25923337428,103.789179064,0.565889,1.09427,3.35801,192.308,0.436332312999,24.9994,2023-07-26 01:24:37,False,1.25657385945,103.789979032,0.565889,299.998,1.25953557338,103.791177779,0.257222,300.998
