name,callsign,imonumber,flag,length,type,grosstonnage,mmsinumber,latitudedegrees,longitudedegrees,speedoverground,speedoverwater,courseoverground,courseoverwater,headingoverground,headingoverwater,timestamp,is_stopped,lat_tug_9853682,lon_tug_9853682,sog_tug_9853682,heading_tug_9853682,lat_tug_9951616,lon_tug_9951616,sog_tug_9951616,heading_tug_9951616
CMA CGM FIGARO,9HA5577 ,9450600,MT,,CS,90931,229736000,1.22934774423,103.706126377,3.39533,6.58699,0.945968,54.2461,0.977384381117,55.9973,2023-07-26 00:15:08,False,1.25548835906,103.785907224,0.0,23.9996,1.27016586059,103.774230316,0.668778,64.9951
CMA CGM FIGARO,9HA5577 ,9450600,MT,,CS,90931,229736000,1.22959238667,103.706469486,3.34389,6.51014,0.95295,54.6015,0.977384381117,55.9973,2023-07-26 00:15:18,False,1.2554941171,103.785898296,0.102889,21.9946,1.27023399031,103.774246248,0.514444,64.9951
CMA CGM FIGARO,9HA5577 ,9450600,MT,,CS,90931,229736000,1.22973002985,103.706663923,3.29244,6.39714,0.95295,54.523,0.977384381117,55.9973,2023-07-26 00:15:28,False,1.25549107904,103.785899932,0.102889,21.9946,1.27025868753,103.774254751,0.514444,58.9966
CMA CGM FIGARO,9HA5577 ,9450600,MT,,CS,90931,229736000,1.22998850116,103.707021062,3.29244,6.41298,0.95295,54.6238,0.977384381117,55.9973,2023-07-26 00:15:38,False,1.25549627006,103.785908128,0.102889,21.9946,1.27043609896,103.774434426,1.54333,76.9977
CMA CGM FIGARO,9HA5577 ,9450600,MT,,CS,90931,229736000,1.23009385509,103.707162476,3.241,6.30252,0.940732,53.9077,0.977384381117,55.9973,2023-07-26 00:15:48,False,1.2554946203,103.785934935,0.308667,29.9982,1.2705308295,103.774753613,2.82944,93.999
CMA CGM FIGARO,9HA5577 ,9450600,MT,,CS,90931,229736000,1.23032894029,103.707482052,3.241,6.18964,0.940732,53.8139,0.977384381117,55.9973,2023-07-26 00:15:58,False,1.25549319581,103.785964049,0.411556,35.9967,1.27046654208,103.775113853,4.01267,121.998
CMA CGM FIGARO,9HA5577 ,9450600,MT,,CS,90931,229736000,1.2304457915,103.707636224,3.13811,6.09246,0.937242,53.8248,0.977384381117,55.9973,2023-07-26 00:16:08,False,1.25558130841,103.786142656,1.389,76.9977,1.27011741435,103.775616463,4.63,137.0
CMA CGM FIGARO,9HA5577 ,9450600,MT,,CS,90931,229736000,1.23058057692,103.707818755,3.13811,6.10395,0.935496,53.6775,0.977384381117,55.9973,2023-07-26 00:16:18,False,1.25560398986,103.786301284,1.80056,90.0,1.26964812736,103.77588007,5.35022,133.995
CMA CGM FIGARO,9HA5577 ,9450600,MT,,CS,90931,229736000,1.23082880416,103.708149272,3.08667,5.99111,0.933751,53.5763,0.977384381117,55.9973,2023-07-26 00:16:28,False,1.25556669256,103.786482097,1.80056,94.9988,1.26913058104,103.776395794,5.60744,137.999
CMA CGM FIGARO,9HA5577 ,9450600,MT,,CS,90931,229736000,1.23094259051,103.708299004,3.03522,5.89392,0.933751,53.5836,0.977384381117,55.9973,2023-07-26 00:16:38,False,1.25551670333,103.78694824,1.80056,94.9988,1.26883671401,103.776599477,5.60744,147.997
CMA CGM FIGARO,9HA5577 ,9450600,MT,,CS,90931,229736000,1.23105677225,103.708452071,3.03522,5.89392,0.933751,53.5836,0.977384381117,55.9973,2023-07-26 00:16:48,False,1.25555442453,103.787083712,3.49822,62.9956,1.26857892082,103.776673319,5.60744,152.996
CMA CGM FIGARO,9HA5577 ,9450600,MT,,CS,90931,229736000,1.23125048198,103.708707709,3.03522,5.79269,0.932006,53.3224,0.977384381117,55.9973,2023-07-26 00:16:58,False,1.25582388988,103.787524152,3.704,39.9957,1.26788497394,103.776996425,5.65889,155.995
