name,callsign,imonumber,flag,length,type,grosstonnage,mmsinumber,latitudedegrees,longitudedegrees,speedoverground,speedoverwater,courseoverground,courseoverwater,headingoverground,headingoverwater,timestamp,is_stopped,lat_tug_9853682,lon_tug_9853682,sog_tug_9853682,heading_tug_9853682,lat_tug_9853694,lon_tug_9853694,sog_tug_9853694,heading_tug_9853694
ULANGA,CQBU    ,9690080,PT,,CS,24901,255805849.0,1.27656043494,103.776114097,0.514444,0.983516,2.80998,161.565,0.488692190558,27.9987,2023-06-29 07:18:16,False,1.27579263132,103.776849265,0.823111,312.995,1.27611909898,103.777804985,0.154333,252.999
ULANGA,CQBU    ,9690080,PT,,CS,24901,255805849.0,1.27650714304,103.776137554,0.565889,1.08298,2.77333,158.962,0.471238898038,26.9989,2023-06-29 07:18:26,False,1.27579690573,103.776903067,0.771667,306.996,1.27612631995,103.777803638,0.154333,252.999
ULANGA,CQBU    ,9690080,PT,,CS,24901,255805849.0,1.27646894644,103.7761522,0.565889,1.08298,2.77333,158.962,0.471238898038,26.9989,2023-06-29 07:18:36,False,1.27583573083,103.7770163,0.874556,301.998,1.27613020241,103.777797877,0.0514444,240.996
ULANGA,CQBU    ,9690080,PT,,CS,24901,255805849.0,1.27642115294,103.776160941,0.565889,1.09444,2.77333,160.278,0.471238898038,26.9989,2023-06-29 07:18:46,False,1.2758482985,103.777061349,0.668778,303.997,1.27615649724,103.777861818,0.360111,255.998
ULANGA,CQBU    ,9690080,PT,,CS,24901,255805849.0,1.27635252829,103.776189777,0.565889,1.09011,2.7454,158.009,0.418879020479,23.9996,2023-06-29 07:18:56,False,1.27585284945,103.777095628,0.617333,302.997,1.27616361729,103.777883334,0.360111,255.998
ULANGA,CQBU    ,9690080,PT,,CS,24901,255805849.0,1.27631947943,103.77620351,0.565889,1.09011,2.7454,158.009,0.418879020479,23.9996,2023-06-29 07:19:06,False,1.27583594814,103.777126331,0.514444,298.998,1.27614719064,103.777932346,0.411556,267.995
ULANGA,CQBU    ,9690080,PT,,CS,24901,255805849.0,1.27627567078,103.776234776,0.565889,1.18431,2.7454,156.801,0.418879020479,22.9999,2023-06-29 07:19:16,False,1.27574943336,103.77715887,0.565889,297.999,1.27614345098,103.777991396,0.411556,267.995
ULANGA,CQBU    ,9690080,PT,,CS,24901,255805849.0,1.27619155975,103.776262638,0.617333,1.18255,2.6913,154.699,0.383972435439,21.9946,2023-06-29 07:19:26,False,1.27570353292,103.777179102,0.617333,294.999,1.27607437698,103.777941412,0.308667,315.0
ULANGA,CQBU    ,9690080,PT,,CS,24901,255805849.0,1.27615606158,103.776289631,0.668778,1.27836,2.64417,151.876,0.366519142919,20.9949,2023-06-29 07:19:36,False,1.27567444351,103.77719645,0.617333,294.999,1.27605485126,103.777942159,0.308667,315.0
ULANGA,CQBU    ,9690080,PT,,CS,24901,255805849.0,1.27611885539,103.7763097,0.668778,1.27836,2.64417,151.876,0.366519142919,20.9949,2023-06-29 07:19:46,False,1.27560109391,103.777244823,0.565889,296.999,1.27597429419,103.777981774,0.463,303.997
ULANGA,CQBU    ,9690080,PT,,CS,24901,255805849.0,1.2760725767,103.776324451,0.668778,1.19147,2.64417,151.763,0.366519142919,19.9951,2023-06-29 07:19:56,False,1.275567921,103.777264243,0.617333,295.999,1.27594731372,103.777993156,0.463,303.997
ULANGA,CQBU    ,9690080,PT,,CS,24901,255805849.0,1.27598315412,103.776377023,0.720222,1.39362,2.61276,149.859,0.296705972839,16.9958,2023-06-29 07:20:06,False,1.2755327888,103.777291603,0.617333,294.0,1.27597984058,103.777985117,0.102889,261.996
ULANGA,CQBU    ,9690080,PT,,CS,24901,255805849.0,1.27594378866,103.776399878,0.720222,1.39362,2.61276,149.859,0.296705972839,16.9958,2023-06-29 07:20:16,False,1.27548041607,103.777358508,0.565889,291.995,1.27597298838,103.777988005,0.102889,261.996
ULANGA,CQBU    ,9690080,PT,,CS,24901,255805849.0,1.27589305772,103.776415271,0.720222,1.37451,2.61276,151.26,0.296705972839,15.9961,2023-06-29 07:20:26,False,1.27545790686,103.777396951,0.565889,291.995,1.27596609666,103.777959715,0.154333,230.999
