name_cs,callsign_cs,imonumber_cs,flag_cs,length_cs,type_cs,grosstonnage_cs,mmsinumber_cs,latitudedegrees_cs,longitudedegrees_cs,speedoverground_cs,speedoverwater_cs,courseoverground_cs,courseoverwater_cs,headingoverground_cs,headingoverwater_cs,timestamp,is_stopped,name_tug,callsign_tug,imonumber_tug,flag_tug,length_tug,type_tug,grosstonnage_tug,mmsinumber_tug,latitudedegrees_tug,longitudedegrees_tug,speedoverground_tug,speedoverwater_tug,courseoverground_tug,courseoverwater_tug,headingoverground_tug,headingoverwater_tug,dist_m
PSA CONNECTIVITY,9V7551  ,9105968,SG,,CS,16800,563075940,1.28025153864,103.767466677,0.514444,0.977543,0.312414,17.354,2.42600766027,138.999,2023-06-02 15:29:15,False,PSA POLARIS,9V5829  ,9830197,SG,,TU,333,563066530,1.27965367645,103.768548476,0.360111,0.684774,6.15403,353.48,8.91863247769,0.0,137.4121125000626
PSA CONNECTIVITY,9V7551  ,9105968,SG,,CS,16800,563075940,1.28032571328,103.767487602,0.463,0.990598,0.246091,15.9454,2.46091424531,140.999,2023-06-02 15:29:25,True,PSA POLARIS,9V5829  ,9830197,SG,,TU,333,563066530,1.27967951342,103.768545141,0.360111,0.684774,6.15403,353.48,8.91863247769,0.0,137.78325359506042
PSA CONNECTIVITY,9V7551  ,9105968,SG,,CS,16800,563075940,1.28032571328,103.767487602,0.463,0.990598,0.246091,15.9454,2.46091424531,140.999,2023-06-02 15:29:35,True,PSA POLARIS,9V5829  ,9830197,SG,,TU,333,563066530,1.27970535039,103.768541806,0.360111,0.684774,6.15403,353.48,8.91863247769,0.0,135.98742254846843
PSA CONNECTIVITY,9V7551  ,9105968,SG,,CS,16800,563075940,1.2803764982,103.767504597,0.514444,0.99117,0.200713,11.3099,2.46091424531,140.999,2023-06-02 15:29:45,False,PSA POLARIS,9V5829  ,9830197,SG,,TU,333,563066530,1.2797278339,103.768584363,0.360111,0.684774,0.132645,6.5198,8.91863247769,0.0,140.03844021612082
PSA CONNECTIVITY,9V7551  ,9105968,SG,,CS,16800,563075940,1.28044488345,103.767518424,0.514444,0.99117,0.200713,11.3099,2.46091424531,140.999,2023-06-02 15:29:55,False,PSA POLARIS,9V5829  ,9830197,SG,,TU,333,563066530,1.27977592252,103.768588398,0.360111,0.68284,0.132645,4.89909,8.91863247769,0.0,140.29000398020148
PSA CONNECTIVITY,9V7551  ,9105968,SG,,CS,16800,563075940,1.28047916577,103.76751701,0.565889,1.09288,0.10472,5.10217,2.49582083035,142.998,2023-06-02 15:30:06,False,PSA POLARIS,9V5829  ,9830197,SG,,TU,333,563066530,1.27980754007,103.768557817,0.360111,0.897543,0.132645,355.03,8.91863247769,0.0,137.71210475803764
PSA CONNECTIVITY,9V7551  ,9105968,SG,,CS,16800,563075940,1.28057189725,103.767515358,0.565889,1.28426,0.10472,2.60256,2.49582083035,142.998,2023-06-02 15:30:15,False,PSA POLARIS,9V5829  ,9830197,SG,,TU,333,563066530,1.27988476909,103.768501305,0.565889,1.08942,6.00044,344.476,8.91863247769,0.0,133.60760337347688
PSA CONNECTIVITY,9V7551  ,9105968,SG,,CS,16800,563075940,1.28062022538,103.767517708,0.668778,1.28426,0.0488692,2.60256,2.53072741539,144.998,2023-06-02 15:30:25,False,PSA POLARIS,9V5829  ,9830197,SG,,TU,333,563066530,1.27992408516,103.768489958,0.565889,1.08942,6.00044,344.476,8.91863247769,0.0,132.94232993484223
PSA CONNECTIVITY,9V7551  ,9105968,SG,,CS,16800,563075940,1.28066855351,103.767520058,0.668778,1.28426,0.0488692,2.60256,2.53072741539,144.998,2023-06-02 15:30:35,False,PSA POLARIS,9V5829  ,9830197,SG,,TU,333,563066530,1.27998068697,103.768442221,0.668778,1.27896,5.85383,335.772,8.91863247769,0.0,127.90415654150952
PSA CONNECTIVITY,9V7551  ,9105968,SG,,CS,16800,563075940,1.28072378622,103.76750105,0.720222,1.3997,6.2605,359.204,2.54818070791,145.997,2023-06-02 15:30:45,False,PSA POLARIS,9V5829  ,9830197,SG,,TU,333,563066530,1.28002254527,103.768459418,0.565889,1.08194,5.96728,342.216,8.91863247769,0.0,132.02493079809386
