name_cs,callsign_cs,imonumber_cs,flag_cs,length_cs,type_cs,grosstonnage_cs,mmsinumber_cs,latitudedegrees_cs,longitudedegrees_cs,speedoverground_cs,speedoverwater_cs,courseoverground_cs,courseoverwater_cs,headingoverground_cs,headingoverwater_cs,timestamp,is_stopped,name_tug,callsign_tug,imonumber_tug,flag_tug,length_tug,type_tug,grosstonnage_tug,mmsinumber_tug,latitudedegrees_tug,longitudedegrees_tug,speedoverground_tug,speedoverwater_tug,courseoverground_tug,courseoverwater_tug,headingoverground_tug,headingoverwater_tug,dist_m
NORDBORG MAERSK,OYJB2   ,9885142,DK,,CS,26255,219027760,1.26985141578,103.759582658,4.11556,7.8196,5.27438,302.307,5.23598775598,299.998,2023-07-26 22:19:18,False,PSA OAK,9V3289  ,9853694,SG,,TU,491,563069230,1.27131311223,103.759319979,4.73289,9.19685,2.43997,139.543,2.56563400043,146.997,165.13561672304715
NORDBORG MAERSK,OYJB2   ,9885142,DK,,CS,26255,219027760,1.27014303557,103.759136232,4.01267,7.75993,5.27962,302.416,5.23598775598,299.998,2023-07-26 22:19:28,False,PSA OAK,9V3289  ,9853694,SG,,TU,491,563069230,1.27109064094,103.759462708,4.42422,8.61125,2.50629,143.259,2.68780704807,153.995,111.44428553256358
NORDBORG MAERSK,OYJB2   ,9885142,DK,,CS,26255,219027760,1.27028678637,103.75891177,3.96122,7.77037,5.27962,302.537,5.21853446346,298.998,2023-07-26 22:19:38,False,PSA OAK,9V3289  ,9853694,SG,,TU,491,563069230,1.27065667962,103.759588974,3.44678,7.08141,2.92866,161.267,3.64773813667,208.998,85.7860624101139
NORDBORG MAERSK,OYJB2   ,9885142,DK,,CS,26255,219027760,1.27054559684,103.758502173,3.96122,7.7167,5.27788,302.449,5.21853446346,298.998,2023-07-26 22:19:48,False,PSA OAK,9V3289  ,9853694,SG,,TU,491,563069230,1.27048018253,103.759498977,3.03522,5.86658,3.2149,184.18,4.03171057211,230.999,111.05076627525882
NORDBORG MAERSK,OYJB2   ,9885142,DK,,CS,26255,219027760,1.27069801312,103.758262784,3.90978,7.6198,5.27613,302.393,5.21853446346,298.998,2023-07-26 22:19:58,False,PSA OAK,9V3289  ,9853694,SG,,TU,491,563069230,1.27033544292,103.759373951,2.67511,5.19068,3.57967,205.509,4.38077642251,250.999,129.93840775363893
NORDBORG MAERSK,OYJB2   ,9885142,DK,,CS,26255,219027760,1.27083023485,103.75805201,3.90978,7.6198,5.27613,302.393,5.21853446346,298.998,2023-07-26 22:20:08,False,PSA OAK,9V3289  ,9853694,SG,,TU,491,563069230,1.2702789806,103.758983152,2.93233,5.7107,4.37729,251.133,4.74729556542,272.0,120.30039208779864
NORDBORG MAERSK,OYJB2   ,9885142,DK,,CS,26255,219027760,1.27110482081,103.757598083,3.90978,7.62584,5.27438,302.191,5.21853446346,298.998,2023-07-26 22:20:18,False,PSA OAK,9V3289  ,9853694,SG,,TU,491,563069230,1.27031925149,103.758690461,3.49822,6.84333,4.6897,269.023,4.9043751981,280.997,149.5901180701458
NORDBORG MAERSK,OYJB2   ,9885142,DK,,CS,26255,219027760,1.27123735246,103.757388757,3.90978,7.62584,5.27438,302.191,5.21853446346,298.998,2023-07-26 22:20:28,False,PSA OAK,9V3289  ,9853694,SG,,TU,491,563069230,1.27052671558,103.758086295,4.52711,8.7977,4.96546,284.589,5.04400153826,288.995,110.71155069925481
NORDBORG MAERSK,OYJB2   ,9885142,DK,,CS,26255,219027760,1.2714885264,103.756974527,3.85833,7.50837,5.27264,301.88,5.23598775598,299.998,2023-07-26 22:20:38,False,PSA OAK,9V3289  ,9853694,SG,,TU,491,563069230,1.27065927412,103.757786703,4.73289,9.23709,5.06145,290.189,5.11381470834,293.0,129.05150281230584
NORDBORG MAERSK,OYJB2   ,9885142,DK,,CS,26255,219027760,1.27160970398,103.756771071,3.85833,7.45484,5.26915,301.784,5.23598775598,299.998,2023-07-26 22:20:48,False,PSA OAK,9V3289  ,9853694,SG,,TU,491,563069230,1.27078013041,103.757549131,4.73289,9.36491,5.06145,292.839,5.11381470834,293.0,126.45321179804331
