name,callsign,imonumber,flag,length,type,grosstonnage,mmsinumber,latitudedegrees,longitudedegrees,speedoverground,speedoverwater,courseoverground,courseoverwater,headingoverground,headingoverwater,timestamp,is_stopped,lat_tug_9830484,lon_tug_9830484,sog_tug_9830484,heading_tug_9830484,lat_tug_9951616,lon_tug_9951616,sog_tug_9951616,heading_tug_9951616
MSC ARUSHI R,A8RL3   ,9244881,LR,,CS,45803,636091670,1.21664109765,103.864070633,2.82944,5.39889,4.26384,244.173,4.20624349731,240.996,2023-06-16 22:22:10,False,1.25873002561,103.787852226,0.0,212.997,1.25716279332,103.78170121,0.0514444,120.998
MSC ARUSHI R,A8RL3   ,9244881,LR,,CS,45803,636091670,1.21656852836,103.863930188,2.82944,5.40714,4.25337,243.527,4.20624349731,240.996,2023-06-16 22:22:20,False,1.25873002561,103.787852226,0.0,212.997,1.25715825049,103.781699859,0.0514444,119.998
MSC ARUSHI R,A8RL3   ,9244881,LR,,CS,45803,636091670,1.21637712535,103.863568498,2.82944,5.43391,4.25337,242.518,4.20624349731,240.996,2023-06-16 22:22:29,False,1.25873002561,103.787852226,0.0,212.997,1.2571616927,103.781702228,0.0,119.998
MSC ARUSHI R,A8RL3   ,9244881,LR,,CS,45803,636091670,1.21630004749,103.863420869,2.82944,5.4531,4.25337,241.699,4.20624349731,241.996,2023-06-16 22:22:40,False,1.25873002561,103.787852226,0.0,212.997,1.25716169274,103.781703895,0.0,118.998
MSC ARUSHI R,A8RL3   ,9244881,LR,,CS,45803,636091670,1.21611073756,103.863051585,2.82944,5.49462,4.23417,242.619,4.22369678983,241.996,2023-06-16 22:22:50,False,1.25873002561,103.787852226,0.0,212.997,1.25716502586,103.781713893,0.0,118.998
MSC ARUSHI R,A8RL3   ,9244881,LR,,CS,45803,636091670,1.2160291247,103.862884189,2.82944,5.51151,4.23417,243.164,4.22369678983,241.996,2023-06-16 22:22:59,False,1.25873002561,103.787852226,0.0,212.997,1.25716502586,103.781713893,0.0,118.998
MSC ARUSHI R,A8RL3   ,9244881,LR,,CS,45803,636091670,1.21594670811,103.862722308,2.82944,5.51178,4.26384,244.068,4.22369678983,241.996,2023-06-16 22:23:10,False,1.25873002561,103.787852226,0.0,212.997,1.25716016201,103.781721593,0.0514444,117.999
MSC ARUSHI R,A8RL3   ,9244881,LR,,CS,45803,636091670,1.21577921213,103.862404299,2.82944,5.52927,4.26384,244.156,4.22369678983,241.996,2023-06-16 22:23:20,False,1.25873002561,103.787852226,0.0,212.997,1.25716002602,103.781713894,0.0514444,117.999
MSC ARUSHI R,A8RL3   ,9244881,LR,,CS,45803,636091670,1.21568535413,103.862225291,2.82944,5.51178,4.26384,244.068,4.22369678983,241.996,2023-06-16 22:23:30,False,1.25873002561,103.787852226,0.0,212.997,1.25716002602,103.781713894,0.0,117.999
MSC ARUSHI R,A8RL3   ,9244881,LR,,CS,45803,636091670,1.21562468975,103.862110395,2.82944,5.52927,4.26209,244.156,4.22369678983,241.996,2023-06-16 22:23:40,False,1.25873002561,103.787852226,0.0,212.997,1.25716320845,103.781702912,0.0514444,114.999
