name,callsign,imonumber,flag,length,type,grosstonnage,mmsinumber,latitudedegrees,longitudedegrees,speedoverground,speedoverwater,courseoverground,courseoverwater,headingoverground,headingoverwater,timestamp,is_stopped,lat_tug_9892860,lon_tug_9892860,sog_tug_9892860,heading_tug_9892860,lat_tug_9951604,lon_tug_9951604,sog_tug_9951604,heading_tug_9951604
OOCL TAIPEI,VRNR6   ,9477907,HK,,CS,91499,477067800.0,1.26050432225,103.789721812,0.565889,1.09133,3.05956,175.914,0.349065850399,19.9951,2023-07-11 15:31:56,False,1.26168459281,103.791195508,0.154333,303.997,1.25923149021,103.790382735,0.926,295.999
OOCL TAIPEI,VRNR6   ,9477907,HK,,CS,91499,477067800.0,1.26047609412,103.789728113,0.565889,1.09133,3.05782,175.914,0.331612557879,18.9954,2023-07-11 15:32:06,False,1.26168514084,103.7912163,0.154333,303.997,1.25915381427,103.790375831,0.874556,298.998
OOCL TAIPEI,VRNR6   ,9477907,HK,,CS,91499,477067800.0,1.26037772091,103.789711645,0.565889,1.18718,3.05782,177.184,0.331612557879,18.9954,2023-07-11 15:32:16,False,1.26168543309,103.791227391,0.154333,303.997,1.25909845175,103.790376219,0.874556,298.998
OOCL TAIPEI,VRNR6   ,9477907,HK,,CS,91499,477067800.0,1.26033311046,103.789713814,0.617333,1.18718,3.09272,177.184,0.314159265359,17.9956,2023-07-11 15:32:26,False,1.26168568888,103.791237096,0.154333,303.997,1.2590718908,103.790391211,0.668778,296.999
OOCL TAIPEI,VRNR6   ,9477907,HK,,CS,91499,477067800.0,1.26020602943,103.789703032,0.668778,1.28308,3.12239,179.132,0.296705972839,16.9958,2023-07-11 15:32:36,False,1.26168623692,103.791257887,0.154333,303.997,1.25905197488,103.790442499,0.565889,294.999
OOCL TAIPEI,VRNR6   ,9477907,HK,,CS,91499,477067800.0,1.26016370029,103.789703841,0.668778,1.28308,3.14857,179.132,0.279252680319,15.9961,2023-07-11 15:32:46,False,1.2616864927,103.791267592,0.154333,303.997,1.25902541055,103.790454807,0.463,294.999
OOCL TAIPEI,VRNR6   ,9477907,HK,,CS,91499,477067800.0,1.26003110549,103.789691436,0.668778,1.3997,3.14857,180.796,0.279252680319,15.9961,2023-07-11 15:32:56,False,1.26129631722,103.790307664,0.154333,281.997,1.25900202794,103.79049528,0.411556,288.995
OOCL TAIPEI,VRNR6   ,9477907,HK,,CS,91499,477067800.0,1.25994762729,103.789691144,0.720222,1.38068,3.16952,181.614,0.244346095279,13.9966,2023-07-11 15:33:06,False,1.26125838367,103.790292358,0.565889,281.997,1.25897856423,103.790513493,0.411556,285.996
OOCL TAIPEI,VRNR6   ,9477907,HK,,CS,91499,477067800.0,1.25989554018,103.789689698,0.771667,1.38068,3.18348,181.614,0.226892802759,12.9968,2023-07-11 15:33:16,False,1.26122519168,103.790278968,0.565889,281.997,1.25895507152,103.790543183,0.411556,285.996
OOCL TAIPEI,VRNR6   ,9477907,HK,,CS,91499,477067800.0,1.25982088494,103.789694012,0.771667,1.49727,3.16952,181.488,0.209439510239,11.9971,2023-07-11 15:33:26,False,1.26118725814,103.790263666,0.565889,281.997,1.25893656902,103.790562035,0.360111,278.998
OOCL TAIPEI,VRNR6   ,9477907,HK,,CS,91499,477067800.0,1.25978682287,103.789697619,0.771667,1.49727,3.17824,181.488,0.191986217719,10.9973,2023-07-11 15:33:36,False,1.2611161326,103.79023497,0.565889,281.997,1.25891885243,103.79057629,0.360111,278.998
OOCL TAIPEI,VRNR6   ,9477907,HK,,CS,91499,477067800.0,1.25973800458,103.789695844,0.771667,1.49727,3.17824,181.488,0.191986217719,10.9973,2023-07-11 15:33:46,False,1.26108294061,103.79022158,0.565889,281.997,1.25888984003,103.790586676,0.411556,279.998
OOCL TAIPEI,VRNR6   ,9477907,HK,,CS,91499,477067800.0,1.25961948885,103.789694464,0.823111,1.59443,3.17126,181.397,0.157079632679,8.9978,2023-07-11 15:33:56,False,1.26104500706,103.790206274,0.565889,281.997,1.25880884954,103.790607478,0.514444,274.999
OOCL TAIPEI,VRNR6   ,9477907,HK,,CS,91499,477067800.0,1.25956358978,103.789693277,0.823111,1.59407,3.17126,180.699,0.157079632679,7.99805,2023-07-11 15:34:06,False,1.26097862363,103.790179495,0.565889,281.997,1.25877762311,103.790616666,0.514444,274.999
